	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
	(0.000283)	(0.000270)	(0.000299)	(0.000227)	(0.000227)	(0.000226)	(0.000248)	(0.000241)	(0.000206)	(0.000200)	(0.000200)	(0.000201)	(0.000248)	(0.000245)	(0.000217)	(0.000211)	(0.000212)	(0.000214)	(0.000250)	(0.000250)	(0.000243)	(0.000236)	(0.000236)	(0.000240)	(0.000276)	(0.000277)	(0.000282)	(0.000273)	(0.000273)	(0.000278)	(0.000335)	(0.000337)	(0.000344)	(0.000328)	(0.000329)	(0.000335)
borddummy2							-0.0259**	-0.0254**	-0.0420**	-0.0193**	-0.0178**	-0.0213**	-0.0188**	-0.0188**	-0.0296**	-0.0248**	-0.0233**	-0.0252**	-0.00840	-0.00759	-0.0146**	-0.0132**	-0.0117**	-0.0130**	-0.00605	-0.00427	-0.00866	0.00527	0.00655	0.00634	0.0165*	0.0167*	0.0136	0.0117	0.0121	0.0105
							(0.00558)	(0.00557)	(0.00656)	(0.00173)	(0.00173)	(0.00177)	(0.00458)	(0.00458)	(0.00509)	(0.00227)	(0.00227)	(0.00233)	(0.00508)	(0.00509)	(0.00536)	(0.00318)	(0.00319)	(0.00327)	(0.00592)	(0.00593)	(0.00615)	(0.00472)	(0.00473)	(0.00482)	(0.00826)	(0.00829)	(0.00847)	(0.00754)	(0.00756)	(0.00770)
borddummy3													-0.0328**	-0.0330**	-0.0584**	-0.0466**	-0.0433**	-0.0484**	-0.0320**	-0.0307**	-0.0457**	-0.0422**	-0.0394**	-0.0423**	-0.0317**	-0.0285**	-0.0380**	-0.00736	-0.00520	-0.00580	0.0222*	0.0229*	0.0183	0.0116	0.0127	0.0115
													(0.00945)	(0.00947)	(0.0107)	(0.00246)	(0.00246)	(0.00252)	(0.00898)	(0.00899)	(0.00958)	(0.00321)	(0.00322)	(0.00330)	(0.00890)	(0.00892)	(0.00932)	(0.00458)	(0.00459)	(0.00469)	(0.0103)	(0.0104)	(0.0106)	(0.00715)	(0.00717)	(0.00730)
borddummy4																			-0.0437**	-0.0414**	-0.0658**	-0.0604**	-0.0557**	-0.0602**	-0.0722**	-0.0670**	-0.0825**	-0.0343**	-0.0307**	-0.0324**	0.0173	0.0191	0.0113	0.00100	0.00339	0.000855
																			(0.0142)	(0.0143)	(0.0152)	(0.00348)	(0.00349)	(0.00357)	(0.0127)	(0.0128)	(0.0134)	(0.00469)	(0.00470)	(0.00480)	(0.0134)	(0.0135)	(0.0139)	(0.00711)	(0.00713)	(0.00725)
borddummy5																									-0.104**	-0.0964**		-0.0487**	-0.0434**		-0.00262	7.61e-05		-0.0252**	-0.0216**	
																									(0.0180)	(0.0181)		(0.00502)	(0.00503)		(0.0174)	(0.0175)		(0.00727)	(0.00729)	
borddummy6																															-0.00214	0.00185		-0.0333**	-0.0280**	
																															(0.0231)	(0.0232)		(0.00761)	(0.00763)	
Constant	-0.0893	0.258**	0.432**	0.369**	0.697**	0.902**	-0.0247	0.357**	0.525**	0.270**	0.643**	0.850**	0.107	0.450**	0.612**	0.230**	0.600**	0.833**	-0.141	0.224*	0.388**	0.106	0.494**	0.739**	-0.532**	-0.142	0.0552	0.0934	0.462**	0.728**	-0.0136	0.351*	0.570**	-0.0154	0.371**	0.654**
	(0.0766)	(0.0636)	(0.0626)	(0.0650)	(0.0600)	(0.0617)	(0.0702)	(0.0597)	(0.0590)	(0.0567)	(0.0524)	(0.0538)	(0.0804)	(0.0718)	(0.0716)	(0.0517)	(0.0464)	(0.0476)	(0.114)	(0.107)	(0.108)	(0.0552)	(0.0491)	(0.0501)	(0.132)	(0.125)	(0.126)	(0.0615)	(0.0541)	(0.0551)	(0.178)	(0.174)	(0.174)	(0.0763)	(0.0681)	(0.0692)
																																				
Observations	140,869	140,869	140,869	140,869	140,869	140,869	208,654	208,654	208,654	208,654	208,654	208,654	211,081	211,081	211,081	211,081	211,081	211,081	186,636	186,636	186,636	186,636	186,636	186,636	152,181	152,181	152,181	152,181	152,181	152,181	115,585	115,585	115,585	115,585	115,585	115,585
R-squared	0.211	0.207	0.123	0.223	0.220	0.174	0.213	0.209	0.149	0.215	0.212	0.167	0.202	0.199	0.157	0.205	0.201	0.158	0.195	0.191	0.153	0.196	0.192	0.154	0.179	0.175	0.133	0.190	0.186	0.152	0.183	0.179	0.150	0.186	0.181	0.151
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
