	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																															
							(0.0118)	(0.0118)	(0.0132)	(0.00289)	(0.00290)	(0.00298)	(0.00853)	(0.00853)	(0.00909)	(0.00342)	(0.00343)	(0.00351)	(0.00772)	(0.00775)	(0.00797)	(0.00450)	(0.00451)	(0.00461)	(0.00838)	(0.00843)	(0.00866)	(0.00636)	(0.00638)	(0.00649)	(0.0112)
borddummy3													-0.00889	-0.0111	-0.0295	-0.0788**	-0.0759**	-0.0777**	-0.0327*	-0.0305*	-0.0421**	-0.0695**	-0.0677**	-0.0696**	-0.0484**	-0.0441**	-0.0526**	-0.0290**	-0.0279**	-0.0289**	0.00670
													(0.0187)	(0.0188)	(0.0202)	(0.00373)	(0.00374)	(0.00383)	(0.0142)	(0.0143)	(0.0148)	(0.00455)	(0.00457)	(0.00466)	(0.0132)	(0.0133)	(0.0137)	(0.00619)	(0.00621)	(0.00632)	(0.0143)
borddummy4																			-0.0361	-0.0323	-0.0512*	-0.0974**	-0.0944**	-0.0969**	-0.0971**	-0.0903**	-0.103**	-0.0674**	-0.0655**	-0.0673**	-0.00194
																			(0.0229)	(0.0230)	(0.0238)	(0.00494)	(0.00496)	(0.00506)	(0.0189)	(0.0190)	(0.0197)	(0.00634)	(0.00636)	(0.00647)	(0.0187)
borddummy5																									-0.140**	-0.129**		-0.0955**	-0.0923**		-0.0346
																									(0.0272)	(0.0275)		(0.00680)	(0.00683)		(0.0244)
borddummy6																															-0.0423
																															(0.0328)
Constant	-0.308**	0.163	0.442**	-0.00363	0.462**	0.525**	-0.160	0.332**	0.572**	-0.0587	0.431**	0.481**	0.294**	0.691**	0.871**	0.00548	0.438**	0.493**	-0.0485	0.413**	0.570**	-0.0954	0.361**	0.401**	-0.464**	-0.0117	0.127	-0.114	0.300**	0.346**	0.0743
	(0.107)	(0.0917)	(0.0790)	(0.0833)	(0.0697)	(0.0719)	(0.0944)	(0.0824)	(0.0766)	(0.0683)	(0.0581)	(0.0598)	(0.112)	(0.0982)	(0.0944)	(0.0597)	(0.0486)	(0.0498)	(0.138)	(0.133)	(0.132)	(0.0603)	(0.0483)	(0.0492)	(0.170)	(0.165)	(0.167)	(0.0638)	(0.0496)	(0.0505)	(0.221)
																															
Observations	53,797	53,797	53,797	53,797	53,797	53,797	90,750	90,750	90,750	90,750	90,750	90,750	104,196	104,196	104,196	104,196	104,196	104,196	100,290	100,290	100,290	100,290	100,290	100,290	86,783	86,783	86,783	86,783	86,783	86,783	68,383
R-squared	0.225	0.220	0.133	0.237	0.232	0.181	0.225	0.218	0.158	0.227	0.221	0.176	0.170	0.170	0.149	0.216	0.210	0.170	0.188	0.181	0.157	0.206	0.200	0.166	0.194	0.190	0.157	0.200	0.194	0.166	0.190
Standard errors in parentheses																															
** p<0.01, * p<0.05																															
