;;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
SYR;Syrian Arab Republic;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
TWN;Taiwan, China;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
TJK;Tajikistan;..;..;..;..;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
TZA;Tanzania;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
THA;Thailand;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
TMP;Timor-Leste;..;..;..;..;..;..;..;..;..;..;..;..;..;..;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM
TGO;Togo;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
TON;Tonga;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM
TTO;Trinidad and Tobago;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H
TUN;Tunisia;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
TUR;Turkey;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;LM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM
TKM;Turkmenistan;..;..;..;..;LM;LM;LM;LM;LM;LM;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM
TCA;Turks and Caicos Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;H;H;H;H
TUV;Tuvalu;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;LM;LM;UM;UM
UGA;Uganda;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
UKR;Ukraine;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
ARE;United Arab Emirates;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GBR;United Kingdom;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
USA;United States;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
URY;Uruguay;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H
UZB;Uzbekistan;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
VUT;Vanuatu;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
VEN;Venezuela, RB;UM;UM;UM;UM;UM;UM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
VNM;Vietnam;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
VIR;Virgin Islands (U.S.);H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
WBG;West Bank and Gaza;..;..;..;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
YEM;Yemen, Rep.;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
ZMB;Zambia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM
ZWE;Zimbabwe;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
