;;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
COM;Comoros;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
ZAR;Congo, Dem. Rep.;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
COG;Congo, Rep.;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM
CRI;Costa Rica;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
CIV;Côte d'Ivoire;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM
HRV;Croatia;..;..;..;..;..;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H
CUB;Cuba;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM
CUW;Curaçao;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;H;H;H
CYP;Cyprus;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
CZE;Czech Republic;..;..;..;..;..;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H
DNK;Denmark;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
DJI;Djibouti;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
DMA;Dominica;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
DOM;Dominican Republic;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
ECU;Ecuador;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
EGY;Egypt, Arab Rep.;LM;LM;LM;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
SLV;El Salvador;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
GNQ;Equatorial Guinea;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;L;L;L;UM;UM;UM;H;H;H;H;H;H
ERI;Eritrea;..;..;..;..;..;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
EST;Estonia;..;..;..;..;UM;UM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H
ETH;Ethiopia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
FRO;Faeroe Islands;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
FJI;Fiji;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;LM;LM;UM
FIN;Finland;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
FRA;France;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
PYF;French Polynesia;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GAB;Gabon;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
GMB;Gambia, The;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
GEO;Georgia;..;..;..;..;LM;LM;L;L;L;LM;LM;LM;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
DEU;Germany;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GHA;Ghana;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM
GRC;Greece;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GRL;Greenland;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GRD;Grenada;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
GUM;Guam;H;H;H;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GTM;Guatemala;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
GIN;Guinea;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
GNB;Guinea-Bissau;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
GUY;Guyana;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
HTI;Haiti;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
HND;Honduras;LM;LM;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
HKG;Hong Kong SAR, China;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
HUN;Hungary;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;UM
ISL;Iceland;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
IND;India;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM
IDN;Indonesia;L;L;L;L;L;L;LM;LM;LM;LM;LM;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
IRN;Iran, Islamic Rep.;UM;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM
IRQ;Iraq;UM;UM;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM
