	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
agefirstbirth	-0.00392**	0.00732***	0.000989	0.00617***	0.00218***	0.00217***	0.00173***	0.00172***	-0.000350	0.0105***	0.00103	0.00624***	0.00183***	0.00181***	0.00132***	0.00131***	-0.00775***	-0.00155	-0.00103	0.00266***	0.00205***	0.00206***	0.00151***	0.00152***	-0.00733***	-0.00477***	-0.00188***	-0.000570	0.00225***	0.00224***	0.00164***	0.00164***	-0.0121***	-0.0126***	-0.00425***	-0.00458***	0.00257***	0.00258***	0.00167***	0.00168***	-0.0139***	-0.0133***	-0.00554***	-0.00524***	0.00259***	0.00261***	0.00187***	0.00187***	-0.00829***	-0.00699***	-0.00346***	-0.00295***	0.00250***	0.00253***	0.00172***	0.00174***
	(0.00155)	(0.00161)	(0.00100)	(0.00105)	(0.000103)	(0.000103)	(9.36e-05)	(9.34e-05)	(0.00117)	(0.00119)	(0.000733)	(0.000749)	(8.56e-05)	(8.37e-05)	(7.44e-05)	(7.28e-05)	(0.00111)	(0.00116)	(0.000716)	(0.000742)	(9.16e-05)	(9.05e-05)	(7.89e-05)	(7.81e-05)	(0.00115)	(0.00121)	(0.000718)	(0.000749)	(0.000120)	(0.000119)	(9.86e-05)	(9.79e-05)	(0.00119)	(0.00125)	(0.000714)	(0.000739)	(0.000147)	(0.000147)	(0.000118)	(0.000117)	(0.00130)	(0.00136)	(0.000720)	(0.000745)	(0.000179)	(0.000179)	(0.000147)	(0.000147)	(0.00153)	(0.00157)	(0.000800)	(0.000815)	(0.000224)	(0.000223)	(0.000187)	(0.000186)
height	0.00462***		0.00163***		-5.80e-05**		-4.77e-05**		0.00459***		0.00266***		-6.87e-05**		-3.89e-05		0.00567***		0.00166***		-0.000171***		-0.000134***		0.00528***		0.00187***		-0.000165***		-0.000100***		0.00446***		0.00182***		-8.18e-05		-5.54e-05		0.00439***		0.00138***		-0.000245***		-0.000207***		0.00356***		0.00145***		-0.000235***		-0.000119	
	(0.000553)		(0.000343)		(2.41e-05)		(2.18e-05)		(0.000423)		(0.000286)		(2.84e-05)		(2.42e-05)		(0.000432)		(0.000295)		(3.60e-05)		(3.11e-05)		(0.000455)		(0.000292)		(5.38e-05)		(3.86e-05)		(0.000486)		(0.000285)		(5.88e-05)		(4.83e-05)		(0.000527)		(0.000296)		(7.18e-05)		(5.86e-05)		(0.000622)		(0.000326)		(8.79e-05)		(7.21e-05)	
bmi	0.00944***		0.00471***		-3.90e-05		-1.70e-05		0.0142***		0.00445***		-4.62e-06		-4.71e-06		0.0186***		0.00739***		-9.63e-05**		-2.21e-05		0.0225***		0.00873***		8.46e-05		6.82e-05		0.0245***		0.00954***		-0.000187**		-0.000125*		0.0240***		0.00848***		-0.000407***		-0.000170**		0.0265***		0.00931***		-0.000415***		-0.000439***	
	(0.000750)		(0.000457)		(2.64e-05)		(2.43e-05)		(0.000630)		(0.000374)		(3.30e-05)		(2.89e-05)		(0.000625)		(0.000380)		(4.74e-05)		(4.11e-05)		(0.000688)		(0.000412)		(8.29e-05)		(5.64e-05)		(0.000755)		(0.000438)		(8.28e-05)		(6.83e-05)		(0.000835)		(0.000468)		(9.75e-05)		(8.21e-05)		(0.000997)		(0.000530)		(0.000126)		(0.000105)	
educf_1_4	0.238***		0.0981***		-0.00238***		-0.00169***		0.203***		0.0901***		-0.00170***		-0.00128**		0.296***		0.113***		-0.00185***		-0.000989*		0.285***		0.0961***		-0.00219***		-0.00147**		0.296***		0.0980***		-0.00357***		-0.00223***		0.328***		0.0904***		-0.00164		-0.000578		0.288***		0.0751***		-0.00177		-0.000208	
	(0.0139)		(0.0109)		(0.000555)		(0.000501)		(0.00882)		(0.00693)		(0.000578)		(0.000499)		(0.00823)		(0.00590)		(0.000669)		(0.000557)		(0.00844)		(0.00556)		(0.000807)		(0.000646)		(0.00869)		(0.00526)		(0.000944)		(0.000778)		(0.00952)		(0.00528)		(0.00118)		(0.000993)		(0.0111)		(0.00594)		(0.00145)		(0.00124)	
educf_5_6	0.412***		0.183***		-0.00275***		-0.00189***		0.419***		0.182***		-0.00175***		-0.00109**		0.487***		0.191***		-0.00229***		-0.00127**		0.500***		0.179***		-0.00412***		-0.00237***		0.552***		0.184***		-0.00358***		-0.00225***		0.553***		0.180***		-0.00431***		-0.00254**		0.524***		0.164***		-0.00250		-0.000946	
	(0.0131)		(0.00951)		(0.000502)		(0.000447)		(0.00863)		(0.00633)		(0.000569)		(0.000481)		(0.00838)		(0.00574)		(0.000672)		(0.000559)		(0.00921)		(0.00593)		(0.000772)		(0.000659)		(0.0100)		(0.00626)		(0.00107)		(0.000848)		(0.0112)		(0.00671)		(0.00122)		(0.00102)		(0.0135)		(0.00741)		(0.00173)		(0.00143)	
educf_7_10	0.542***		0.243***		-0.00299***		-0.00215***		0.567***		0.243***		-0.00277***		-0.00183***		0.692***		0.278***		-0.00268***		-0.000950*		0.731***		0.270***		-0.00375***		-0.00201***		0.744***		0.261***		-0.00346***		-0.00152*		0.747***		0.255***		-0.00407***		-0.00253**		0.697***		0.233***		-0.00316*		-0.000784	
	(0.0115)		(0.00805)		(0.000436)		(0.000394)		(0.00809)		(0.00540)		(0.000500)		(0.000408)		(0.00845)		(0.00543)		(0.000619)		(0.000546)		(0.00940)		(0.00575)		(0.000785)		(0.000659)		(0.0107)		(0.00607)		(0.00106)		(0.000906)		(0.0129)		(0.00703)		(0.00133)		(0.00110)		(0.0150)		(0.00855)		(0.00179)		(0.00153)	
educf_11plus	0.671***		0.282***		-0.00238***		-0.00168***		0.745***		0.282***		-0.00194***		-0.00138***		0.820***		0.317***		-0.000974		9.64e-06		0.870***		0.332***		-0.00292***		-0.00123		0.929***		0.326***		-0.00435***		-0.00149		0.928***		0.340***		-0.00595***		-0.00381**		0.947***		0.325***		0.00285		0.00180	
	(0.0117)		(0.00809)		(0.000421)		(0.000376)		(0.00913)		(0.00566)		(0.000505)		(0.000411)		(0.00993)		(0.00584)		(0.000640)		(0.000574)		(0.0129)		(0.00702)		(0.00105)		(0.000926)		(0.0165)		(0.00874)		(0.00141)		(0.00127)		(0.0209)		(0.0106)		(0.00197)		(0.00168)		(0.0287)		(0.0142)		(0.00372)		(0.00303)	
Constant	-2.039***	-1.538***	-1.106***	-1.151***	0.0646***	0.0551***	0.0493***	0.0417***	-2.654***	-2.795***	-0.855***	-0.824***	0.0966***	0.0875***	0.0692***	0.0643***	-3.863***	-3.621***	-1.305***	-1.421***	0.201***	0.175***	0.144***	0.124***	-4.654***	-3.734***	-0.559***	-0.338***	0.200***	0.175***	0.129***	0.114***	-3.430***	-2.757***	-1.067***	-0.870***	0.254***	0.240***	0.201***	0.191***	-4.020***	-3.031***	-0.744***	-0.495***	0.266***	0.221***	0.191***	0.157***	-3.426***	-2.475***	-0.679***	-0.368**	0.304***	0.263***	0.247***	0.222***
	(0.144)	(0.116)	(0.150)	(0.145)	(0.00715)	(0.00626)	(0.00600)	(0.00516)	(0.542)	(0.538)	(0.113)	(0.108)	(0.01000)	(0.00854)	(0.00789)	(0.00646)	(0.535)	(0.543)	(0.281)	(0.289)	(0.0110)	(0.00931)	(0.00932)	(0.00786)	(0.340)	(0.374)	(0.104)	(0.0949)	(0.0163)	(0.0147)	(0.0130)	(0.0114)	(0.250)	(0.227)	(0.120)	(0.144)	(0.0238)	(0.0219)	(0.0206)	(0.0190)	(0.289)	(0.287)	(0.141)	(0.125)	(0.0282)	(0.0254)	(0.0231)	(0.0209)	(0.371)	(0.365)	(0.170)	(0.167)	(0.0397)	(0.0377)	(0.0341)	(0.0323)
																																																								
Observations	106,675	106,675	41,045	41,045	294,526	294,526	294,526	294,526	175,006	175,006	70,991	70,991	327,992	327,992	327,992	327,992	180,464	180,464	75,825	75,825	289,848	289,848	289,848	289,848	161,154	161,154	72,846	72,846	239,118	239,118	239,118	239,118	138,152	138,152	69,021	69,021	195,487	195,487	195,487	195,487	110,559	110,559	59,617	59,617	151,042	151,042	151,042	151,042	83,509	83,509	46,795	46,795	111,963	111,963	111,963	111,963
R-squared	0.136	0.078	0.392	0.344	0.038	0.038	0.026	0.026	0.135	0.061	0.367	0.319	0.034	0.034	0.020	0.020	0.135	0.045	0.381	0.325	0.039	0.039	0.024	0.024	0.130	0.042	0.400	0.351	0.037	0.037	0.021	0.021	0.131	0.045	0.402	0.357	0.042	0.042	0.024	0.024	0.122	0.043	0.384	0.343	0.038	0.038	0.021	0.021	0.121	0.054	0.349	0.312	0.034	0.034	0.019	0.019
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
