	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																
agefirstbirth	-0.00389**	0.00724***	0.000946	0.00600***	0.00221***	0.00219***	0.00176***	0.00175***	3.08e-05	0.0108***	0.00103	0.00624***	0.00185***	0.00183***	0.00135***	0.00134***	-0.00808***	-0.00194*	-0.00128*	0.00235***	0.00212***	0.00213***	0.00159***	0.00160***	-0.00739***	-0.00479***	-0.00183***	-0.000465	0.00231***	0.00230***	0.00170***	0.00170***	-0.0121***	-0.0126***	-0.00422***	-0.00446***	0.00266***	0.00268***	0.00180***	0.00182***	-0.0134***	-0.0129***	-0.00511***	-0.00483***	0.00265***	0.00267***	0.00197***	0.00197***
	(0.00154)	(0.00159)	(0.000991)	(0.00103)	(0.000102)	(0.000102)	(9.29e-05)	(9.26e-05)	(0.00115)	(0.00117)	(0.000722)	(0.000740)	(8.49e-05)	(8.31e-05)	(7.42e-05)	(7.26e-05)	(0.00109)	(0.00114)	(0.000704)	(0.000730)	(9.19e-05)	(9.08e-05)	(8.00e-05)	(7.93e-05)	(0.00112)	(0.00118)	(0.000705)	(0.000735)	(0.000118)	(0.000118)	(9.85e-05)	(9.78e-05)	(0.00116)	(0.00122)	(0.000699)	(0.000724)	(0.000147)	(0.000146)	(0.000120)	(0.000120)	(0.00127)	(0.00132)	(0.000704)	(0.000728)	(0.000179)	(0.000178)	(0.000149)	(0.000149)
height	0.00451***		0.00159***		-5.84e-05**		-4.83e-05**		0.00461***		0.00261***		-6.65e-05**		-3.76e-05		0.00571***		0.00170***		-0.000166***		-0.000138***		0.00529***		0.00194***		-0.000173***		-0.000113***		0.00453***		0.00180***		-0.000108*		-6.60e-05		0.00427***		0.00137***		-0.000275***		-0.000250***	
	(0.000547)		(0.000339)		(2.39e-05)		(2.16e-05)		(0.000418)		(0.000283)		(2.87e-05)		(2.47e-05)		(0.000426)		(0.000292)		(3.69e-05)		(3.19e-05)		(0.000448)		(0.000288)		(5.34e-05)		(3.89e-05)		(0.000477)		(0.000281)		(5.92e-05)		(4.95e-05)		(0.000513)		(0.000290)		(7.14e-05)		(5.91e-05)	
bmi	0.00953***		0.00476***		-3.84e-05		-1.73e-05		0.0143***		0.00455***		-1.82e-05		-2.22e-05		0.0183***		0.00727***		-0.000141***		-6.08e-05		0.0222***		0.00860***		4.53e-05		3.04e-05		0.0247***		0.00958***		-0.000202**		-0.000126*		0.0243***		0.00857***		-0.000381***		-0.000162*	
	(0.000741)		(0.000450)		(2.66e-05)		(2.46e-05)		(0.000623)		(0.000371)		(3.35e-05)		(2.97e-05)		(0.000616)		(0.000376)		(4.83e-05)		(4.23e-05)		(0.000675)		(0.000405)		(8.09e-05)		(5.58e-05)		(0.000743)		(0.000430)		(8.25e-05)		(6.86e-05)		(0.000812)		(0.000459)		(9.82e-05)		(8.34e-05)	
educf_1_4	0.241***		0.0984***		-0.00241***		-0.00173***		0.202***		0.0873***		-0.00187***		-0.00140***		0.293***		0.112***		-0.00151**		-0.000613		0.285***		0.0974***		-0.00274***		-0.00185***		0.293***		0.0977***		-0.00428***		-0.00275***		0.328***		0.0897***		-0.00248**		-0.00135	
	(0.0138)		(0.0108)		(0.000560)		(0.000507)		(0.00873)		(0.00686)		(0.000587)		(0.000512)		(0.00813)		(0.00583)		(0.000706)		(0.000608)		(0.00830)		(0.00549)		(0.000795)		(0.000642)		(0.00855)		(0.00518)		(0.000953)		(0.000796)		(0.00934)		(0.00519)		(0.00118)		(0.00101)	
educf_5_6	0.412***		0.182***		-0.00260***		-0.00173***		0.420***		0.180***		-0.00202***		-0.00132***		0.485***		0.191***		-0.00221***		-0.00121**		0.499***		0.181***		-0.00447***		-0.00258***		0.548***		0.183***		-0.00420***		-0.00259***		0.552***		0.180***		-0.00560***		-0.00364***	
	(0.0129)		(0.00938)		(0.000511)		(0.000460)		(0.00854)		(0.00627)		(0.000574)		(0.000489)		(0.00828)		(0.00568)		(0.000679)		(0.000572)		(0.00905)		(0.00585)		(0.000765)		(0.000658)		(0.00983)		(0.00617)		(0.00107)		(0.000867)		(0.0110)		(0.00660)		(0.00121)		(0.00102)	
