	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																
agefirstbirth	-0.00445**	0.00691***	0.00113	0.00644***	0.00173***	0.00171***	0.00147***	0.00146***	-0.000777	0.0111***	0.000576	0.00616***	0.00173***	0.00170***	0.00126***	0.00125***	-0.00719***	0.000667	0.000251	0.00439***	0.00189***	0.00190***	0.00142***	0.00143***	-0.00733***	-0.00271*	-0.00193**	0.000104	0.00234***	0.00234***	0.00182***	0.00183***	-0.0106***	-0.00947***	-0.00295***	-0.00263**	0.00243***	0.00244***	0.00165***	0.00167***	-0.0140***	-0.0114***	-0.00568***	-0.00444***	0.00252***	0.00250***	0.00189***	0.00187***
	(0.00174)	(0.00179)	(0.00111)	(0.00116)	(0.000106)	(0.000106)	(9.87e-05)	(9.84e-05)	(0.00138)	(0.00140)	(0.000880)	(0.000896)	(0.000101)	(9.76e-05)	(8.73e-05)	(8.47e-05)	(0.00140)	(0.00145)	(0.000899)	(0.000934)	(0.000112)	(0.000111)	(9.87e-05)	(9.75e-05)	(0.00148)	(0.00155)	(0.000945)	(0.000981)	(0.000154)	(0.000155)	(0.000132)	(0.000132)	(0.00162)	(0.00170)	(0.00100)	(0.00104)	(0.000196)	(0.000195)	(0.000159)	(0.000159)	(0.00182)	(0.00189)	(0.00103)	(0.00106)	(0.000263)	(0.000261)	(0.000223)	(0.000221)
height	0.00439***		0.00163***		-3.99e-05*		-4.58e-05**		0.00468***		0.00267***		-6.15e-05*		-4.28e-05		0.00617***		0.00155***		-0.000173***		-0.000130***		0.00522***		0.00209***		-0.000201***		-0.000102**		0.00595***		0.00235***		-4.72e-05		-3.44e-05		0.00449***		0.00136***		-0.000121		-0.000200**	
	(0.000602)		(0.000378)		(2.23e-05)		(2.07e-05)		(0.000498)		(0.000337)		(3.20e-05)		(2.74e-05)		(0.000536)		(0.000369)		(4.18e-05)		(3.68e-05)		(0.000588)		(0.000383)		(7.68e-05)		(5.08e-05)		(0.000660)		(0.000401)		(7.85e-05)		(6.71e-05)		(0.000755)		(0.000433)		(9.78e-05)		(8.07e-05)	
bmi	0.00899***		0.00437***		-6.31e-05**		-4.63e-05*		0.0144***		0.00507***		7.39e-06		1.31e-05		0.0184***		0.00720***		-0.000104*		-3.57e-05		0.0206***		0.00824***		-7.74e-05		-4.40e-05		0.0231***		0.00917***		-9.19e-05		-0.000111		0.0207***		0.00777***		-0.000191		1.16e-05	
	(0.000822)		(0.000501)		(2.69e-05)		(2.50e-05)		(0.000736)		(0.000429)		(3.84e-05)		(3.42e-05)		(0.000780)		(0.000474)		(5.80e-05)		(5.14e-05)		(0.000880)		(0.000521)		(0.000111)		(6.91e-05)		(0.000991)		(0.000591)		(0.000110)		(9.05e-05)		(0.00112)		(0.000655)		(0.000140)		(0.000122)	
educf_1_4	0.219***		0.100***		-0.00177***		-0.00135***		0.187***		0.0865***		-0.00211***		-0.00115*		0.277***		0.107***		-0.00166*		-0.000752		0.269***		0.0882***		-0.00202*		-0.00161*		0.284***		0.100***		-0.00527***		-0.00277***		0.298***		0.0827***		-0.00384**		-0.00239*	
	(0.0154)		(0.0119)		(0.000523)		(0.000468)		(0.0101)		(0.00793)		(0.000674)		(0.000591)		(0.0102)		(0.00733)		(0.000860)		(0.000732)		(0.0111)		(0.00722)		(0.00111)		(0.000893)		(0.0115)		(0.00733)		(0.00124)		(0.00108)		(0.0130)		(0.00757)		(0.00162)		(0.00144)	
educf_5_6	0.381***		0.174***		-0.00233***		-0.00177***		0.388***		0.164***		-0.00198***		-0.000707		0.454***		0.176***		-0.00278***		-0.00142**		0.470***		0.163***		-0.00448***		-0.00284***		0.517***		0.180***		-0.00555***		-0.00339***		0.516***		0.165***		-0.00512***		-0.00337**	
	(0.0145)		(0.0104)		(0.000500)		(0.000437)		(0.00986)		(0.00727)		(0.000677)		(0.000586)		(0.0102)		(0.00701)		(0.000819)		(0.000714)		(0.0115)		(0.00754)		(0.00102)		(0.000883)		(0.0133)		(0.00844)		(0.00144)		(0.00114)		(0.0153)		(0.00945)		(0.00177)		(0.00153)	
educf_7_10	0.509***		0.237***		-0.00271***		-0.00210***		0.539***		0.227***		-0.00298***		-0.00163***		0.650***		0.259***		-0.00370***		-0.00166**		0.702***		0.258***		-0.00375***		-0.00241***		0.700***		0.257***		-0.00634***		-0.00316**		0.736***		0.257***		-0.00494**		-0.00287*	
	(0.0125)		(0.00871)		(0.000438)		(0.000395)		(0.00917)		(0.00610)		(0.000601)		(0.000487)		(0.0103)		(0.00665)		(0.000751)		(0.000671)		(0.0117)		(0.00718)		(0.00106)		(0.000914)		(0.0139)		(0.00803)		(0.00145)		(0.00125)		(0.0168)		(0.00937)		(0.00192)		(0.00161)	
educf_11plus	0.628***		0.270***		-0.00242***		-0.00182***		0.705***		0.263***		-0.00238***		-0.00136***		0.797***		0.309***		-0.000931		0.000295		0.824***		0.321***		-0.00300**		-0.00147		0.904***		0.326***		-0.00450**		-0.000558		0.911***		0.328***		-0.00928***		-0.00452*	
	(0.0127)		(0.00877)		(0.000416)		(0.000369)		(0.0105)		(0.00650)		(0.000619)		(0.000502)		(0.0123)		(0.00721)		(0.000860)		(0.000795)		(0.0160)		(0.00885)		(0.00136)		(0.00121)		(0.0207)		(0.0116)		(0.00196)		(0.00180)		(0.0250)		(0.0135)		(0.00270)		(0.00248)	
Constant	-1.951***	-1.512***	-1.149***	-1.225***	0.0421***	0.0354***	0.0372***	0.0297***	-2.644***	-2.798***	-0.897***	-0.901***	0.0823***	0.0748***	0.0621***	0.0569***	-3.504***	-3.233***	-0.826***	-1.007***	0.172***	0.146***	0.130***	0.111***	-4.578***	-3.764***	-0.577***	-0.355***	0.193***	0.161***	0.130***	0.113***	-3.139***	-2.377***	-1.210***	-1.020***	0.261***	0.254***	0.221***	0.215***	-3.794***	-2.610***	-1.237***	-0.816***	0.183***	0.158***	0.156***	0.123***
	(0.160)	(0.130)	(0.168)	(0.161)	(0.00630)	(0.00520)	(0.00563)	(0.00454)	(0.549)	(0.545)	(0.135)	(0.129)	(0.0102)	(0.00837)	(0.00841)	(0.00666)	(0.416)	(0.401)	(0.135)	(0.129)	(0.0128)	(0.0108)	(0.0115)	(0.00980)	(0.374)	(0.399)	(0.139)	(0.129)	(0.0209)	(0.0186)	(0.0172)	(0.0149)	(0.295)	(0.272)	(0.162)	(0.179)	(0.0388)	(0.0363)	(0.0365)	(0.0344)	(0.747)	(0.683)	(0.180)	(0.167)	(0.0382)	(0.0349)	(0.0315)	(0.0295)
																																																
Observations	89,337	89,337	34,411	34,411	244,336	244,336	244,336	244,336	130,901	130,901	52,910	52,910	246,924	246,924	246,924	246,924	118,055	118,055	49,140	49,140	192,279	192,279	192,279	192,279	96,522	96,522	43,940	43,940	144,804	144,804	144,804	144,804	74,431	74,431	37,142	37,142	106,480	106,480	106,480	106,480	56,311	56,311	30,169	30,169	77,796	77,796	77,796	77,796
R-squared	0.132	0.080	0.383	0.337	0.027	0.026	0.020	0.020	0.132	0.063	0.355	0.310	0.027	0.027	0.017	0.017	0.134	0.049	0.378	0.325	0.031	0.030	0.019	0.019	0.131	0.048	0.400	0.353	0.033	0.033	0.021	0.020	0.133	0.047	0.392	0.347	0.037	0.036	0.023	0.023	0.124	0.047	0.374	0.334	0.034	0.034	0.020	0.020
Robust standard errors in parentheses																																																
*** p<0.01, ** p<0.05, * p<0.1																																																
