	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
	(0.119)	(0.125)	(0.0982)	(0.0468)	(0.0469)	(0.0516)	(0.0607)	(0.0592)	(0.0504)	(0.0375)	(0.0377)	(0.0411)	(0.0491)	(0.0476)	(0.0485)	(0.0376)	(0.0377)	(0.0409)	(0.0413)	(0.0407)	(0.0528)	(0.0403)	(0.0405)	(0.0434)	(0.0463)	(0.0473)	(0.0645)	(0.0444)	(0.0445)	(0.0475)	(0.0513)	(0.0519)	(0.0612)	(0.0507)	(0.0509)	(0.0539)
agemay	0.0917	0.114	0.455	0.0497**	0.0516**	0.147**	0.0645	0.0719	0.293**	0.0418**	0.0426**	0.115**	0.0641	0.0731	0.198**	0.0323**	0.0316**	0.0746**	0.0289	0.0361	0.0895	0.0271**	0.0258**	0.0460**	0.0667*	0.0704*	0.126**	0.0210**	0.0187*	0.0242**	0.0362	0.0410	0.0668*	0.0250**	0.0224*	0.0211*
	(0.0646)	(0.0750)	(0.264)	(0.00765)	(0.00768)	(0.00822)	(0.0365)	(0.0385)	(0.0985)	(0.00624)	(0.00626)	(0.00671)	(0.0359)	(0.0380)	(0.0657)	(0.00632)	(0.00634)	(0.00682)	(0.0339)	(0.0357)	(0.0460)	(0.00693)	(0.00696)	(0.00745)	(0.0310)	(0.0319)	(0.0428)	(0.00778)	(0.00781)	(0.00832)	(0.0252)	(0.0256)	(0.0299)	(0.00908)	(0.00911)	(0.00966)
borddummy2							-0.254	-0.280	-1.154*	-0.106**	-0.0927*	-0.229**	-0.247	-0.285	-0.759*	-0.0547	-0.0370	-0.103*	-0.0647	-0.0956	-0.287	-0.0530	-0.0321	-0.0375	-0.283	-0.297	-0.596*	0.00270	0.0247	0.0249	-0.0441	-0.0668	-0.221	0.0290	0.0539	0.0747
							(0.237)	(0.245)	(0.512)	(0.0387)	(0.0389)	(0.0424)	(0.218)	(0.229)	(0.350)	(0.0446)	(0.0448)	(0.0487)	(0.213)	(0.222)	(0.267)	(0.0528)	(0.0530)	(0.0571)	(0.198)	(0.203)	(0.267)	(0.0626)	(0.0628)	(0.0671)	(0.171)	(0.174)	(0.201)	(0.0761)	(0.0763)	(0.0811)
borddummy3													-0.372	-0.441	-1.407	0.0334	0.0790	-0.0413	0.00288	-0.0527	-0.421	0.0264	0.0752	0.0785	-0.493	-0.512	-1.067*	0.0933	0.145*	0.187*	-0.0143	-0.0638	-0.364	0.136	0.183*	0.239**
													(0.452)	(0.473)	(0.723)	(0.0530)	(0.0531)	(0.0575)	(0.422)	(0.439)	(0.527)	(0.0608)	(0.0610)	(0.0655)	(0.390)	(0.399)	(0.522)	(0.0706)	(0.0708)	(0.0756)	(0.325)	(0.330)	(0.383)	(0.0844)	(0.0846)	(0.0898)
educf_11plus																0.541**	0.565**					0.659**	0.666**					0.942**	0.992**							
																(0.0909)	(0.0913)					(0.122)	(0.123)					(0.166)	(0.166)							
borddummy4																			0.170	0.100	-0.412	0.203**	0.281**	0.293**	-0.556	-0.574	-1.311	0.263**	0.343**	0.428**	0.101	0.0410	-0.335	0.309**	0.384**	0.497**
																			(0.595)	(0.618)	(0.741)	(0.0718)	(0.0720)	(0.0772)	(0.542)	(0.553)	(0.722)	(0.0823)	(0.0824)	(0.0878)	(0.447)	(0.454)	(0.524)	(0.0973)	(0.0974)	(0.103)
borddummy5																									-0.562	-0.596		0.569**	0.671**		0.291	0.202		0.578**	0.675**	
																									(0.746)	(0.762)		(0.0955)	(0.0957)		(0.611)	(0.622)		(0.112)	(0.112)	
borddummy6																															0.291	0.168		0.652**	0.763**	
																															(0.766)	(0.780)		(0.131)	(0.131)	
Constant	5.439	11.07*	-0.165	6.277	11.03	9.474	7.956	13.61**	4.899	7.897**	12.86**	11.55**	7.454	11.54**	7.632	7.750	12.07	12.11	9.746*	14.03**	12.47**	13.27**	17.70**	19.55**	5.020	11.48**	5.610	10.84**	14.89**	14.90**	10.74**	13.21**	9.897*	9.232	13.75	13.42
	(6.489)	(4.934)	(12.36)	(58,998)	(59,211)	(65,419)	(4.517)	(3.398)	(5.477)	(2.782)	(2.745)	(3.008)	(4.540)	(3.389)	(5.016)	(36,782)	(36,924)	(40,179)	(4.403)	(3.485)	(4.375)	(2.804)	(2.765)	(2.977)	(4.420)	(3.907)	(5.078)	(3.075)	(3.032)	(3.239)	(4.061)	(3.532)	(4.294)	(79,556)	(79,833)	(84,862)
																																				
Observations	24,117	24,117	24,117	24,117	24,117	24,117	38,586	38,586	38,586	38,586	38,586	38,586	40,627	40,627	40,627	40,627	40,627	40,627	36,558	36,558	36,558	36,558	36,558	36,558	30,471	30,471	30,471	30,471	30,471	30,471	23,727	23,727	23,727	23,727	23,727	23,727
R-squared	0.323	0.265	-0.786	0.371	0.367	0.227	0.336	0.323	-0.180	0.350	0.345	0.213	0.299	0.277	-0.047	0.323	0.318	0.192	0.299	0.291	0.142	0.299	0.294	0.181	0.224	0.201	-0.103	0.285	0.279	0.176	0.266	0.253	0.100	0.270	0.265	0.170
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
