	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
	(0.123)	(0.130)	(0.360)	(0.0678)	(0.0679)	(0.0755)	(0.0727)	(0.0776)	(0.250)	(0.0590)	(0.0591)	(0.0653)	(0.0802)	(0.0841)	(0.127)	(0.0623)	(0.0625)	(0.0684)	(0.140)	(0.150)	(0.278)	(0.0700)	(0.0702)	(0.0766)	(0.103)	(0.105)	(0.123)	(0.0802)	(0.0805)	(0.0875)	(63.22)	(61.68)	(30.22)	(0.0958)	(0.0962)	(0.104)
agemay	0.170*	0.173*	0.443	0.0570**	0.0550**	0.0969**	0.111	0.115	0.372	0.0636**	0.0614**	0.0983**	0.0974	0.0938	0.134	0.0616**	0.0574**	0.0801**	0.140	0.134	0.200	0.0497**	0.0457**	0.0612**	0.0169	0.0184	0.0284	0.0426**	0.0374**	0.0395*	-1.288	-1.283	-0.864	0.0452**	0.0378*	0.0333
	(0.0826)	(0.0849)	(0.254)	(0.0112)	(0.0112)	(0.0122)	(0.0608)	(0.0635)	(0.232)	(0.0101)	(0.0101)	(0.0110)	(0.0605)	(0.0596)	(0.0817)	(0.0109)	(0.0109)	(0.0119)	(0.0877)	(0.0852)	(0.139)	(0.0124)	(0.0125)	(0.0136)	(0.0312)	(0.0310)	(0.0346)	(0.0144)	(0.0144)	(0.0157)	(17.02)	(16.31)	(7.183)	(0.0175)	(0.0175)	(0.0190)
borddummy2							-0.425	-0.452	-1.667	-0.152*	-0.141*	-0.249**	-0.359	-0.348	-0.469	-0.151*	-0.135	-0.183*	-0.710	-0.689	-0.933	-0.0912	-0.0773	-0.0785	0.0434	0.0121	-0.0589	-0.136	-0.122	-0.134	11.33	11.29	7.729	-0.116	-0.110	-0.155
							(0.353)	(0.368)	(1.204)	(0.0629)	(0.0630)	(0.0694)	(0.354)	(0.351)	(0.435)	(0.0761)	(0.0763)	(0.0836)	(0.604)	(0.595)	(0.857)	(0.0935)	(0.0938)	(0.102)	(0.224)	(0.225)	(0.243)	(0.114)	(0.115)	(0.125)	(146.0)	(140.7)	(63.14)	(0.144)	(0.145)	(0.157)
borddummy3													-0.528	-0.502	-0.769	-0.0992	-0.0629	-0.172	-1.283	-1.224	-1.725	-0.0283	0.00934	0.0106	0.439	0.372	0.295	0.0353	0.0711	0.128	23.82	23.72	16.16	-0.102	-0.0651	-0.00770
													(0.720)	(0.713)	(0.896)	(0.0910)	(0.0911)	(0.0995)	(1.206)	(1.183)	(1.725)	(0.108)	(0.108)	(0.118)	(0.450)	(0.453)	(0.487)	(0.129)	(0.130)	(0.141)	(305.4)	(293.7)	(129.4)	(0.160)	(0.161)	(0.175)
educf_11plus																3.684**	3.796**											0.592**	0.631**							
																(0.129)	(0.128)											(0.212)	(0.212)							
borddummy4																			-1.757	-1.653	-2.410	0.157	0.223	0.227	0.761	0.683	0.599	0.184	0.254	0.363*	32.85	32.71	21.95	0.119	0.186	0.320
