	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
agemay	0.0150**	0.0166**	0.0443**	0.0120**	0.0129**	0.0306**	0.0151**	0.0165**	0.0404**	0.0120**	0.0126**	0.0266**	0.0136**	0.0143**	0.0277**	0.0109**	0.0111**	0.0194**	0.0112**	0.0120**	0.0186**	0.00952**	0.00920**	0.0126**	0.0129**	0.0125**	0.0150**	0.00855**	0.00777**	0.00796**	0.0104**	0.00973**	0.00889**	0.00932**	0.00819**	0.00638**
	(0.00169)	(0.00176)	(0.00336)	(0.000655)	(0.000658)	(0.000678)	(0.00128)	(0.00132)	(0.00226)	(0.000535)	(0.000538)	(0.000561)	(0.00116)	(0.00118)	(0.00160)	(0.000525)	(0.000527)	(0.000556)	(0.00116)	(0.00118)	(0.00139)	(0.000549)	(0.000553)	(0.000584)	(0.00123)	(0.00124)	(0.00136)	(0.000608)	(0.000611)	(0.000644)	(0.00133)	(0.00134)	(0.00140)	(0.000705)	(0.000709)	(0.000742)
borddummy2							-0.0424*	-0.0461*	-0.160**	0.00494	0.0102**	-0.0116**	-0.0255	-0.0259	-0.0816**	0.00654	0.0115*	0.00139	-0.0103	-0.0164	-0.0498**	0.00864	0.0141*	0.0126*	-0.0323*	-0.0305*	-0.0496**	0.0115	0.0177*	0.0208**	0.000994	0.00365	-0.000419	0.0106	0.0171	0.0217*
							(0.0178)	(0.0180)	(0.0239)	(0.00387)	(0.00389)	(0.00414)	(0.0132)	(0.0133)	(0.0158)	(0.00452)	(0.00455)	(0.00485)	(0.0126)	(0.0128)	(0.0143)	(0.00561)	(0.00564)	(0.00599)	(0.0131)	(0.0132)	(0.0143)	(0.00723)	(0.00727)	(0.00767)	(0.0138)	(0.0139)	(0.0146)	(0.00961)	(0.00966)	(0.0101)
educf_11plus										0.365**	0.391**																	0.276**	0.303**							
										(0.00782)	(0.00783)																	(0.0159)	(0.0160)							
borddummy3													-0.0590*	-0.0590*	-0.178**	0.0131*	0.0251**	0.00810	-0.0228	-0.0351	-0.102**	0.0167**	0.0283**	0.0271**	-0.0614**	-0.0583*	-0.0948**	0.0280**	0.0403**	0.0488**	0.00101	0.00511	-0.00118	0.0210*	0.0329**	0.0445**
													(0.0284)	(0.0286)	(0.0341)	(0.00522)	(0.00524)	(0.00557)	(0.0243)	(0.0247)	(0.0277)	(0.00606)	(0.00609)	(0.00646)	(0.0234)	(0.0236)	(0.0257)	(0.00752)	(0.00756)	(0.00798)	(0.0226)	(0.0228)	(0.0240)	(0.00978)	(0.00983)	(0.0103)
borddummy4																			-0.0216	-0.0399	-0.143**	0.0420**	0.0624**	0.0653**	-0.0846*	-0.0791*	-0.133**	0.0509**	0.0702**	0.0839**	0.0169	0.0238	0.0147	0.0464**	0.0650**	0.0824**
																			(0.0386)	(0.0392)	(0.0440)	(0.00697)	(0.00701)	(0.00742)	(0.0346)	(0.0349)	(0.0379)	(0.00824)	(0.00829)	(0.00873)	(0.0320)	(0.0322)	(0.0339)	(0.0104)	(0.0104)	(0.0109)
