	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																														
educf_7_10	-0.0596**	-0.0704**		0.400**	0.423**		-0.0663**	-0.0779**		-0.0449**	-0.0520**		-0.0345*	-0.0482**					-0.0820**	-0.0989**					-0.136**	-0.160**					-0.175**	-0.203**					-0.0596**	-0.0704**		0.400**	0.423**		-0.0663**	-0.0779**		-0.0449**	-0.0520**		-0.0345*	-0.0482**					-0.0820**	-0.0989**					-0.136**	-0.160**
	(0.0203)	(0.0211)		(0.0113)	(0.0113)		(0.0155)	(0.0161)		(0.00996)	(0.00998)		(0.0140)	(0.0143)					(0.0178)	(0.0182)					(0.0240)	(0.0243)					(0.0322)	(0.0324)					(0.0203)	(0.0211)		(0.0113)	(0.0113)		(0.0155)	(0.0161)		(0.00996)	(0.00998)		(0.0140)	(0.0143)					(0.0178)	(0.0182)					(0.0240)	(0.0243)
poor1	-0.381**	-0.404**		-0.376**	-0.394**		-0.430**	-0.456**		-0.396**	-0.414**		-0.424**	-0.449**		-0.401**	-0.420**		-0.418**	-0.450**		-0.397**	-0.418**		-0.430**	-0.456**		-0.391**	-0.412**		-0.370**	-0.395**		-0.372**	-0.392**		-0.381**	-0.404**		-0.376**	-0.394**		-0.430**	-0.456**		-0.396**	-0.414**		-0.424**	-0.449**		-0.401**	-0.420**		-0.418**	-0.450**		-0.397**	-0.418**		-0.430**	-0.456**
	(0.0256)	(0.0274)		(0.00991)	(0.00990)		(0.0205)	(0.0219)		(0.00787)	(0.00787)		(0.0168)	(0.0178)		(0.00763)	(0.00762)		(0.0183)	(0.0197)		(0.00810)	(0.00810)		(0.0156)	(0.0162)		(0.00906)	(0.00906)		(0.0149)	(0.0151)		(0.0105)	(0.0105)		(0.0256)	(0.0274)		(0.00991)	(0.00990)		(0.0205)	(0.0219)		(0.00787)	(0.00787)		(0.0168)	(0.0178)		(0.00763)	(0.00762)		(0.0183)	(0.0197)		(0.00810)	(0.00810)		(0.0156)	(0.0162)
height	0.00523**			0.00515**			0.00577**			0.00517**			0.00533**			0.00490**			0.00477**			0.00438**			0.00447**			0.00384**			0.00370**			0.00373**			0.00523**			0.00515**			0.00577**			0.00517**			0.00533**			0.00490**			0.00477**			0.00438**			0.00447**	
	(0.000639)			(0.000502)			(0.000533)			(0.000411)			(0.000496)			(0.000416)			(0.000545)			(0.000451)			(0.000561)			(0.000514)			(0.000615)			(0.000600)			(0.000639)			(0.000502)			(0.000533)			(0.000411)			(0.000496)			(0.000416)			(0.000545)			(0.000451)			(0.000561)	
bmi	0.0119**			0.0117**			0.0143**			0.0130**			0.0152**			0.0142**			0.0174**			0.0166**			0.0188**			0.0176**			0.0173**			0.0173**			0.0119**			0.0117**			0.0143**			0.0130**			0.0152**			0.0142**			0.0174**			0.0166**			0.0188**	
	(0.00120)			(0.000656)			(0.000924)			(0.000535)			(0.000836)			(0.000539)			(0.000863)			(0.000582)			(0.000766)			(0.000657)			(0.000768)			(0.000754)			(0.00120)			(0.000656)			(0.000924)			(0.000535)			(0.000836)			(0.000539)			(0.000863)			(0.000582)			(0.000766)	
malec	0.0312**	0.0307**	0.0224*	0.0295**	0.0274**	0.00698	0.0462**	0.0453**	0.0291**	0.0371**	0.0349**	0.00842	0.0792**	0.0768**	0.0483**	0.0748**	0.0719**	0.0405**	0.104**	0.101**	0.0699**	0.102**	0.0982**	0.0677**	0.129**	0.125**	0.0984**	0.127**	0.122**	0.0981**	0.144**	0.140**	0.121**	0.144**	0.140**	0.121**	0.0312**	0.0307**	0.0224*	0.0295**	0.0274**	0.00698	0.0462**	0.0453**	0.0291**	0.0371**	0.0349**	0.00842	0.0792**	0.0768**	0.0483**	0.0748**	0.0719**	0.0405**	0.104**	0.101**	0.0699**	0.102**	0.0982**	0.0677**	0.129**	0.125**
	(0.0105)	(0.0105)	(0.0108)	(0.00604)	(0.00605)	(0.00644)	(0.00710)	(0.00710)	(0.00741)	(0.00496)	(0.00497)	(0.00530)	(0.00577)	(0.00575)	(0.00590)	(0.00503)	(0.00505)	(0.00538)	(0.00579)	(0.00579)	(0.00604)	(0.00548)	(0.00550)	(0.00585)	(0.00637)	(0.00640)	(0.00689)	(0.00623)	(0.00625)	(0.00660)	(0.00725)	(0.00728)	(0.00767)	(0.00725)	(0.00728)	(0.00765)	(0.0105)	(0.0105)	(0.0108)	(0.00604)	(0.00605)	(0.00644)	(0.00710)	(0.00710)	(0.00741)	(0.00496)	(0.00497)	(0.00530)	(0.00577)	(0.00575)	(0.00590)	(0.00503)	(0.00505)	(0.00538)	(0.00579)	(0.00579)	(0.00604)	(0.00548)	(0.00550)	(0.00585)	(0.00637)	(0.00640)
