	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
agemay	0.00736**	0.00836**	0.0246**	0.00458**	0.00536**	0.0153**	0.00463**	0.00549**	0.0186**	0.00435**	0.00499**	0.0136**	0.00425**	0.00482**	0.0145**	0.00221**	0.00264**	0.00867**	0.00363	0.00422*	0.00893**	0.00161	0.00168	0.00442**	0.00707**	0.00697**	0.00920**	0.00196	0.00173	0.00190	0.00175	0.00170	0.00143	0.00160	0.00111	-0.000453
	(0.00197)	(0.00203)	(0.00364)	(0.000867)	(0.000865)	(0.000857)	(0.00146)	(0.00150)	(0.00242)	(0.000746)	(0.000746)	(0.000748)	(0.00146)	(0.00148)	(0.00193)	(0.000790)	(0.000791)	(0.000805)	(0.00187)	(0.00190)	(0.00217)	(0.000895)	(0.000897)	(0.000920)	(0.00197)	(0.00197)	(0.00210)	(0.00104)	(0.00104)	(0.00107)	(0.00245)	(0.00246)	(0.00252)	(0.00125)	(0.00126)	(0.00129)
educf_11plus				0.145**	0.165**					0.160**	0.181**					-0.0491**	-0.0394**											0.0353	0.0513							
				(0.0122)	(0.0120)					(0.0109)	(0.0108)					(0.0134)	(0.0134)											(0.0266)	(0.0266)							
borddummy2							-0.0132	-0.0139	-0.0668**	-0.00884	-0.00641	-0.0144*	-0.0355*	-0.0341*	-0.0672**	-0.0107	-0.00813	-0.0104	-0.00994	-0.0131	-0.0292	0.0117	0.0141	0.0154	-0.00167	0.000292	-0.00881	0.0420**	0.0451**	0.0524**	0.0549*	0.0544*	0.0575*	0.0558*	0.0580*	0.0688**
							(0.0205)	(0.0206)	(0.0249)	(0.00557)	(0.00557)	(0.00577)	(0.0165)	(0.0166)	(0.0187)	(0.00724)	(0.00725)	(0.00752)	(0.0203)	(0.0205)	(0.0221)	(0.0101)	(0.0102)	(0.0105)	(0.0207)	(0.0207)	(0.0218)	(0.0148)	(0.0149)	(0.0153)	(0.0262)	(0.0263)	(0.0270)	(0.0230)	(0.0230)	(0.0237)
borddummy3													-0.0600	-0.0565	-0.128**	-0.00465	0.00169	-0.00134	-0.0370	-0.0430	-0.0735	0.00843	0.0140	0.0197	-0.0181	-0.0140	-0.0360	0.0758**	0.0821**	0.0957**	0.0961**	0.0954**	0.0957*	0.0981**	0.104**	0.121**
													(0.0342)	(0.0343)	(0.0391)	(0.00817)	(0.00817)	(0.00845)	(0.0384)	(0.0389)	(0.0420)	(0.0106)	(0.0106)	(0.0110)	(0.0340)	(0.0341)	(0.0360)	(0.0148)	(0.0148)	(0.0153)	(0.0363)	(0.0364)	(0.0374)	(0.0222)	(0.0222)	(0.0228)
borddummy4																			-0.0449	-0.0535	-0.100	0.0295*	0.0397**	0.0518**	-0.0738	-0.0673	-0.101	0.0747**	0.0849**	0.107**	0.132*	0.131*	0.128*	0.135**	0.144**	0.169**
																			(0.0615)	(0.0623)	(0.0672)	(0.0120)	(0.0120)	(0.0123)	(0.0509)	(0.0510)	(0.0539)	(0.0157)	(0.0157)	(0.0162)	(0.0515)	(0.0517)	(0.0531)	(0.0226)	(0.0227)	(0.0233)
