	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
malec	0.0133	0.0131	0.0121	0.0130	0.0127	0.0114	0.00942	0.00915	0.00862	0.00934	0.00911	0.00851	0.0139	0.0134	0.0119	0.0140	0.0135	0.0123	0.0253*	0.0238*	0.0170	0.0267*	0.0257*	0.0213	0.0471**	0.0462**	0.0373**	0.0470**	0.0462**	0.0381**	0.0466**	0.0460**	0.0415*	0.0436**	0.0428**	0.0357*
	(0.00839)	(0.00839)	(0.00863)	(0.00833)	(0.00833)	(0.00846)	(0.00789)	(0.00789)	(0.00813)	(0.00789)	(0.00789)	(0.00802)	(0.00935)	(0.00936)	(0.00954)	(0.00935)	(0.00935)	(0.00950)	(0.0114)	(0.0115)	(0.0122)	(0.0111)	(0.0111)	(0.0113)	(0.0131)	(0.0131)	(0.0133)	(0.0131)	(0.0131)	(0.0133)	(0.0166)	(0.0167)	(0.0172)	(0.0158)	(0.0158)	(0.0159)
agemay	0.00340	0.00349	0.0115*	0.00249*	0.00246*	0.00585**	0.00433	0.00423	0.0116*	0.00380**	0.00375**	0.00658**	0.00426	0.00431	0.00692*	0.00364**	0.00346**	0.00507**	0.00531	0.00574	0.00761	0.000367	9.19e-05	-0.000104	-0.000682	-0.000838	-0.000979	-0.00223	-0.00247	-0.00344	-0.00981	-0.0101	-0.0117	-0.00121	-0.00138	-0.00303
	(0.00290)	(0.00292)	(0.00574)	(0.00111)	(0.00111)	(0.00108)	(0.00261)	(0.00259)	(0.00456)	(0.00108)	(0.00108)	(0.00107)	(0.00287)	(0.00289)	(0.00349)	(0.00132)	(0.00132)	(0.00132)	(0.00490)	(0.00497)	(0.00563)	(0.00156)	(0.00156)	(0.00157)	(0.00325)	(0.00325)	(0.00335)	(0.00185)	(0.00184)	(0.00186)	(0.00689)	(0.00682)	(0.00642)	(0.00233)	(0.00233)	(0.00234)
educf_11plus					0.186**					0.346**	0.353**					0.331**	0.343**																	0.0864	0.0881	
					(0.0143)					(0.0175)	(0.0174)					(0.0209)	(0.0207)																	(0.0593)	(0.0593)	
borddummy2							-0.0273	-0.0254	-0.0680	-0.0202*	-0.0190*	-0.0198*	-0.0255	-0.0267	-0.0322	-0.0181	-0.0166	-0.0136	-0.0560	-0.0621	-0.0751	-0.00166	0.000396	0.00588	0.0228	0.0236	0.0187	0.0390	0.0407	0.0446	0.148*	0.149*	0.156*	0.0769	0.0769	0.0818
							(0.0329)	(0.0323)	(0.0435)	(0.00863)	(0.00862)	(0.00874)	(0.0330)	(0.0331)	(0.0348)	(0.0125)	(0.0125)	(0.0127)	(0.0543)	(0.0553)	(0.0598)	(0.0185)	(0.0185)	(0.0188)	(0.0394)	(0.0395)	(0.0407)	(0.0278)	(0.0278)	(0.0282)	(0.0704)	(0.0702)	(0.0689)	(0.0443)	(0.0443)	(0.0447)
borddummy3													-0.0568	-0.0595	-0.0684	-0.0407**	-0.0373**	-0.0281	-0.117	-0.131	-0.153	-0.00545	-0.00169	0.0127	0.0268	0.0280	0.0264	0.0587*	0.0617*	0.0765**	0.226	0.229	0.246*	0.0731	0.0731	0.0887*
													(0.0685)	(0.0686)	(0.0719)	(0.0142)	(0.0142)	(0.0144)	(0.107)	(0.109)	(0.117)	(0.0193)	(0.0193)	(0.0195)	(0.0616)	(0.0616)	(0.0632)	(0.0276)	(0.0276)	(0.0279)	(0.123)	(0.122)	(0.117)	(0.0427)	(0.0427)	(0.0431)
borddummy4																			-0.198	-0.218	-0.251	-0.0182	-0.0116	0.0136	0.00832	0.0104	0.00850	0.0573*	0.0620*	0.0853**	0.355	0.360*	0.384*	0.117**	0.117**	0.136**
																			(0.170)	(0.173)	(0.186)	(0.0217)	(0.0216)	(0.0219)	(0.0894)	(0.0894)	(0.0916)	(0.0291)	(0.0291)	(0.0295)	(0.184)	(0.183)	(0.176)	(0.0433)	(0.0433)	(0.0437)
borddummy5																									-0.00374	-0.00124		0.0677*	0.0742*		0.456	0.465		0.119**	0.121**	
																									(0.128)	(0.128)		(0.0322)	(0.0322)		(0.257)	(0.255)		(0.0457)	(0.0456)	
borddummy6																															0.570	0.581		0.124*	0.126*	
																															(0.338)	(0.336)		(0.0493)	(0.0492)	
Constant	1.161**	1.469**	1.117**	1.886**	1.994**	2.119**	1.235**	1.552**	1.123**	1.712**	2.005**	2.379**	0.944*	1.471**	1.245**	1.512**	2.040**	2.368**	0.306	0.956	0.574	1.464**	2.079**	1.524**	0.890*	1.349**	1.120**	1.998**	2.467**	2.555**	2.360*	2.789**	2.721**	1.007**	1.960**	1.382**
	(0.314)	(0.220)	(0.341)	(0.285)	(0.255)	(0.258)	(0.334)	(0.229)	(0.341)	(0.171)	(0.124)	(0.125)	(0.390)	(0.291)	(0.342)	(0.189)	(0.128)	(0.129)	(0.716)	(0.599)	(0.700)	(0.210)	(0.132)	(0.131)	(0.445)	(0.395)	(0.430)	(0.368)	(0.310)	(0.312)	(1.030)	(0.934)	(0.967)	(0.314)	(0.211)	(0.209)
																																				
Observations	17,738	17,738	17,738	17,738	17,738	17,738	22,654	22,654	22,654	22,654	22,654	22,654	19,407	19,407	19,407	19,407	19,407	19,407	15,513	15,513	15,513	15,513	15,513	15,513	12,065	12,065	12,065	12,065	12,065	12,065	8,868	8,868	8,868	8,868	8,868	8,868
R-squared	0.125	0.124	0.066	0.127	0.127	0.099	0.139	0.139	0.085	0.140	0.140	0.112	0.148	0.146	0.116	0.148	0.148	0.121	0.120	0.106	0.047	0.158	0.157	0.131	0.166	0.165	0.135	0.169	0.168	0.143	0.092	0.089	0.065	0.168	0.168	0.150
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
