	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																					
agemay	0.0824**	0.0948**	0.309***	0.0502***	0.0506***	0.128***	0.0919***	0.103***	0.312***	0.0424***	0.0418***	0.0999***	0.0613***	0.0628***	0.139***	0.0358***	0.0334***	0.0674***	0.0353**	0.0395**	0.0834***	0.0318***	0.0286***	0.0449***	0.0604***	0.0611***	0.0883***	0.0286***	0.0244***	0.0295***	0.0466***	0.0459***	0.0596***	0.0334***	0.0290***	0.0279***	0.0824*
	(0.0343)	(0.0370)	(0.0938)	(0.00559)	(0.00562)	(0.00606)	(0.0265)	(0.0285)	(0.0714)	(0.00455)	(0.00458)	(0.00494)	(0.0225)	(0.0229)	(0.0342)	(0.00449)	(0.00452)	(0.00488)	(0.0166)	(0.0170)	(0.0219)	(0.00477)	(0.00480)	(0.00516)	(0.0168)	(0.0171)	(0.0207)	(0.00519)	(0.00522)	(0.00558)	(0.0121)	(0.0122)	(0.0138)	(0.00591)	(0.00594)	(0.00631)	(0.0343)
borddummy2							-0.435**	-0.496**	-1.450***	-0.0715**	-0.0531*	-0.168***	-0.216	-0.220	-0.512**	-0.0340	-0.0108	-0.0600*	-0.0504	-0.0826	-0.280*	-0.0234	0.00273	-3.79e-05	-0.264*	-0.281**	-0.457***	0.000253	0.0253	0.0228	-0.112	-0.119	-0.240**	0.000431	0.0252	0.0297	
							(0.194)	(0.207)	(0.431)	(0.0286)	(0.0287)	(0.0314)	(0.161)	(0.163)	(0.217)	(0.0319)	(0.0321)	(0.0349)	(0.129)	(0.133)	(0.160)	(0.0364)	(0.0366)	(0.0395)	(0.139)	(0.142)	(0.168)	(0.0415)	(0.0418)	(0.0447)	(0.102)	(0.104)	(0.116)	(0.0488)	(0.0491)	(0.0522)	
borddummy3													-0.317	-0.317	-0.920**	0.0574	0.113***	0.00870	0.0153	-0.0399	-0.431	0.0689	0.129***	0.124***	-0.417	-0.441	-0.762**	0.112**	0.171***	0.191***	-0.139	-0.154	-0.385*	0.0918*	0.144***	0.168***	
													(0.326)	(0.330)	(0.442)	(0.0381)	(0.0384)	(0.0416)	(0.249)	(0.256)	(0.310)	(0.0423)	(0.0426)	(0.0458)	(0.269)	(0.276)	(0.325)	(0.0475)	(0.0478)	(0.0511)	(0.193)	(0.196)	(0.220)	(0.0550)	(0.0553)	(0.0588)	
borddummy4																			0.163	0.0978	-0.454	0.240***	0.340***	0.337***	-0.487	-0.503	-0.931**	0.264***	0.363***	0.412***	-0.0735	-0.0798	-0.379	0.256***	0.345***	0.407***	
																			(0.355)	(0.364)	(0.440)	(0.0507)	(0.0510)	(0.0548)	(0.380)	(0.388)	(0.456)	(0.0562)	(0.0565)	(0.0603)	(0.272)	(0.275)	(0.309)	(0.0645)	(0.0648)	(0.0688)	
educf_11plus																						0.951***	0.978***					1.122***	1.194***								
																						(0.0850)	(0.0856)					(0.110)	(0.111)								
