	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
agemay	0.0158**	0.0168**	0.0316**	0.0130**	0.0135**	0.0237**	0.0126**	0.0135**	0.0235**	0.0101**	0.0102**	0.0167**	0.00905**	0.00904**	0.0144**	0.00805**	0.00774**	0.0112**	0.00832**	0.00824**	0.0108**	0.00680**	0.00600**	0.00702**	0.00958**	0.00863**	0.00907**	0.00628**	0.00509**	0.00476**	0.0100**	0.00881**	0.00750**	0.00782**	0.00654**	0.00518**
	(0.00157)	(0.00161)	(0.00249)	(0.00104)	(0.00105)	(0.00110)	(0.00136)	(0.00139)	(0.00184)	(0.000777)	(0.000785)	(0.000826)	(0.00117)	(0.00118)	(0.00140)	(0.000694)	(0.000702)	(0.000737)	(0.00111)	(0.00113)	(0.00124)	(0.000685)	(0.000693)	(0.000724)	(0.00132)	(0.00134)	(0.00142)	(0.000728)	(0.000736)	(0.000767)	(0.00130)	(0.00133)	(0.00137)	(0.000817)	(0.000825)	(0.000855)
borddummy2							-0.0219	-0.0334	-0.103**	0.0419**	0.0485**	0.0356**	0.0382*	0.0376*	-9.00e-06	0.0565**	0.0615**	0.0543**	0.0219	0.0158	-0.0101	0.0455**	0.0504**	0.0468**	-0.0135	-0.0120	-0.0234	0.0324**	0.0371**	0.0361**	-0.00309	-0.000548	-0.00245	0.0221	0.0253*	0.0244*
							(0.0283)	(0.0289)	(0.0339)	(0.00566)	(0.00572)	(0.00609)	(0.0183)	(0.0185)	(0.0208)	(0.00605)	(0.00612)	(0.00647)	(0.0153)	(0.0155)	(0.0168)	(0.00714)	(0.00722)	(0.00757)	(0.0177)	(0.0179)	(0.0190)	(0.00887)	(0.00897)	(0.00936)	(0.0165)	(0.0167)	(0.0173)	(0.0116)	(0.0117)	(0.0122)
educf_11plus										0.559**	0.651**					0.526**	0.624**											0.501**	0.572**							
										(0.0166)	(0.0167)					(0.0173)	(0.0173)											(0.0234)	(0.0236)							
borddummy3													0.0431	0.0419	-0.0421	0.0847**	0.0961**	0.0810**	0.0424	0.0291	-0.0260	0.0911**	0.101**	0.0915**	-0.0223	-0.0202	-0.0440	0.0695**	0.0779**	0.0751**	-0.00754	-0.00340	-0.00733	0.0443**	0.0499**	0.0480**
													(0.0399)	(0.0403)	(0.0453)	(0.00710)	(0.00717)	(0.00758)	(0.0289)	(0.0293)	(0.0320)	(0.00778)	(0.00787)	(0.00825)	(0.0319)	(0.0323)	(0.0343)	(0.00927)	(0.00938)	(0.00978)	(0.0268)	(0.0271)	(0.0282)	(0.0118)	(0.0119)	(0.0124)
borddummy4																			0.0526	0.0331	-0.0520	0.131**	0.149**	0.138**	-0.0170	-0.0120	-0.0486	0.120**	0.135**	0.129**	0.00215	0.0109	0.00578	0.0778**	0.0887**	0.0865**
																			(0.0460)	(0.0466)	(0.0508)	(0.00906)	(0.00916)	(0.00960)	(0.0467)	(0.0473)	(0.0503)	(0.0102)	(0.0103)	(0.0108)	(0.0373)	(0.0377)	(0.0392)	(0.0126)	(0.0127)	(0.0132)
borddummy5																									-0.0290	-0.0232		0.165**	0.184**		0.0232	0.0338		0.124**	0.137**	
																									(0.0656)	(0.0664)		(0.0117)	(0.0118)		(0.0485)	(0.0491)		(0.0138)	(0.0139)	
borddummy6																															0.0363	0.0491		0.170**	0.187**	
																															(0.0640)	(0.0648)		(0.0154)	(0.0156)	
Constant	-0.648**	1.032**	0.0290	-1.198	0.454	-0.506	-0.443**	1.135**	0.204	-0.354	1.151	0.860	-0.274*	1.343**	0.538**	-1.615	-0.0981	-0.434	-0.320*	1.217**	-0.0957	0.0900	1.647*	0.710	-0.361*	1.052**	0.309	-0.397	0.932	0.562	-0.182	1.100**	0.518*	-1.027	0.238	-0.641
	(0.154)	(0.117)	(0.175)	(9,877)	(9,977)	(10,675)	(0.129)	(0.110)	(0.148)	(0.773)	(0.778)	(0.828)	(0.125)	(0.111)	(0.136)	(5,002)	(5,060)	(5,352)	(0.134)	(0.125)	(0.164)	(0.756)	(0.762)	(0.799)	(0.180)	(0.177)	(0.197)	(0.753)	(0.759)	(0.792)	(0.193)	(0.191)	(0.203)	(5,459)	(5,512)	(5,724)
																																				
Observations	51,721	51,721	51,721	51,721	51,721	51,721	89,580	89,580	89,580	89,580	89,580	89,580	106,881	106,881	106,881	106,881	106,881	106,881	106,323	106,323	106,323	106,323	106,323	106,323	94,925	94,925	94,925	94,925	94,925	94,925	76,407	76,407	76,407	76,407	76,407	76,407
R-squared	0.267	0.237	0.064	0.311	0.297	0.195	0.265	0.237	0.086	0.284	0.269	0.171	0.258	0.239	0.132	0.261	0.244	0.154	0.237	0.213	0.118	0.242	0.223	0.146	0.215	0.195	0.115	0.235	0.217	0.147	0.218	0.202	0.140	0.225	0.210	0.148
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
