	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
agemay	0.00459**	0.00552**	0.0166**	0.00470**	0.00542**	0.0132**	0.00590**	0.00668**	0.0168**	0.00471**	0.00525**	0.0115**	0.00349**	0.00397**	0.00933**	0.00335**	0.00362**	0.00727**	0.00346**	0.00385**	0.00618**	0.00221**	0.00209**	0.00307**	0.00451**	0.00422**	0.00454**	0.00166*	0.00123	0.000548	0.00111	0.000520	-0.00101	0.00175*	0.00101	-0.000748
	(0.00119)	(0.00121)	(0.00209)	(0.000623)	(0.000624)	(0.000622)	(0.000934)	(0.000949)	(0.00142)	(0.000528)	(0.000529)	(0.000532)	(0.000901)	(0.000908)	(0.00110)	(0.000538)	(0.000540)	(0.000549)	(0.00103)	(0.00104)	(0.00114)	(0.000581)	(0.000583)	(0.000595)	(0.00115)	(0.00116)	(0.00121)	(0.000652)	(0.000654)	(0.000669)	(0.00139)	(0.00140)	(0.00142)	(0.000768)	(0.000770)	(0.000786)
borddummy2							-0.0413*	-0.0423*	-0.0961**	-0.0166**	-0.0133**	-0.0189**	-0.0276*	-0.0274*	-0.0510**	-0.0253**	-0.0220**	-0.0238**	-0.00814	-0.0117	-0.0263	0.00820	0.0113	0.0121	0.0133	0.0152	0.00928	0.0433**	0.0467**	0.0510**	0.0681**	0.0692**	0.0725**	0.0634**	0.0656**	0.0706**
							(0.0164)	(0.0165)	(0.0194)	(0.00399)	(0.00400)	(0.00412)	(0.0124)	(0.0124)	(0.0136)	(0.00495)	(0.00496)	(0.00511)	(0.0130)	(0.0130)	(0.0138)	(0.00663)	(0.00665)	(0.00684)	(0.0138)	(0.0138)	(0.0143)	(0.00940)	(0.00943)	(0.00966)	(0.0168)	(0.0169)	(0.0172)	(0.0145)	(0.0145)	(0.0149)
borddummy3													-0.0444	-0.0438	-0.0949**	-0.0392**	-0.0316**	-0.0333**	-0.0543*	-0.0621*	-0.0911**	-0.0197**	-0.0132	-0.00990	-0.00915	-0.00615	-0.0193	0.0547**	0.0610**	0.0694**	0.107**	0.109**	0.115**	0.0959**	0.100**	0.110**
													(0.0265)	(0.0266)	(0.0292)	(0.00567)	(0.00568)	(0.00584)	(0.0246)	(0.0248)	(0.0263)	(0.00699)	(0.00701)	(0.00720)	(0.0233)	(0.0234)	(0.0243)	(0.00942)	(0.00945)	(0.00968)	(0.0240)	(0.0241)	(0.0246)	(0.0140)	(0.0140)	(0.0143)
borddummy4																			-0.0857*	-0.0973*	-0.142**	-0.0286**	-0.0169*	-0.00860	-0.0791*	-0.0741*	-0.0951**	0.0204*	0.0306**	0.0432**	0.122**	0.126**	0.133**	0.105**	0.113**	0.126**
																			(0.0397)	(0.0400)	(0.0424)	(0.00796)	(0.00797)	(0.00818)	(0.0347)	(0.0349)	(0.0362)	(0.0101)	(0.0101)	(0.0103)	(0.0338)	(0.0339)	(0.0345)	(0.0143)	(0.0143)	(0.0146)
educf_11plus																						0.0444**	0.0641**											0.113**	0.138**	
																						(0.0133)	(0.0133)											(0.0250)	(0.0251)	
borddummy5																									-0.128**	-0.120*		0.0164	0.0313**		0.0973*	0.103*		0.0740**	0.0851**	
																									(0.0495)	(0.0497)		(0.0112)	(0.0112)		(0.0451)	(0.0453)		(0.0151)	(0.0152)	
borddummy6																															0.112	0.120*		0.0804**	0.0960**	
																															(0.0602)	(0.0605)		(0.0164)	(0.0164)	
Constant	1.165**	1.999**	1.698**	1.013	1.866	1.655	1.218**	2.088**	1.714**	0.968**	1.826**	1.469**	1.496**	2.353**	2.029**	-0.381	0.493	0.411	1.336**	2.169**	1.806**	1.049	1.955	1.981	0.978**	1.805**	1.424**	1.092	1.949	1.875	1.368**	2.222**	1.973**	-0.353	0.305	0.113
	(0.149)	(0.123)	(0.149)	(3,854)	(3,862)	(3,997)	(0.139)	(0.120)	(0.139)	(0.256)	(0.252)	(0.260)	(0.158)	(0.144)	(0.156)	(0.583)	(0.582)	(0.600)	(0.211)	(0.201)	(0.213)	(1,711)	(1,716)	(1,764)	(0.226)	(0.216)	(0.227)	(3,279)	(3,289)	(3,371)	(0.271)	(0.262)	(0.270)	(3,254)	(3,265)	(3,337)
																																				
Observations	117,508	117,508	117,508	117,508	117,508	117,508	183,427	183,427	183,427	183,427	183,427	183,427	193,755	193,755	193,755	193,755	193,755	193,755	175,589	175,589	175,589	175,589	175,589	175,589	146,249	146,249	146,249	146,249	146,249	146,249	112,221	112,221	112,221	112,221	112,221	112,221
R-squared	0.252	0.248	0.186	0.252	0.248	0.195	0.235	0.230	0.154	0.238	0.235	0.183	0.221	0.216	0.162	0.221	0.216	0.167	0.211	0.204	0.152	0.213	0.209	0.164	0.199	0.193	0.146	0.208	0.203	0.163	0.203	0.198	0.162	0.203	0.198	0.162
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
