	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																																								
educf_7_10	-0.543**	-0.636**		-0.491**	-0.568**		-0.577**	-0.671**		0.215**	0.250**		-0.515**	-0.603**		0.208**	0.241**		-0.468**	-0.553**		-0.464**	-0.541**		-0.518**	-0.576**		0.157**	0.184**		-0.448**	-0.504**		-0.439**	-0.496**		-0.543**	-0.636**		-0.491**	-0.568**		-0.577**	-0.671**		0.215**	0.250**		-0.515**	-0.603**		0.208**	0.241**		-0.468**	-0.553**		-0.464**	-0.541**		-0.518**	-0.576**		0.157**	0.184**		-0.448**	-0.504**		-0.439**	-0.496**	
	(0.0382)	(0.0400)		(0.0210)	(0.0211)		(0.0272)	(0.0283)		(0.0124)	(0.0125)		(0.0234)	(0.0238)		(0.0117)	(0.0118)		(0.0241)	(0.0243)		(0.0225)	(0.0227)		(0.0294)	(0.0296)		(0.0135)	(0.0136)		(0.0355)	(0.0357)		(0.0347)	(0.0350)		(0.0382)	(0.0400)		(0.0210)	(0.0211)		(0.0272)	(0.0283)		(0.0124)	(0.0125)		(0.0234)	(0.0238)		(0.0117)	(0.0118)		(0.0241)	(0.0243)		(0.0225)	(0.0227)		(0.0294)	(0.0296)		(0.0135)	(0.0136)		(0.0355)	(0.0357)		(0.0347)	(0.0350)	
poor1	0.146*	0.160*		0.132	0.143*		0.0566	0.0677		0.0532	0.0623		0.105*	0.118**		0.103*	0.116**		0.132**	0.151**		0.130**	0.146**		0.202**	0.222**		0.189**	0.208**		0.128**	0.153**		0.121**	0.147**		0.146*	0.160*		0.132	0.143*		0.0566	0.0677		0.0532	0.0623		0.105*	0.118**		0.103*	0.116**		0.132**	0.151**		0.130**	0.146**		0.202**	0.222**		0.189**	0.208**		0.128**	0.153**		0.121**	0.147**	
	(0.0690)	(0.0703)		(0.0676)	(0.0684)		(0.0503)	(0.0512)		(0.0500)	(0.0506)		(0.0439)	(0.0444)		(0.0438)	(0.0443)		(0.0419)	(0.0425)		(0.0418)	(0.0423)		(0.0434)	(0.0440)		(0.0428)	(0.0433)		(0.0472)	(0.0476)		(0.0468)	(0.0473)		(0.0690)	(0.0703)		(0.0676)	(0.0684)		(0.0503)	(0.0512)		(0.0500)	(0.0506)		(0.0439)	(0.0444)		(0.0438)	(0.0443)		(0.0419)	(0.0425)		(0.0418)	(0.0423)		(0.0434)	(0.0440)		(0.0428)	(0.0433)		(0.0472)	(0.0476)		(0.0468)	(0.0473)	
height	0.00673**			0.00683**			0.00620**			0.00630**			0.00608**			0.00612**			0.00577**			0.00580**			0.00474**			0.00483**			0.00410**			0.00414**			0.00673**			0.00683**			0.00620**			0.00630**			0.00608**			0.00612**			0.00577**			0.00580**			0.00474**			0.00483**			0.00410**			0.00414**		
	(0.000655)			(0.000644)			(0.000498)			(0.000491)			(0.000449)			(0.000446)			(0.000444)			(0.000442)			(0.000472)			(0.000467)			(0.000520)			(0.000519)			(0.000655)			(0.000644)			(0.000498)			(0.000491)			(0.000449)			(0.000446)			(0.000444)			(0.000442)			(0.000472)			(0.000467)			(0.000520)			(0.000519)		
bmi	0.0393**			0.0383**			0.0396**			0.0390**			0.0389**			0.0388**			0.0390**			0.0390**			0.0370**			0.0375**			0.0344**			0.0348**			0.0393**			0.0383**			0.0396**			0.0390**			0.0389**			0.0388**			0.0390**			0.0390**			0.0370**			0.0375**			0.0344**			0.0348**		
	(0.00133)			(0.00114)			(0.000965)			(0.000862)			(0.000799)			(0.000780)			(0.000769)			(0.000768)			(0.000830)			(0.000797)			(0.000954)			(0.000877)			(0.00133)			(0.00114)			(0.000965)			(0.000862)			(0.000799)			(0.000780)			(0.000769)			(0.000768)			(0.000830)			(0.000797)			(0.000954)			(0.000877)		
malec	0.0320**	0.0292**	0.0156	0.0295**	0.0263**	0.0125	0.0255**	0.0214**	0.00337	0.0250**	0.0206**	0.00387	0.0343**	0.0304**	0.0109	0.0344**	0.0305**	0.0122*	0.0486**	0.0432**	0.0292**	0.0489**	0.0439**	0.0314**	0.0493**	0.0442**	0.0323**	0.0515**	0.0466**	0.0359**	0.0483**	0.0443**	0.0360**	0.0491**	0.0450**	0.0369**	0.0320**	0.0292**	0.0156	0.0295**	0.0263**	0.0125	0.0255**	0.0214**	0.00337	0.0250**	0.0206**	0.00387	0.0343**	0.0304**	0.0109	0.0344**	0.0305**	0.0122*	0.0486**	0.0432**	0.0292**	0.0489**	0.0439**	0.0314**	0.0493**	0.0442**	0.0323**	0.0515**	0.0466**	0.0359**	0.0483**	0.0443**	0.0360**	0.0491**	0.0450**	0.0369**
	(0.00813)	(0.00827)	(0.00912)	(0.00789)	(0.00798)	(0.00863)	(0.00605)	(0.00616)	(0.00677)	(0.00601)	(0.00608)	(0.00653)	(0.00543)	(0.00550)	(0.00594)	(0.00543)	(0.00549)	(0.00586)	(0.00541)	(0.00548)	(0.00586)	(0.00538)	(0.00545)	(0.00576)	(0.00578)	(0.00586)	(0.00621)	(0.00567)	(0.00574)	(0.00603)	(0.00633)	(0.00639)	(0.00668)	(0.00629)	(0.00636)	(0.00664)	(0.00813)	(0.00827)	(0.00912)	(0.00789)	(0.00798)	(0.00863)	(0.00605)	(0.00616)	(0.00677)	(0.00601)	(0.00608)	(0.00653)	(0.00543)	(0.00550)	(0.00594)	(0.00543)	(0.00549)	(0.00586)	(0.00541)	(0.00548)	(0.00586)	(0.00538)	(0.00545)	(0.00576)	(0.00578)	(0.00586)	(0.00621)	(0.00567)	(0.00574)	(0.00603)	(0.00633)	(0.00639)	(0.00668)	(0.00629)	(0.00636)	(0.00664)
