	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg
										
1969.year_birth	0.0619**	0.0629**	0.0606**	0.0617**	-0.00634	-0.00709	-0.0606	-0.0174	-0.802***	-0.770***
	(0.0238)	(0.0236)	(0.0239)	(0.0236)	(0.0313)	(0.0304)	(0.0391)	(0.0305)	(0.0329)	(0.0570)
1970.year_birth	0.0538**	0.0549**	0.0526**	0.0537**	-0.0111	-0.0124	-0.0781*	-0.0345	-0.797***	-0.765***
	(0.0243)	(0.0237)	(0.0241)	(0.0235)	(0.0292)	(0.0282)	(0.0441)	(0.0348)	(0.0287)	(0.0528)
1971.year_birth	0.0551**	0.0564**	0.0539**	0.0551**	-0.0120	-0.0136	-0.0723	-0.0283	-0.803***	-0.770***
	(0.0221)	(0.0219)	(0.0220)	(0.0217)	(0.0304)	(0.0294)	(0.0421)	(0.0341)	(0.0342)	(0.0584)
1972.year_birth	0.0590***	0.0602***	0.0578***	0.0590***	-0.0152	-0.0171	-0.0638	-0.0196	-0.798***	-0.764***
	(0.0211)	(0.0210)	(0.0210)	(0.0209)	(0.0283)	(0.0274)	(0.0441)	(0.0374)	(0.0365)	(0.0615)
1973.year_birth	0.0473**	0.0486**	0.0462**	0.0474**	-0.0241	-0.0262	-0.0775*	-0.0335	-0.811***	-0.777***
	(0.0207)	(0.0207)	(0.0207)	(0.0207)	(0.0276)	(0.0269)	(0.0418)	(0.0369)	(0.0394)	(0.0636)
1974.year_birth	0.0508***	0.0521***	0.0498**	0.0511***	-0.0246	-0.0270	-0.0761	-0.0315	-0.797***	-0.763***
	(0.0189)	(0.0190)	(0.0187)	(0.0187)	(0.0274)	(0.0268)	(0.0445)	(0.0399)	(0.0394)	(0.0641)
1975.year_birth	0.0458**	0.0472**	0.0448**	0.0462**	-0.0183	-0.0213	-0.0833*	-0.0386	-0.824***	-0.790***
	(0.0193)	(0.0189)	(0.0193)	(0.0189)	(0.0263)	(0.0258)	(0.0470)	(0.0397)	(0.0441)	(0.0673)
1976.year_birth	0.0419**	0.0434**	0.0410**	0.0424**	-0.0352	-0.0382	-0.0807*	-0.0359	-0.814***	-0.780***
	(0.0182)	(0.0182)	(0.0181)	(0.0180)	(0.0241)	(0.0238)	(0.0460)	(0.0396)	(0.0422)	(0.0661)
1977.year_birth	0.0505***	0.0520***	0.0496***	0.0511***	-0.0210	-0.0241	-0.0797	-0.0348	-0.805***	-0.771***
	(0.0177)	(0.0176)	(0.0175)	(0.0174)	(0.0265)	(0.0262)	(0.0475)	(0.0414)	(0.0378)	(0.0606)
1978.year_birth	0.0399**	0.0414**	0.0391**	0.0406**	-0.0327	-0.0361	-0.0889*	-0.0437	-0.819***	-0.784***
	(0.0172)	(0.0176)	(0.0172)	(0.0175)	(0.0272)	(0.0267)	(0.0465)	(0.0438)	(0.0502)	(0.0741)
1979.year_birth	0.0443***	0.0458***	0.0435***	0.0450***	-0.0372	-0.0405*	-0.0820	-0.0371	-0.800***	-0.766***
	(0.0154)	(0.0155)	(0.0152)	(0.0153)	(0.0229)	(0.0226)	(0.0497)	(0.0442)	(0.0459)	(0.0701)
1980.year_birth	0.0475***	0.0490***	0.0468***	0.0483***	-0.0318	-0.0354	-0.0786	-0.0335	-0.808***	-0.773***
	(0.0154)	(0.0159)	(0.0152)	(0.0156)	(0.0235)	(0.0231)	(0.0499)	(0.0459)	(0.0388)	(0.0639)
1981.year_birth	0.0451***	0.0466***	0.0444***	0.0459***	-0.0390	-0.0427*	-0.0809	-0.0360	-0.799***	-0.765***
	(0.0142)	(0.0148)	(0.0139)	(0.0145)	(0.0228)	(0.0224)	(0.0525)	(0.0486)	(0.0524)	(0.0762)
1982.year_birth	0.0391***	0.0406***	0.0384***	0.0399***	-0.0401*	-0.0437*	-0.0851	-0.0399	-0.827***	-0.793***
	(0.0141)	(0.0147)	(0.0140)	(0.0146)	(0.0223)	(0.0220)	(0.0517)	(0.0472)	(0.0569)	(0.0798)
1983.year_birth	0.0459***	0.0475***	0.0454***	0.0469***	-0.0363*	-0.0399*	-0.0846	-0.0389	-0.799***	-0.765***
	(0.0123)	(0.0127)	(0.0123)	(0.0127)	(0.0208)	(0.0206)	(0.0551)	(0.0492)	(0.0582)	(0.0825)
1984.year_birth	0.0530***	0.0546***	0.0525***	0.0540***	-0.0314	-0.0352*	-0.0769	-0.0318	-0.787***	-0.753***
	(0.0119)	(0.0127)	(0.0119)	(0.0127)	(0.0204)	(0.0203)	(0.0537)	(0.0499)	(0.0533)	(0.0771)
1985.year_birth	0.0493***	0.0508***	0.0489***	0.0504***	-0.0279	-0.0315	-0.0835	-0.0385	-0.805***	-0.771***
	(0.0114)	(0.0116)	(0.0114)	(0.0117)	(0.0206)	(0.0206)	(0.0565)	(0.0511)	(0.0623)	(0.0852)
1986.year_birth	0.0493***	0.0509***	0.0491***	0.0506***	-0.0425*	-0.0465**	-0.0831	-0.0376	-0.765***	-0.732***
	(0.0102)	(0.0113)	(0.0104)	(0.0115)	(0.0221)	(0.0223)	(0.0557)	(0.0522)	(0.0480)	(0.0720)
1987.year_birth	0.0435***	0.0450***	0.0432***	0.0446***	-0.0498*	-0.0533**	-0.0797	-0.0344	-0.795***	-0.762***
	(0.0124)	(0.0133)	(0.0125)	(0.0134)	(0.0249)	(0.0246)	(0.0562)	(0.0524)	(0.0470)	(0.0713)
1988.year_birth	0.0487***	0.0503***	0.0485***	0.0501***	-0.0391**	-0.0427**	-0.0866	-0.0397	-0.774***	-0.742***
	(0.0100)	(0.0104)	(0.00997)	(0.0103)	(0.0189)	(0.0189)	(0.0577)	(0.0519)	(0.0496)	(0.0736)
1989.year_birth	0.0439***	0.0454***	0.0436***	0.0450***	-0.0442**	-0.0476**	-0.0967	-0.0505	-0.769***	-0.736***
	(0.00980)	(0.0102)	(0.00993)	(0.0103)	(0.0195)	(0.0199)	(0.0585)	(0.0544)	(0.0454)	(0.0691)
1990.year_birth	0.0447***	0.0462***	0.0445***	0.0460***	-0.0309	-0.0342	-0.0991	-0.0514	-0.791***	-0.759***
	(0.0147)	(0.0143)	(0.0147)	(0.0143)	(0.0215)	(0.0214)	(0.0574)	(0.0501)	(0.0443)	(0.0680)
1991.year_birth	0.0437**	0.0450**	0.0437**	0.0450**	-0.0311	-0.0337	-0.0921	-0.0446	-0.797***	-0.765***
	(0.0177)	(0.0173)	(0.0179)	(0.0175)	(0.0270)	(0.0273)	(0.0619)	(0.0533)	(0.0427)	(0.0662)
1992.year_birth	0.0369**	0.0381**	0.0364**	0.0376**	-0.0431*	-0.0451**	-0.104	-0.0560	-0.792***	-0.761***
	(0.0148)	(0.0146)	(0.0149)	(0.0146)	(0.0214)	(0.0217)	(0.0618)	(0.0542)	(0.0445)	(0.0688)
1993.year_birth	0.0355	0.0364*	0.0347	0.0356	-0.0461*	-0.0477*	-0.0547	-0.00658	-0.801***	-0.770***
	(0.0216)	(0.0214)	(0.0218)	(0.0217)	(0.0239)	(0.0242)	(0.0680)	(0.0598)	(0.0455)	(0.0690)
1994.year_birth	0.0285	0.0294	0.0273	0.0282	-0.0338	-0.0348	-0.181**	-0.133**	-0.792***	-0.761***
	(0.0218)	(0.0217)	(0.0221)	(0.0220)	(0.0338)	(0.0347)	(0.0642)	(0.0588)	(0.0459)	(0.0695)
1995.year_birth	0.0378*	0.0382*	0.0359	0.0363			-0.173**	-0.126**	-0.781***	-0.751***
	(0.0217)	(0.0218)	(0.0218)	(0.0219)			(0.0647)	(0.0593)	(0.0463)	(0.0692)
1996o.year_birth	0	0	0	0						
	(0)	(0)	(0)	(0)						
fertility		0.00119		0.00117		-0.00564***		0.00663*		0.00600
		(0.00273)		(0.00273)		(0.00168)		(0.00347)		(0.00488)
education	0.00329***	0.00339***			0.00319**	0.00296**	0.00352**	0.00410***	0.00371	0.00490*
	(0.000916)	(0.00100)			(0.00129)	(0.00130)	(0.00124)	(0.00137)	(0.00296)	(0.00240)
educsq	-0.000200**	-0.000202**			-0.000233**	-0.000240**	-0.000206	-0.000221	-0.000223	-0.000267*
	(8.43e-05)	(8.61e-05)			(0.000112)	(0.000112)	(0.000148)	(0.000154)	(0.000151)	(0.000129)
1995o.year_birth					0	0				
					(0)	(0)				
1942b.year_birth							0	0		
							(0)	(0)		
1941b.year_birth									0	0
									(0)	(0)
1996.year_birth									-0.791***	-0.760***
									(0.0480)	(0.0713)
Constant	-0.265***	-0.261***	-0.269***	-0.265***	0.0184	-0.00190	-0.0742	-0.0955	0.668***	0.646***
	(0.0541)	(0.0540)	(0.0566)	(0.0565)	(0.0483)	(0.0498)	(0.0818)	(0.0768)	(0.175)	(0.187)
										
Observations	709,648	709,648	709,648	709,648	271,660	271,660	295,337	295,337	142,651	142,651
R-squared	0.058	0.058	0.058	0.058	0.051	0.052	0.032	0.032	0.093	0.093
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
