	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg
										
	(0.00874)	(0.0100)	(0.00981)	(0.0111)			(0.0146)	(0.0168)		
13._cou1	-0.000308	-0.00210	-0.000859	-0.00261	-0.0802***	-0.0717***				
	(0.00826)	(0.0104)	(0.00906)	(0.0112)	(0.00385)	(0.00546)				
14._cou1	0.0594***	0.0593***	0.0591***	0.0590***					-0.397***	-0.396***
	(0.00409)	(0.00422)	(0.00558)	(0.00568)					(0.00192)	(0.00219)
16._cou1	0.177***	0.176***	0.175***	0.174***			0.169***	0.165***		
	(0.00578)	(0.00671)	(0.00702)	(0.00793)			(0.00947)	(0.0107)		
18._cou1	0.0822***	0.0819***	0.0803***	0.0800***					-0.357***	-0.355***
	(0.0156)	(0.0157)	(0.0165)	(0.0166)					(0.0157)	(0.0165)
19._cou1	0.0459***	0.0450***	0.0467***	0.0458***			0.0362***	0.0315**		
	(0.00753)	(0.00822)	(0.00825)	(0.00887)			(0.0116)	(0.0130)		
20._cou1	-0.0480***	-0.0486***	-0.0482***	-0.0487***	-0.129***	-0.127***				
	(0.0152)	(0.0155)	(0.0162)	(0.0165)	(0.00779)	(0.00738)				
21._cou1	0.182***	0.180***	0.180***	0.179***					-0.264***	-0.270***
	(0.00979)	(0.0115)	(0.0109)	(0.0126)					(0.00525)	(0.00683)
22._cou1	0.0316***	0.0308***	0.0297***	0.0289***			0.0228*	0.0184		
	(0.00712)	(0.00788)	(0.00825)	(0.00905)			(0.0117)	(0.0130)		
23._cou1	-0.0277	-0.0290	-0.0297	-0.0309			-0.0507*	-0.0574*		
	(0.0178)	(0.0186)	(0.0191)	(0.0199)			(0.0262)	(0.0280)		
24._cou1	0.00109	5.72e-05	0.00166	0.000649	-0.0823***	-0.0779***				
	(0.00775)	(0.00847)	(0.00843)	(0.00919)	(0.00411)	(0.00479)				
25._cou1	0.125***	0.125***	0.125***	0.125***			0.122***	0.121***		
	(0.00244)	(0.00278)	(0.00387)	(0.00414)			(0.00311)	(0.00360)		
26._cou1	-0.00741	-0.00834	-0.00994	-0.0108	-0.0883***	-0.0842***				
	(0.0114)	(0.0121)	(0.0127)	(0.0134)	(0.00428)	(0.00356)				
27._cou1	0.00912	0.00826	0.00663	0.00580			0.000655	-0.00361		
	(0.00629)	(0.00726)	(0.00765)	(0.00854)			(0.00940)	(0.0109)		
28._cou1	0.0138*	0.0138*	0.0128	0.0128			0.00532	0.00586		
	(0.00723)	(0.00722)	(0.00831)	(0.00830)			(0.0107)	(0.0104)		
30._cou1	0.165***	0.162***	0.164***	0.161***					-0.292***	-0.303***
	(0.00648)	(0.00946)	(0.00724)	(0.0101)					(0.00469)	(0.00677)
31._cou1	0.414***	0.415***	0.414***	0.415***					-0.0310*	-0.0253
	(0.0155)	(0.0153)	(0.0162)	(0.0160)					(0.0169)	(0.0197)
32._cou1	-0.0517***	-0.0530***	-0.0530***	-0.0542***	-0.131***	-0.126***				
	(0.00681)	(0.00838)	(0.00734)	(0.00880)	(0.00367)	(0.00372)				
33._cou1	0.342***	0.342***	0.341***	0.341***	0.266***	0.267***				
	(0.0131)	(0.0133)	(0.0141)	(0.0143)	(0.0114)	(0.0113)				
34._cou1	-0.0792***	-0.0796***	-0.0809***	-0.0813***			-0.0863***	-0.0885***		
	(0.00508)	(0.00565)	(0.00601)	(0.00650)			(0.00783)	(0.00858)		
35._cou1	0.0584***	0.0575***	0.0575***	0.0565***	-0.0217***	-0.0178***				
	(0.00597)	(0.00702)	(0.00681)	(0.00784)	(0.00538)	(0.00578)				
36._cou1	-0.0228**	-0.0240**	-0.0260**	-0.0271**	-0.107***	-0.102***				
	(0.00935)	(0.0105)	(0.0108)	(0.0119)	(0.00236)	(0.00303)				
37._cou1	-0.0216**	-0.0228**	-0.0239**	-0.0250**	-0.103***	-0.0981***				
	(0.00898)	(0.0102)	(0.0101)	(0.0113)	(0.00190)	(0.00232)				
38._cou1	0.0455***	0.0450***	0.0447***	0.0442***					-0.400***	-0.400***
	(0.00504)	(0.00572)	(0.00623)	(0.00682)					(0.00656)	(0.00705)
39._cou1	0.0452***	0.0436***	0.0457***	0.0441***	-0.0363***	-0.0289***				
	(0.00989)	(0.0111)	(0.0107)	(0.0119)	(0.00293)	(0.00336)				
41._cou1	0.0309***	0.0303**	0.0311**	0.0305**			0.0199	0.0169		
	(0.0111)	(0.0114)	(0.0121)	(0.0124)			(0.0183)	(0.0191)		
42._cou1	-0.00145	-0.00229	-0.00400	-0.00481	-0.0841***	-0.0805***				
	(0.00936)	(0.0101)	(0.0106)	(0.0113)	(0.00207)	(0.00250)				
43._cou1	-0.0767***	-0.0773***	-0.0786***	-0.0792***					-0.536***	-0.537***
	(0.00390)	(0.00473)	(0.00489)	(0.00569)					(0.00573)	(0.00654)
44._cou1	0.109***	0.102***	0.108***	0.102***	-0.0780	-0.0478				
	(0.0282)	(0.0320)	(0.0272)	(0.0314)	(0.0494)	(0.0520)				
45._cou1	-0.00128	-0.00191	-0.00246	-0.00307			-0.0162	-0.0193		
	(0.0114)	(0.0117)	(0.0126)	(0.0129)			(0.0170)	(0.0177)		
46._cou1	0.0237***	0.0219**	0.0243***	0.0225**	-0.0577***	-0.0494***				
	(0.00727)	(0.00933)	(0.00793)	(0.0100)	(0.00483)	(0.00643)				
47._cou1	-0.00801	-0.00979	-0.00797	-0.00971			-0.0145*	-0.0241*		
	(0.00517)	(0.00779)	(0.00598)	(0.00845)			(0.00831)	(0.0121)		
