	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																																																								
educf_11plus	0.270**	0.329**		0.330**	0.381**		0.362**	0.424**		0.330**	0.385**		0.301**	0.364**		0.320**	0.379**		0.308**	0.366**		0.311**	0.365**		0.325**	0.370**		0.317**	0.361**		0.313**	0.358**		0.322**	0.366**		0.535**	0.648**		0.656**	0.755**		0.720**	0.838**		0.655**	0.761**		0.601**	0.722**		0.637**	0.749**		0.619**	0.730**		0.619**	0.723**		0.646**	0.733**		0.629**	0.716**		0.631**	0.717**		0.644**	0.730**	
	(0.0331)	(0.0336)		(0.0108)	(0.0106)		(0.0207)	(0.0209)		(0.00957)	(0.00942)		(0.0168)	(0.0166)		(0.0104)	(0.0103)		(0.0152)	(0.0148)		(0.0123)	(0.0123)		(0.0178)	(0.0175)		(0.0151)	(0.0151)		(0.0214)	(0.0212)		(0.0200)	(0.0200)		(0.0658)	(0.0666)		(0.0214)	(0.0210)		(0.0411)	(0.0415)		(0.0190)	(0.0187)		(0.0333)	(0.0328)		(0.0206)	(0.0204)		(0.0301)	(0.0294)		(0.0245)	(0.0243)		(0.0353)	(0.0348)		(0.0299)	(0.0299)		(0.0425)	(0.0419)		(0.0396)	(0.0397)	
poor1	0.119**	0.121**		0.125**	0.126**		0.0751**	0.0779**		0.0733**	0.0758**		0.0827**	0.0871**		0.0838**	0.0879**		0.108**	0.114**		0.109**	0.114**		0.129**	0.135**		0.127**	0.133**		0.0742**	0.0831**		0.0774**	0.0861**		0.227**	0.231**		0.239**	0.241**		0.147**	0.153**		0.144**	0.149**		0.140**	0.148**		0.142**	0.150**		0.188**	0.200**		0.188**	0.199**		0.230**	0.242**		0.226**	0.237**		0.137*	0.154**		0.142**	0.159**	
	(0.0352)	(0.0353)		(0.0346)	(0.0348)		(0.0262)	(0.0265)		(0.0261)	(0.0262)		(0.0238)	(0.0239)		(0.0237)	(0.0239)		(0.0232)	(0.0234)		(0.0232)	(0.0233)		(0.0243)	(0.0244)		(0.0242)	(0.0243)		(0.0272)	(0.0273)		(0.0270)	(0.0272)		(0.0700)	(0.0700)		(0.0686)	(0.0690)		(0.0521)	(0.0525)		(0.0517)	(0.0520)		(0.0472)	(0.0474)		(0.0470)	(0.0473)		(0.0461)	(0.0463)		(0.0460)	(0.0463)		(0.0482)	(0.0484)		(0.0479)	(0.0482)		(0.0539)	(0.0541)		(0.0536)	(0.0539)	
height	0.00272**			0.00263**			0.00227**			0.00234**			0.00202**			0.00197**			0.00175**			0.00174**			0.00143**			0.00145**			0.00139**			0.00137**			0.00531**			0.00513**			0.00441**			0.00455**			0.00394**			0.00386**			0.00340**			0.00339**			0.00281**			0.00286**			0.00277**			0.00274**		
	(0.000342)			(0.000333)			(0.000264)			(0.000259)			(0.000246)			(0.000243)			(0.000249)			(0.000246)			(0.000268)			(0.000267)			(0.000303)			(0.000302)			(0.000678)			(0.000661)			(0.000523)			(0.000514)			(0.000487)			(0.000482)			(0.000494)			(0.000489)			(0.000531)			(0.000528)			(0.000600)			(0.000599)		
bmi	0.0119**			0.0123**			0.0131**			0.0130**			0.0136**			0.0135**			0.0135**			0.0135**			0.0129**			0.0130**			0.0131**			0.0129**			0.0227**			0.0233**			0.0249**			0.0247**			0.0259**			0.0258**			0.0259**			0.0259**			0.0250**			0.0252**			0.0254**			0.0249**		
	(0.000648)			(0.000618)			(0.000481)			(0.000475)			(0.000447)			(0.000444)			(0.000461)			(0.000447)			(0.000494)			(0.000471)			(0.000587)			(0.000529)			(0.00129)			(0.00123)			(0.000955)			(0.000942)			(0.000886)			(0.000881)			(0.000914)			(0.000887)			(0.000980)			(0.000934)			(0.00116)			(0.00105)		
malec	0.0432**	0.0430**	0.0406**	0.0451**	0.0446**	0.0414**	0.0457**	0.0451**	0.0413**	0.0450**	0.0442**	0.0402**	0.0507**	0.0503**	0.0459**	0.0511**	0.0506**	0.0460**	0.0580**	0.0571**	0.0545**	0.0581**	0.0571**	0.0544**	0.0583**	0.0572**	0.0549**	0.0583**	0.0572**	0.0550**	0.0605**	0.0595**	0.0582**	0.0603**	0.0594**	0.0580**	0.0847**	0.0844**	0.0798**	0.0886**	0.0877**	0.0813**	0.0888**	0.0874**	0.0800**	0.0872**	0.0856**	0.0778**	0.0977**	0.0969**	0.0883**	0.0985**	0.0975**	0.0883**	0.112**	0.110**	0.105**	0.112**	0.110**	0.104**	0.111**	0.109**	0.105**	0.112**	0.109**	0.105**	0.116**	0.115**	0.112**	0.116**	0.114**	0.112**
	(0.00423)	(0.00423)	(0.00434)	(0.00405)	(0.00407)	(0.00423)	(0.00319)	(0.00321)	(0.00335)	(0.00314)	(0.00316)	(0.00327)	(0.00295)	(0.00297)	(0.00304)	(0.00293)	(0.00295)	(0.00303)	(0.00298)	(0.00300)	(0.00308)	(0.00298)	(0.00300)	(0.00308)	(0.00321)	(0.00323)	(0.00330)	(0.00321)	(0.00322)	(0.00330)	(0.00364)	(0.00366)	(0.00374)	(0.00364)	(0.00366)	(0.00373)	(0.00840)	(0.00840)	(0.00861)	(0.00803)	(0.00806)	(0.00838)	(0.00633)	(0.00638)	(0.00665)	(0.00623)	(0.00626)	(0.00647)	(0.00585)	(0.00588)	(0.00602)	(0.00581)	(0.00584)	(0.00601)	(0.00591)	(0.00594)	(0.00611)	(0.00591)	(0.00594)	(0.00610)	(0.00636)	(0.00639)	(0.00655)	(0.00636)	(0.00639)	(0.00654)	(0.00722)	(0.00725)	(0.00741)	(0.00721)	(0.00724)	(0.00739)
