	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
educf	0.0759***	0.0793***		0.0837***	0.0875***		0.113***	0.119***		0.128***	0.134***		0.133***	0.139***		0.131***	0.138***		0.0372***	0.0390***		0.0342***	0.0361***		0.0469***	0.0490***		0.0418***	0.0443***		0.0441***	0.0464***		0.0340***	0.0364***		-0.000874***	-0.000927***		-0.000610***	-0.000597***		-0.000135	-0.000215		-0.000834**	-0.000805**		-0.00109**	-0.00109***		-0.00138**	-0.00151**		-0.000426**	-0.000440***		-0.000277*	-0.000267*		-1.65e-05	-4.19e-05		-0.000239	-0.000186		-0.000656**	-0.000682**		-0.000781*	-0.000798*	
	(0.00432)	(0.00429)		(0.00316)	(0.00316)		(0.00291)	(0.00290)		(0.00342)	(0.00342)		(0.00385)	(0.00385)		(0.00457)	(0.00457)		(0.00290)	(0.00289)		(0.00193)	(0.00192)		(0.00180)	(0.00179)		(0.00198)	(0.00198)		(0.00212)	(0.00211)		(0.00235)	(0.00235)		(0.000270)	(0.000277)		(0.000223)	(0.000222)		(0.000266)	(0.000265)		(0.000382)	(0.000381)		(0.000427)	(0.000422)		(0.000592)	(0.000592)		(0.000166)	(0.000165)		(0.000163)	(0.000161)		(0.000193)	(0.000191)		(0.000267)	(0.000266)		(0.000288)	(0.000285)		(0.000442)	(0.000441)	
educfyrs_sq	-0.00262***	-0.00272***		-0.00244***	-0.00255***		-0.00380***	-0.00393***		-0.00447***	-0.00458***		-0.00439***	-0.00441***		-0.00428***	-0.00437***		-0.00138***	-0.00145***		-0.00114***	-0.00120***		-0.00178***	-0.00185***		-0.00139***	-0.00147***		-0.00149***	-0.00151***		-0.000563***	-0.000612***		4.10e-05***	4.19e-05***		3.14e-05**	3.01e-05**		1.22e-05	1.41e-05		4.18e-05	3.94e-05		5.25e-05	5.22e-05		7.90e-05	7.96e-05		1.79e-05**	1.76e-05**		1.33e-05	1.23e-05		6.67e-06	7.03e-06		7.19e-06	5.38e-06		4.25e-05*	4.23e-05*		4.43e-05	4.40e-05	
	(0.000253)	(0.000252)		(0.000218)	(0.000219)		(0.000210)	(0.000211)		(0.000274)	(0.000273)		(0.000326)	(0.000327)		(0.000403)	(0.000405)		(0.000159)	(0.000159)		(0.000120)	(0.000120)		(0.000125)	(0.000125)		(0.000155)	(0.000155)		(0.000178)	(0.000178)		(0.000210)	(0.000209)		(1.34e-05)	(1.37e-05)		(1.37e-05)	(1.37e-05)		(1.71e-05)	(1.70e-05)		(2.81e-05)	(2.80e-05)		(3.33e-05)	(3.33e-05)		(5.39e-05)	(5.39e-05)		(8.27e-06)	(8.34e-06)		(9.96e-06)	(9.95e-06)		(1.25e-05)	(1.24e-05)		(1.93e-05)	(1.93e-05)		(2.36e-05)	(2.36e-05)		(4.24e-05)	(4.24e-05)	
height	0.00340***			0.00486***			0.00644***			0.00494***			0.00514***			0.00502***			0.000863			0.00203***			0.00114**			0.00115**			0.00178***			0.00135***			-9.24e-05			-8.02e-05			-9.07e-05			-0.000200**			-4.42e-05			-0.000296**			-5.69e-05			-5.97e-05			-4.72e-05			-8.71e-05			-6.58e-05			-0.000115		
	(0.00104)			(0.000806)			(0.000725)			(0.000800)			(0.000866)			(0.000911)			(0.000688)			(0.000499)			(0.000457)			(0.000458)			(0.000464)			(0.000473)			(6.30e-05)			(5.28e-05)			(6.99e-05)			(9.52e-05)			(0.000112)			(0.000133)			(4.13e-05)			(3.74e-05)			(4.87e-05)			(6.73e-05)			(7.61e-05)			(9.32e-05)		
bmi	0.00755***			0.0102***			0.0165***			0.0194***			0.0220***			0.0227***			0.00331***			0.00473***			0.00572***			0.00742***			0.00801***			0.00718***			-0.000109**			5.43e-05			-0.000244***			0.000211*			3.50e-05			-0.000361**			-2.12e-05			4.88e-05			-7.40e-05			0.000259***			-7.56e-05			4.57e-06		
	(0.00135)			(0.00104)			(0.000996)			(0.00110)			(0.00122)			(0.00137)			(0.000850)			(0.000606)			(0.000572)			(0.000602)			(0.000660)			(0.000707)			(5.17e-05)			(6.37e-05)			(8.37e-05)			(0.000122)			(0.000153)			(0.000174)			(3.39e-05)			(4.61e-05)			(6.48e-05)			(8.75e-05)			(0.000100)			(0.000129)		
Constant	-1.013***	-0.432*	-0.719***	-2.443***	-1.563***	-2.423***	-4.197***	-2.883***	-3.948***	-5.146***	-4.128***	-4.482***	-3.614***	-2.553***	-3.213***	-4.156***	-2.956***	-3.096***	-0.445	-0.299	-0.600**	-0.520***	-0.164	-0.532***	-0.983***	-0.687***	-1.003***	-0.762***	-0.493***	-0.690***	-1.181***	-0.820***	-1.126***	-0.724***	-0.384**	-0.466***	0.0979***	0.0826***	0.0853***	0.119***	0.108***	0.110***	0.174***	0.155***	0.155***	0.237***	0.209***	0.210***	0.235***	0.229***	0.233***	0.300***	0.248***	0.248***	0.0340***	0.0251***	0.0262***	0.0645***	0.0558***	0.0573***	0.0856***	0.0768***	0.0761***	0.0965***	0.0870***	0.0873***	0.128***	0.117***	0.118***	0.151***	0.133***	0.134***
	(0.284)	(0.231)	(0.233)	(0.219)	(0.189)	(0.192)	(0.389)	(0.371)	(0.371)	(0.240)	(0.202)	(0.209)	(0.400)	(0.375)	(0.368)	(0.650)	(0.627)	(0.674)	(0.283)	(0.258)	(0.260)	(0.198)	(0.184)	(0.186)	(0.264)	(0.254)	(0.194)	(0.162)	(0.144)	(0.147)	(0.153)	(0.139)	(0.141)	(0.187)	(0.169)	(0.174)	(0.0251)	(0.0214)	(0.0215)	(0.0179)	(0.0160)	(0.0159)	(0.0231)	(0.0209)	(0.0208)	(0.0350)	(0.0313)	(0.0312)	(0.0396)	(0.0365)	(0.0363)	(0.0526)	(0.0487)	(0.0488)	(0.0102)	(0.00713)	(0.00706)	(0.0105)	(0.00861)	(0.00845)	(0.0147)	(0.0132)	(0.0131)	(0.0222)	(0.0198)	(0.0197)	(0.0257)	(0.0239)	(0.0237)	(0.0368)	(0.0340)	(0.0340)
																																																																								
Observations	27,610	27,610	27,610	50,462	50,462	50,462	61,119	61,119	61,119	54,069	54,069	54,069	48,785	48,785	48,785	37,664	37,664	37,664	12,137	12,137	12,137	24,021	24,021	24,021	30,250	30,250	30,250	28,210	28,210	28,210	27,018	27,018	27,018	21,925	21,925	21,925	32,524	32,524	32,524	56,934	56,934	56,934	67,212	67,212	67,212	58,664	58,664	58,664	52,575	52,575	52,575	40,600	40,600	40,600	57,185	57,185	57,185	80,665	80,665	80,665	88,737	88,737	88,737	75,030	75,030	75,030	66,001	66,001	66,001	50,310	50,310	50,310
R-squared	0.138	0.136	0.098	0.134	0.131	0.073	0.152	0.146	0.065	0.149	0.142	0.059	0.166	0.157	0.074	0.156	0.147	0.072	0.455	0.454	0.425	0.425	0.422	0.391	0.413	0.410	0.365	0.405	0.400	0.362	0.392	0.386	0.345	0.376	0.372	0.335	0.037	0.037	0.036	0.016	0.016	0.015	0.018	0.018	0.018	0.025	0.025	0.025	0.028	0.028	0.027	0.031	0.030	0.030	0.011	0.010	0.010	0.009	0.009	0.009	0.011	0.011	0.011	0.013	0.013	0.013	0.017	0.017	0.017	0.018	0.018	0.018
Robust standard errors in parentheses																																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																																								
