	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
agefirstbirth	-0.0628***	-0.0634***	-0.0487***	-0.0128***	-0.0129***	-0.00739***	0.0692***	0.0692***	0.0692***	0.0443***	0.0443***	0.0444***	-0.106***	-0.105***	-0.118***	-0.00385***	-0.00517***	0.0121***	0.000933	0.000435	0.00672***	0.00881***	0.00881***	0.00880***	0.00550***	0.00550***	0.00551***	-0.0781***	-0.0770***	-0.0917***	-0.000383	-0.00201**	0.0108***	0.00136***	0.000725	0.00532***	0.00536***	0.00537***	0.00536***	0.00344***	0.00344***	0.00344***	-0.0879***	-0.0869***	-0.0969***	-0.000436	-0.00209**	0.00699***	0.000290	-0.000355	0.00280***	0.00428***	0.00428***	0.00426***	0.00280***	0.00280***	0.00279***	-0.0934***	-0.0928***	-0.0987***	-0.00290***	-0.00451***	0.00212**	-0.000935**	-0.00157***	0.000687*	0.00386***	0.00387***	0.00384***	0.00242***	0.00243***	0.00242***	-0.0926***	-0.0925***	-0.0960***	-0.00391***	-0.00540***	0.000504	-0.00181***	-0.00235***	-0.000415	0.00354***	0.00356***	0.00352***	0.00233***	0.00234***	0.00233***	-0.0824***	-0.0828***	-0.0855***
	(0.00330)	(0.00331)	(0.00348)	(0.00166)	(0.00166)	(0.00174)	(0.00109)	(0.00109)	(0.00109)	(0.00110)	(0.00110)	(0.00110)	(0.00368)	(0.00369)	(0.00378)	(0.00113)	(0.00113)	(0.00119)	(0.000592)	(0.000594)	(0.000614)	(0.000191)	(0.000191)	(0.000190)	(0.000150)	(0.000150)	(0.000149)	(0.00122)	(0.00122)	(0.00124)	(0.000851)	(0.000855)	(0.000904)	(0.000440)	(0.000442)	(0.000458)	(0.000124)	(0.000124)	(0.000123)	(9.77e-05)	(9.78e-05)	(9.72e-05)	(0.00101)	(0.00102)	(0.00103)	(0.000808)	(0.000813)	(0.000854)	(0.000391)	(0.000393)	(0.000406)	(0.000125)	(0.000125)	(0.000124)	(9.72e-05)	(9.71e-05)	(9.64e-05)	(0.000979)	(0.000978)	(0.000985)	(0.000841)	(0.000845)	(0.000883)	(0.000387)	(0.000389)	(0.000398)	(0.000140)	(0.000140)	(0.000139)	(0.000108)	(0.000108)	(0.000107)	(0.000988)	(0.000987)	(0.000992)	(0.000938)	(0.000942)	(0.000973)	(0.000413)	(0.000415)	(0.000421)	(0.000170)	(0.000170)	(0.000169)	(0.000134)	(0.000134)	(0.000133)	(0.00107)	(0.00107)	(0.00108)
educf	0.127***	0.133***		0.0460***	0.0487***		-0.000379***	-0.000411***		-0.000186***	-0.000216***		-0.0755***	-0.0813***		0.130***	0.137***		0.0441***	0.0468***		-0.000797***	-0.000826***		-0.000477***	-0.000499***		-0.0720***	-0.0775***		0.136***	0.143***		0.0403***	0.0430***		-0.000879***	-0.000938***		-0.000417***	-0.000462***		-0.0604***	-0.0647***		0.131***	0.138***		0.0345***	0.0370***		-0.00104***	-0.00107***		-0.000515***	-0.000534***		-0.0461***	-0.0483***		0.127***	0.133***		0.0306***	0.0328***		-0.00110***	-0.00116***		-0.000639***	-0.000684***		-0.0370***	-0.0375***		0.120***	0.126***		0.0262***	0.0281***		-0.00130***	-0.00139***		-0.000855***	-0.000922***		-0.0314***	-0.0303***	
	(0.00142)	(0.00141)		(0.000817)	(0.000810)		(9.67e-05)	(9.61e-05)		(6.62e-05)	(6.56e-05)		(0.00149)	(0.00148)		(0.00124)	(0.00124)		(0.000681)	(0.000677)		(0.000104)	(0.000104)		(7.84e-05)	(7.76e-05)		(0.00135)	(0.00134)		(0.00129)	(0.00129)		(0.000695)	(0.000692)		(0.000129)	(0.000129)		(0.000100)	(9.96e-05)		(0.00149)	(0.00148)		(0.00144)	(0.00144)		(0.000741)	(0.000741)		(0.000163)	(0.000162)		(0.000127)	(0.000127)		(0.00166)	(0.00165)		(0.00167)	(0.00167)		(0.000845)	(0.000845)		(0.000207)	(0.000207)		(0.000162)	(0.000161)		(0.00193)	(0.00193)		(0.00201)	(0.00201)		(0.000993)	(0.000994)		(0.000266)	(0.000266)		(0.000210)	(0.000210)		(0.00223)	(0.00223)	
educfyrs_sq	-0.00425***	-0.00441***		-0.00154***	-0.00161***		3.82e-05***	3.78e-05***		2.30e-05***	2.26e-05***		0.00104***	0.00117***		-0.00416***	-0.00432***		-0.00137***	-0.00144***		5.45e-05***	5.43e-05***		3.51e-05***	3.50e-05***		0.000739***	0.000855***		-0.00443***	-0.00455***		-0.00109***	-0.00115***		5.85e-05***	5.86e-05***		3.16e-05***	3.17e-05***		5.10e-05	0.000119		-0.00389***	-0.00394***		-0.000682***	-0.000719***		5.78e-05***	5.71e-05***		3.17e-05***	3.12e-05***		-0.000480***	-0.000469***		-0.00355***	-0.00359***		-0.000476***	-0.000497***		6.25e-05***	6.21e-05***		4.45e-05***	4.43e-05***		-0.000652***	-0.000656***		-0.00319***	-0.00322***		-0.000213**	-0.000227**		7.02e-05***	6.92e-05***		5.51e-05***	5.46e-05***		-0.000729***	-0.000744***	
	(9.81e-05)	(9.81e-05)		(5.55e-05)	(5.55e-05)		(6.04e-06)	(6.04e-06)		(4.22e-06)	(4.21e-06)		(0.000101)	(0.000101)		(9.34e-05)	(9.35e-05)		(5.02e-05)	(5.02e-05)		(6.71e-06)	(6.71e-06)		(5.05e-06)	(5.04e-06)		(9.66e-05)	(9.65e-05)		(0.000104)	(0.000104)		(5.61e-05)	(5.61e-05)		(9.29e-06)	(9.28e-06)		(7.20e-06)	(7.19e-06)		(0.000116)	(0.000116)		(0.000124)	(0.000124)		(6.59e-05)	(6.60e-05)		(1.27e-05)	(1.26e-05)		(1.01e-05)	(1.01e-05)		(0.000139)	(0.000138)		(0.000152)	(0.000153)		(8.14e-05)	(8.15e-05)		(1.74e-05)	(1.74e-05)		(1.41e-05)	(1.41e-05)		(0.000175)	(0.000175)		(0.000196)	(0.000197)		(0.000103)	(0.000103)		(2.38e-05)	(2.38e-05)		(1.96e-05)	(1.96e-05)		(0.000216)	(0.000216)	
height	0.00490***			0.00179***			-0.000131***			-0.000119***			-0.00339***			0.00500***			0.00161***			-0.000114***			-8.19e-05***			-0.00357***			0.00503***			0.00138***			-0.000156***			-0.000128***			-0.00259***			0.00488***			0.00153***			-0.000153***			-9.89e-05***			-0.00229***			0.00438***			0.00138***			-0.000148***			-9.01e-05**			-0.00133***			0.00414***			0.00128***			-0.000263***			-0.000164***			-0.000871**		
	(0.000354)			(0.000199)			(2.78e-05)			(2.08e-05)			(0.000376)			(0.000289)			(0.000159)			(3.04e-05)			(2.33e-05)			(0.000328)			(0.000285)			(0.000149)			(3.56e-05)			(2.73e-05)			(0.000336)			(0.000299)			(0.000147)			(4.57e-05)			(3.19e-05)			(0.000355)			(0.000331)			(0.000154)			(5.13e-05)			(3.94e-05)			(0.000389)			(0.000376)			(0.000169)			(6.20e-05)			(4.81e-05)			(0.000426)		
bmi	0.0177***			0.00655***			-4.78e-05			-5.00e-05**			-0.0181***			0.0204***			0.00689***			-4.59e-05			-3.99e-05			-0.0176***			0.0220***			0.00760***			-0.000125***			-9.37e-05***			-0.0138***			0.0230***			0.00777***			-3.24e-05			-1.85e-05			-0.00762***			0.0229***			0.00753***			-0.000167**			-0.000140***			-0.00143**			0.0225***			0.00712***			-0.000266***			-0.000201***			0.00520***		
	(0.000520)			(0.000289)			(3.28e-05)			(2.53e-05)			(0.000588)			(0.000436)			(0.000233)			(3.69e-05)			(2.87e-05)			(0.000519)			(0.000435)			(0.000227)			(4.33e-05)			(3.40e-05)			(0.000533)			(0.000467)			(0.000235)			(6.33e-05)			(4.31e-05)			(0.000572)			(0.000519)			(0.000252)			(6.78e-05)			(5.17e-05)			(0.000613)			(0.000595)			(0.000278)			(8.10e-05)			(6.25e-05)			(0.000672)		
