	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
agefirstbirth	-0.00871	-0.0105*	0.00392	-0.00444	-0.00695*	0.00717*	-0.00903***	-0.0133***	-0.00577**	-0.00558**	-0.00884***	-0.00280	-0.00897***	-0.0125***	-0.00896***	-0.0128***	-0.0142***	-0.0105***	0.000529	-0.000444	0.00686	-8.13e-06	-0.000440	0.00536**	0.000891	-0.000293	0.00264*	-0.00210	-0.00312**	-0.00145	-0.000985	-0.00262**	-0.00200*	-0.00398***	-0.00448***	-0.00344***	0.00282***	0.00283***	0.00277***	0.00194***	0.00194***	0.00191***	0.00204***	0.00208***	0.00206***	0.00280***	0.00281***	0.00278***	0.00326***	0.00328***	0.00325***	0.00250***	0.00253***	0.00251***	0.00147***	0.00149***	0.00145***	0.00104***	0.00105***	0.00105***	0.00114***	0.00116***	0.00116***	0.00180***	0.00179***	0.00179***	0.00187***	0.00188***	0.00188***	0.00191***	0.00191***	0.00190***
	(0.00610)	(0.00610)	(0.00635)	(0.00360)	(0.00365)	(0.00384)	(0.00260)	(0.00262)	(0.00280)	(0.00253)	(0.00258)	(0.00272)	(0.00221)	(0.00223)	(0.00236)	(0.00222)	(0.00223)	(0.00233)	(0.00413)	(0.00414)	(0.00431)	(0.00247)	(0.00247)	(0.00253)	(0.00148)	(0.00149)	(0.00157)	(0.00129)	(0.00130)	(0.00136)	(0.00109)	(0.00110)	(0.00114)	(0.000950)	(0.000955)	(0.000980)	(0.000776)	(0.000776)	(0.000765)	(0.000300)	(0.000300)	(0.000296)	(0.000266)	(0.000267)	(0.000270)	(0.000320)	(0.000320)	(0.000321)	(0.000357)	(0.000359)	(0.000357)	(0.000390)	(0.000390)	(0.000391)	(0.000397)	(0.000398)	(0.000392)	(0.000171)	(0.000172)	(0.000171)	(0.000183)	(0.000183)	(0.000185)	(0.000221)	(0.000220)	(0.000221)	(0.000225)	(0.000226)	(0.000224)	(0.000279)	(0.000278)	(0.000279)
educf	0.0739***	0.0788***		0.0921***	0.0993***		0.108***	0.115***		0.107***	0.113***		0.102***	0.107***		0.102***	0.106***		0.0429***	0.0453***		0.0413***	0.0445***		0.0379***	0.0402***		0.0274***	0.0294***		0.0294***	0.0316***		0.0158***	0.0175***		-0.00107***	-0.00110***		-0.000983***	-0.00102***		-0.000758**	-0.000832**		-0.000628	-0.000700		-0.000537	-0.000563		-0.000580	-0.000716		-0.000489**	-0.000510**		-0.000390	-0.000400		-0.000195	-0.000223		-0.000644*	-0.000658*		-0.000729**	-0.000747**		0.000118	8.76e-05	
	(0.00995)	(0.00983)		(0.00540)	(0.00545)		(0.00472)	(0.00472)		(0.00513)	(0.00519)		(0.00481)	(0.00490)		(0.00555)	(0.00554)		(0.00512)	(0.00511)		(0.00350)	(0.00350)		(0.00282)	(0.00278)		(0.00273)	(0.00276)		(0.00260)	(0.00264)		(0.00269)	(0.00269)		(0.000391)	(0.000395)		(0.000380)	(0.000375)		(0.000377)	(0.000373)		(0.000522)	(0.000524)		(0.000573)	(0.000573)		(0.000843)	(0.000844)		(0.000211)	(0.000213)		(0.000248)	(0.000244)		(0.000255)	(0.000253)		(0.000339)	(0.000341)		(0.000359)	(0.000360)		(0.000624)	(0.000626)	
educfyrs_sq	-0.00179**	-0.00175**		-0.00112**	-0.00114**		-0.00109***	-0.000814*		-0.000941*	-0.000541		-0.000574	-9.90e-05		-0.000741	-0.000324		-0.00119***	-0.00119***		-0.00117***	-0.00123***		-0.000581**	-0.000533**		9.33e-05	0.000202		-0.000609**	-0.000480*		0.000820***	0.000901***		5.81e-05**	5.65e-05**		5.33e-05*	5.32e-05*		3.47e-05	3.17e-05		3.21e-06	2.25e-06		-1.58e-05	-1.84e-05		1.34e-05	3.36e-06		2.61e-05*	2.37e-05*		2.62e-05	2.61e-05		1.28e-05	1.14e-05		3.37e-05	3.57e-05		3.77e-05	3.59e-05		-3.83e-05	-3.87e-05	
	(0.000698)	(0.000701)		(0.000445)	(0.000456)		(0.000419)	(0.000421)		(0.000497)	(0.000499)		(0.000505)	(0.000519)		(0.000611)	(0.000609)		(0.000367)	(0.000367)		(0.000266)	(0.000269)		(0.000226)	(0.000226)		(0.000268)	(0.000269)		(0.000282)	(0.000289)		(0.000315)	(0.000316)		(2.41e-05)	(2.39e-05)		(3.00e-05)	(3.01e-05)		(2.96e-05)	(2.96e-05)		(5.06e-05)	(5.03e-05)		(4.99e-05)	(4.97e-05)		(9.49e-05)	(9.48e-05)		(1.34e-05)	(1.32e-05)		(1.90e-05)	(1.91e-05)		(2.08e-05)	(2.08e-05)		(3.73e-05)	(3.71e-05)		(3.41e-05)	(3.39e-05)		(7.31e-05)	(7.29e-05)	
height	0.00829***			0.00634***			0.00708***			0.00798***			0.00681***			0.00560***			0.00225			0.00288***			0.00150**			0.00205***			0.00197***			0.00132***			-0.000183			-0.000187*			-0.000132			-0.000316**			-5.08e-05			-0.000239			-0.000186**			-6.28e-05			-5.69e-05			-0.000183**			-2.94e-05			-0.000101		
	(0.00223)			(0.00139)			(0.00102)			(0.000965)			(0.000880)			(0.000924)			(0.00152)			(0.000940)			(0.000638)			(0.000538)			(0.000418)			(0.000403)			(0.000129)			(0.000109)			(0.000109)			(0.000135)			(0.000135)			(0.000168)			(7.39e-05)			(6.70e-05)			(7.05e-05)			(8.60e-05)			(8.64e-05)			(0.000112)		
bmi	0.0144***			0.0245***			0.0286***			0.0336***			0.0321***			0.0281***			0.00641***			0.00808***			0.00809***			0.00971***			0.0114***			0.00829***			-3.41e-05			-3.28e-05			-0.000268*			-8.72e-05			-0.000160			-0.000719***			-4.78e-05			-2.76e-06			-0.000109			0.000164			-0.000121			-6.02e-05		
	(0.00360)			(0.00213)			(0.00167)			(0.00171)			(0.00151)			(0.00172)			(0.00217)			(0.00133)			(0.000999)			(0.000932)			(0.000800)			(0.000797)			(0.000124)			(0.000166)			(0.000153)			(0.000210)			(0.000220)			(0.000271)			(9.11e-05)			(0.000111)			(0.000106)			(0.000135)			(0.000146)			(0.000194)		
Constant	-3.248***	-1.827***	-2.616***	-0.991**	0.164	-1.308***	-3.890***	-2.328***	-4.142***	-4.924***	-3.304***	-4.802***	-3.192***	-1.882***	-3.236***	-4.422***	-3.225***	-4.395***	-1.097**	-0.721*	-1.354***	-1.322***	-0.810***	-1.132***	-0.686***	-0.402**	-1.012***	-0.0870	0.306**	-0.223	-0.131	0.248*	-0.185	0.304*	0.608***	0.295**	0.140***	0.114***	0.122***	0.148***	0.121***	0.127***	0.215***	0.190***	0.199***	0.327***	0.278***	0.287***	0.359***	0.351***	0.360***	0.512***	0.464***	0.471***	0.0672***	0.0406***	0.0438***	0.0634***	0.0544***	0.0557***	0.0803***	0.0698***	0.0714***	0.120***	0.0941***	0.0984***	0.187***	0.182***	0.187***	0.236***	0.220***	0.223***
	(0.594)	(0.437)	(0.430)	(0.422)	(0.366)	(0.375)	(0.417)	(0.384)	(0.385)	(0.694)	(0.682)	(0.683)	(0.328)	(0.304)	(0.307)	(0.374)	(0.348)	(0.361)	(0.491)	(0.430)	(0.439)	(0.286)	(0.254)	(0.263)	(0.192)	(0.173)	(0.192)	(0.164)	(0.143)	(0.144)	(0.142)	(0.130)	(0.133)	(0.164)	(0.151)	(0.150)	(0.0339)	(0.0312)	(0.0318)	(0.0325)	(0.0278)	(0.0274)	(0.0301)	(0.0254)	(0.0256)	(0.0485)	(0.0433)	(0.0433)	(0.0492)	(0.0450)	(0.0449)	(0.0726)	(0.0683)	(0.0679)	(0.0186)	(0.0126)	(0.0127)	(0.0173)	(0.0135)	(0.0131)	(0.0174)	(0.0138)	(0.0139)	(0.0238)	(0.0203)	(0.0202)	(0.0317)	(0.0290)	(0.0289)	(0.0462)	(0.0447)	(0.0445)
																																																																								
Observations	9,091	9,091	9,091	18,810	18,810	18,810	32,566	32,566	32,566	35,055	35,055	35,055	38,570	38,570	38,570	33,389	33,389	33,389	3,173	3,173	3,173	7,567	7,567	7,567	13,948	13,948	13,948	16,725	16,725	16,725	20,205	20,205	20,205	18,655	18,655	18,655	11,094	11,094	11,094	21,661	21,661	21,661	36,349	36,349	36,349	38,429	38,429	38,429	41,818	41,818	41,818	35,997	35,997	35,997	21,813	21,813	21,813	33,322	33,322	33,322	51,376	51,376	51,376	51,553	51,553	51,553	54,377	54,377	54,377	45,636	45,636	45,636
R-squared	0.136	0.132	0.085	0.200	0.192	0.096	0.199	0.188	0.079	0.174	0.159	0.061	0.165	0.150	0.060	0.135	0.123	0.047	0.431	0.428	0.361	0.385	0.381	0.329	0.378	0.373	0.317	0.361	0.354	0.308	0.324	0.311	0.273	0.261	0.253	0.219	0.068	0.067	0.066	0.025	0.025	0.024	0.037	0.036	0.036	0.037	0.037	0.037	0.044	0.044	0.043	0.039	0.038	0.038	0.027	0.026	0.026	0.012	0.012	0.012	0.020	0.020	0.020	0.020	0.020	0.020	0.026	0.026	0.026	0.024	0.024	0.024
Robust standard errors in parentheses																																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																																								
