	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
agefirstbirth	-0.0614***	-0.0615***	-0.0508***	-0.00848**	-0.00839**	-0.00434	0.0398***	0.0398***	0.0398***	0.0310***	0.0310***	0.0311***	-0.0886***	-0.0887***	-0.102***	0.00405**	0.00295*	0.0231***	0.00201**	0.00152	0.00874***	0.00539***	0.00540***	0.00537***	0.00387***	0.00387***	0.00385***	-0.0703***	-0.0690***	-0.0918***	0.00550***	0.00384***	0.0186***	0.00230***	0.00161**	0.00691***	0.00363***	0.00365***	0.00363***	0.00259***	0.00260***	0.00260***	-0.0803***	-0.0790***	-0.0929***	0.00304***	0.00125	0.0115***	0.000585	-0.000151	0.00353***	0.00315***	0.00316***	0.00314***	0.00223***	0.00223***	0.00223***	-0.0876***	-0.0867***	-0.0950***	-0.000909	-0.00260**	0.00480***	-0.00101*	-0.00169***	0.000939*	0.00296***	0.00297***	0.00295***	0.00200***	0.00201***	0.00201***	-0.0885***	-0.0882***	-0.0931***	-0.00213*	-0.00364***	0.00299**	-0.00214***	-0.00271***	-0.000428	0.00267***	0.00268***	0.00266***	0.00186***	0.00187***	0.00187***	-0.0821***	-0.0824***	-0.0860***
	(0.00709)	(0.00711)	(0.00754)	(0.00343)	(0.00344)	(0.00362)	(0.00224)	(0.00224)	(0.00224)	(0.00213)	(0.00213)	(0.00213)	(0.00855)	(0.00857)	(0.00900)	(0.00170)	(0.00171)	(0.00181)	(0.000930)	(0.000933)	(0.000967)	(0.000238)	(0.000238)	(0.000237)	(0.000198)	(0.000198)	(0.000197)	(0.00211)	(0.00212)	(0.00219)	(0.00125)	(0.00126)	(0.00133)	(0.000649)	(0.000653)	(0.000676)	(0.000151)	(0.000151)	(0.000150)	(0.000124)	(0.000124)	(0.000124)	(0.00154)	(0.00154)	(0.00157)	(0.00112)	(0.00113)	(0.00118)	(0.000555)	(0.000558)	(0.000575)	(0.000148)	(0.000148)	(0.000147)	(0.000119)	(0.000119)	(0.000119)	(0.00138)	(0.00137)	(0.00139)	(0.00113)	(0.00113)	(0.00118)	(0.000541)	(0.000544)	(0.000557)	(0.000166)	(0.000166)	(0.000164)	(0.000132)	(0.000132)	(0.000131)	(0.00133)	(0.00133)	(0.00135)	(0.00122)	(0.00122)	(0.00126)	(0.000555)	(0.000558)	(0.000565)	(0.000189)	(0.000189)	(0.000188)	(0.000153)	(0.000153)	(0.000152)	(0.00142)	(0.00141)	(0.00142)
educf	0.135***	0.141***		0.0512***	0.0536***		-0.000219	-0.000267*		-6.95e-05	-0.000114		-0.108***	-0.115***		0.135***	0.141***		0.0498***	0.0523***		-0.000657***	-0.000701***		-0.000453***	-0.000484***		-0.106***	-0.112***		0.137***	0.143***		0.0460***	0.0484***		-0.000698***	-0.000755***		-0.000352**	-0.000390***		-0.0847***	-0.0893***		0.134***	0.140***		0.0398***	0.0422***		-0.000785***	-0.000827***		-0.000437***	-0.000456***		-0.0703***	-0.0733***		0.128***	0.133***		0.0350***	0.0371***		-0.00102***	-0.00105***		-0.000519**	-0.000550***		-0.0577***	-0.0588***		0.118***	0.123***		0.0270***	0.0289***		-0.000899***	-0.000953***		-0.000524**	-0.000567**		-0.0478***	-0.0474***	
	(0.00253)	(0.00253)		(0.00139)	(0.00138)		(0.000150)	(0.000150)		(0.000136)	(0.000135)		(0.00320)	(0.00318)		(0.00182)	(0.00181)		(0.000999)	(0.000993)		(0.000155)	(0.000154)		(0.000133)	(0.000132)		(0.00223)	(0.00222)		(0.00179)	(0.00179)		(0.000955)	(0.000950)		(0.000173)	(0.000172)		(0.000148)	(0.000147)		(0.00219)	(0.00219)		(0.00188)	(0.00188)		(0.000971)	(0.000972)		(0.000205)	(0.000204)		(0.000170)	(0.000169)		(0.00227)	(0.00226)		(0.00208)	(0.00208)		(0.00108)	(0.00107)		(0.000261)	(0.000261)		(0.000212)	(0.000211)		(0.00252)	(0.00252)		(0.00239)	(0.00240)		(0.00120)	(0.00120)		(0.000322)	(0.000322)		(0.000263)	(0.000263)		(0.00279)	(0.00279)	
educfyrs_sq	-0.00488***	-0.00501***		-0.00190***	-0.00196***		2.60e-05**	2.66e-05***		1.29e-05	1.33e-05		0.00197***	0.00210***		-0.00481***	-0.00495***		-0.00179***	-0.00186***		4.25e-05***	4.27e-05***		2.99e-05***	3.02e-05***		0.00201***	0.00216***		-0.00476***	-0.00487***		-0.00150***	-0.00156***		4.70e-05***	4.70e-05***		2.94e-05***	2.93e-05***		0.00104***	0.00112***		-0.00438***	-0.00446***		-0.00108***	-0.00113***		4.91e-05***	4.88e-05***		3.46e-05***	3.42e-05***		0.000606***	0.000635***		-0.00386***	-0.00391***		-0.000819***	-0.000848***		6.70e-05***	6.67e-05***		4.49e-05**	4.49e-05**		0.000316	0.000318		-0.00319***	-0.00325***		-0.000297**	-0.000328***		5.27e-05*	5.27e-05*		3.86e-05	3.86e-05		0.000128	0.000105	
	(0.000185)	(0.000185)		(0.000102)	(0.000102)		(1.01e-05)	(1.01e-05)		(8.66e-06)	(8.67e-06)		(0.000230)	(0.000229)		(0.000137)	(0.000137)		(7.52e-05)	(7.52e-05)		(1.03e-05)	(1.03e-05)		(8.75e-06)	(8.74e-06)		(0.000164)	(0.000164)		(0.000145)	(0.000144)		(7.69e-05)	(7.67e-05)		(1.19e-05)	(1.19e-05)		(1.02e-05)	(1.02e-05)		(0.000173)	(0.000173)		(0.000157)	(0.000157)		(8.39e-05)	(8.39e-05)		(1.55e-05)	(1.55e-05)		(1.31e-05)	(1.31e-05)		(0.000187)	(0.000187)		(0.000184)	(0.000184)		(0.000100)	(9.99e-05)		(2.24e-05)	(2.24e-05)		(1.88e-05)	(1.88e-05)		(0.000224)	(0.000225)		(0.000225)	(0.000226)		(0.000120)	(0.000120)		(2.95e-05)	(2.95e-05)		(2.49e-05)	(2.49e-05)		(0.000264)	(0.000264)	
height	0.00615***			0.00187***			-9.47e-05**			-9.58e-05***			-0.00632***			0.00533***			0.00157***			-0.000126***			-7.22e-05**			-0.00543***			0.00475***			0.00113***			-0.000164***			-0.000129***			-0.00388***			0.00464***			0.00136***			-0.000140***			-8.89e-05**			-0.00369***			0.00427***			0.00131***			-8.79e-05			-5.91e-05			-0.00193***			0.00404***			0.00117***			-0.000124*			-9.71e-05*			-0.00283***		
	(0.000652)			(0.000347)			(3.89e-05)			(3.34e-05)			(0.000825)			(0.000461)			(0.000247)			(3.96e-05)			(3.30e-05)			(0.000572)			(0.000421)			(0.000219)			(4.35e-05)			(3.56e-05)			(0.000531)			(0.000415)			(0.000208)			(5.00e-05)			(3.97e-05)			(0.000510)			(0.000449)			(0.000214)			(6.09e-05)			(4.82e-05)			(0.000544)			(0.000492)			(0.000227)			(7.07e-05)			(5.58e-05)			(0.000576)		
bmi	0.0168***			0.00671***			-0.000124***			-0.000114***			-0.0191***			0.0178***			0.00682***			-9.75e-05*			-7.63e-05*			-0.0198***			0.0196***			0.00742***			-0.000134**			-8.61e-05*			-0.0156***			0.0209***			0.00782***			-9.38e-05			-2.83e-05			-0.0101***			0.0205***			0.00742***			-7.66e-05			-9.90e-05			-0.00351***			0.0207***			0.00700***			-0.000173*			-0.000133*			0.00319***		
	(0.000913)			(0.000480)			(4.59e-05)			(4.07e-05)			(0.00120)			(0.000649)			(0.000338)			(5.13e-05)			(4.38e-05)			(0.000845)			(0.000605)			(0.000310)			(5.40e-05)			(4.62e-05)			(0.000774)			(0.000604)			(0.000306)			(6.41e-05)			(5.17e-05)			(0.000764)			(0.000652)			(0.000323)			(7.93e-05)			(6.09e-05)			(0.000792)			(0.000721)			(0.000345)			(9.38e-05)			(7.37e-05)			(0.000828)		
twin_three_fam																-0.0102	-0.00406	0.0176	0.00241	0.00491	0.0125	0.000174	0.000101	4.41e-05	0.000835	0.000792	0.000769	0.693***	0.686***	0.668***																																																												
																(0.0226)	(0.0227)	(0.0240)	(0.0125)	(0.0126)	(0.0131)	(0.00195)	(0.00195)	(0.00195)	(0.00177)	(0.00177)	(0.00177)	(0.0292)	(0.0293)	(0.0300)																																																												
twin_four_fam																															-0.0237	-0.0198	-0.0133	-0.00443	-0.00313	0.00183	-0.00127	-0.00134	-0.00130	-0.000375	-0.000436	-0.000392	0.691***	0.688***	0.680***																																													
																															(0.0187)	(0.0188)	(0.0198)	(0.00989)	(0.00988)	(0.0101)	(0.00156)	(0.00156)	(0.00156)	(0.00125)	(0.00125)	(0.00125)	(0.0235)	(0.0235)	(0.0239)																																													
twin_five_fam																																														-0.0295	-0.0206	-0.0412**	0.0101	0.0132	0.00728	-0.00212	-0.00227	-0.00220	0.00105	0.000963	0.000979	0.819***	0.813***	0.830***																														
																																														(0.0182)	(0.0183)	(0.0192)	(0.00925)	(0.00929)	(0.00960)	(0.00201)	(0.00201)	(0.00201)	(0.00186)	(0.00186)	(0.00186)	(0.0219)	(0.0219)	(0.0223)																														
twin_six_fam																																																													-0.000527	0.000900	-0.00241	0.00740	0.00901	0.0111	0.00462	0.00458	0.00459	0.00417	0.00415	0.00415	0.834***	0.833***	0.836***															
																																																													(0.0188)	(0.0189)	(0.0200)	(0.00926)	(0.00930)	(0.00975)	(0.00311)	(0.00311)	(0.00311)	(0.00255)	(0.00255)	(0.00255)	(0.0237)	(0.0237)	(0.0240)															
twin_seven_fam																																																																												-0.0597***	-0.0546***	-0.0660***	-0.0291***	-0.0280***	-0.0323***	-0.000581	-0.000670	-0.000567	0.00242	0.00235	0.00241	0.902***	0.901***	0.905***
																																																																												(0.0197)	(0.0199)	(0.0208)	(0.00867)	(0.00873)	(0.00889)	(0.00350)	(0.00350)	(0.00350)	(0.00311)	(0.00311)	(0.00311)	(0.0236)	(0.0235)	(0.0238)
Constant	-5.391***	-4.190***	-5.510***	-0.956***	-0.571***	-1.224***	0.293***	0.276***	0.275***	0.101***	0.0845***	0.0835***	7.404***	6.158***	7.420***	-3.165***	-2.124***	-3.045***	-0.977***	-0.648***	-1.111***	0.195***	0.175***	0.176***	0.110***	0.0983***	0.0989***	2.468**	1.360	2.395**	-3.236***	-2.364***	-3.010***	-0.927***	-0.687***	-1.004***	0.189***	0.165***	0.166***	0.116***	0.0971***	0.0968***	4.889***	4.240***	4.494***	-3.001***	-2.109***	-2.512***	-0.688***	-0.414***	-0.604***	0.224***	0.204***	0.205***	0.135***	0.123***	0.122***	4.168***	3.540***	3.832***	-3.222***	-2.380***	-2.682***	-0.600***	-0.339***	-0.465***	0.268***	0.255***	0.256***	0.169***	0.160***	0.159***	3.258***	2.977***	2.825***	-3.119***	-2.265***	-2.473***	-0.359***	-0.109	-0.168	0.244***	0.225***	0.226***	0.151***	0.136***	0.135***	2.889***	2.553***	2.650***
	(0.197)	(0.170)	(0.176)	(0.128)	(0.117)	(0.120)	(0.0209)	(0.0193)	(0.0191)	(0.0122)	(0.0108)	(0.0106)	(0.214)	(0.171)	(0.170)	(0.683)	(0.665)	(0.615)	(0.148)	(0.140)	(0.122)	(0.0177)	(0.0163)	(0.0164)	(0.0129)	(0.0117)	(0.0118)	(1.080)	(1.054)	(1.001)	(0.134)	(0.121)	(0.126)	(0.0829)	(0.0773)	(0.0795)	(0.0160)	(0.0145)	(0.0144)	(0.0126)	(0.0114)	(0.0114)	(0.136)	(0.113)	(0.115)	(0.155)	(0.145)	(0.152)	(0.0957)	(0.0919)	(0.0949)	(0.0195)	(0.0182)	(0.0181)	(0.0150)	(0.0140)	(0.0140)	(0.180)	(0.164)	(0.161)	(0.405)	(0.398)	(0.396)	(0.112)	(0.109)	(0.112)	(0.0274)	(0.0258)	(0.0258)	(0.0217)	(0.0205)	(0.0205)	(0.183)	(0.164)	(0.163)	(0.371)	(0.363)	(0.364)	(0.124)	(0.121)	(0.122)	(0.0311)	(0.0294)	(0.0294)	(0.0236)	(0.0222)	(0.0222)	(0.223)	(0.205)	(0.205)
																																																																																										
Observations	79,431	79,431	79,431	53,374	53,374	53,374	82,573	82,573	82,573	86,257	86,257	86,257	86,257	86,257	86,257	163,773	163,773	163,773	106,161	106,161	106,161	171,439	171,439	171,439	182,680	182,680	182,680	182,682	182,682	182,682	197,476	197,476	197,476	130,305	130,305	130,305	205,301	205,301	205,301	215,952	215,952	215,952	215,953	215,953	215,953	200,667	200,667	200,667	134,283	134,283	134,283	208,351	208,351	208,351	219,413	219,413	219,413	219,413	219,413	219,413	173,724	173,724	173,724	118,573	118,573	118,573	180,120	180,120	180,120	189,215	189,215	189,215	189,216	189,216	189,216	140,063	140,063	140,063	96,142	96,142	96,142	145,385	145,385	145,385	152,943	152,943	152,943	152,943	152,943	152,943
R-squared	0.152	0.146	0.036	0.398	0.395	0.339	0.152	0.152	0.152	0.121	0.120	0.120	0.472	0.469	0.423	0.144	0.137	0.030	0.389	0.386	0.331	0.028	0.028	0.028	0.020	0.019	0.019	0.449	0.447	0.405	0.140	0.133	0.034	0.373	0.369	0.321	0.025	0.025	0.025	0.018	0.018	0.017	0.373	0.371	0.341	0.141	0.133	0.045	0.364	0.359	0.319	0.025	0.025	0.025	0.017	0.017	0.017	0.309	0.308	0.287	0.136	0.128	0.053	0.350	0.345	0.313	0.029	0.029	0.029	0.019	0.019	0.019	0.260	0.260	0.245	0.131	0.124	0.060	0.341	0.337	0.312	0.028	0.027	0.027	0.017	0.017	0.017	0.215	0.215	0.205
Robust standard errors in parentheses																																																																																										
*** p<0.01, ** p<0.05, * p<0.1																																																																																										
