	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert
educf	0.127***	0.143***		0.0460***	0.0526***		-0.000379***	-0.000335***		-0.000186***	-0.000176***		-0.0755***	-0.0880***		0.130***	0.145***		0.0441***	0.0502***		-0.000797***	-0.000628***		-0.000477***	-0.000410***		-0.0720***	-0.0831***		0.136***	0.148***		0.0403***	0.0467***		-0.000879***	-0.000882***		-0.000417***	-0.000481***		-0.0604***
	(0.00142)	(0.00111)		(0.000817)	(0.000633)		(9.67e-05)	(6.94e-05)		(6.62e-05)	(5.12e-05)		(0.00149)	(0.00119)		(0.00124)	(0.000946)		(0.000681)	(0.000521)		(0.000104)	(7.75e-05)		(7.84e-05)	(5.93e-05)		(0.00135)	(0.00107)		(0.00129)	(0.000986)		(0.000695)	(0.000525)		(0.000129)	(9.25e-05)		(0.000100)	(7.27e-05)		(0.00149)
educfyrs_sq	-0.00425***	-0.00460***		-0.00154***	-0.00171***		3.82e-05***	2.93e-05***		2.30e-05***	1.72e-05***		0.00104***	0.00171***		-0.00416***	-0.00446***		-0.00137***	-0.00150***		5.45e-05***	3.70e-05***		3.51e-05***	2.53e-05***		0.000739***	0.00123***		-0.00443***	-0.00447***		-0.00109***	-0.00124***		5.85e-05***	4.84e-05***		3.16e-05***	2.77e-05***		5.10e-05
	(9.81e-05)	(7.44e-05)		(5.55e-05)	(4.22e-05)		(6.04e-06)	(4.31e-06)		(4.22e-06)	(3.23e-06)		(0.000101)	(7.83e-05)		(9.34e-05)	(6.83e-05)		(5.02e-05)	(3.73e-05)		(6.71e-06)	(5.07e-06)		(5.05e-06)	(3.96e-06)		(9.66e-05)	(7.41e-05)		(0.000104)	(7.68e-05)		(5.61e-05)	(4.07e-05)		(9.29e-06)	(6.42e-06)		(7.20e-06)	(5.08e-06)		(0.000116)
height	0.00490***			0.00179***			-0.000131***			-0.000119***			-0.00339***			0.00500***			0.00161***			-0.000114***			-8.19e-05***			-0.00357***			0.00503***			0.00138***			-0.000156***			-0.000128***			-0.00259***
	(0.000354)			(0.000199)			(2.78e-05)			(2.08e-05)			(0.000376)			(0.000289)			(0.000159)			(3.04e-05)			(2.33e-05)			(0.000328)			(0.000285)			(0.000149)			(3.56e-05)			(2.73e-05)			(0.000336)
bmi	0.0177***			0.00655***			-4.78e-05			-5.00e-05**			-0.0181***			0.0204***			0.00689***			-4.59e-05			-3.99e-05			-0.0176***			0.0220***			0.00760***			-0.000125***			-9.37e-05***			-0.0138***
	(0.000520)			(0.000289)			(3.28e-05)			(2.53e-05)			(0.000588)			(0.000436)			(0.000233)			(3.69e-05)			(2.87e-05)			(0.000519)			(0.000435)			(0.000227)			(4.33e-05)			(3.40e-05)			(0.000533)
twin_three_fam																-0.0326**	-0.0328**	-0.0201	-0.00218	-0.00346	0.000556	-0.00183	-0.00210*	-0.00214*	-0.000298	-0.000610	-0.000635	0.856***	0.848***	0.843***													
																(0.0152)	(0.0144)	(0.0154)	(0.00868)	(0.00695)	(0.00734)	(0.00149)	(0.00111)	(0.00111)	(0.00120)	(0.000903)	(0.000903)	(0.0186)	(0.0153)	(0.0156)													
twin_four_fam																															-0.0275*	-0.0308***	-0.0193	-0.000892	-0.00483	0.00105	-0.00225	-0.00255**	-0.00258**	0.000391	-0.000303	-0.000319	0.880***
																															(0.0143)	(0.0119)	(0.0129)	(0.00740)	(0.00649)	(0.00666)	(0.00148)	(0.00111)	(0.00111)	(0.00120)	(0.000917)	(0.000916)	(0.0172)
Constant	-5.627***	-2.937***	-4.058***	-0.998***	-0.704***	-1.278***	0.513***	0.433***	0.432***	0.122***	0.0898***	0.0884***	6.783***	0.555	1.386***	-3.361***	-2.351***	-3.125***	-0.783***	-0.476***	-0.836***	0.340***	0.226***	0.227***	0.161***	0.0977***	0.0976***	2.952***	0.372	0.813**	-3.827***	-2.640***	-3.179***	-0.810***	-0.437***	-0.686***	0.359***	0.257***	0.258***	0.189***	0.132***	0.132***	3.364***
	(0.0943)	(0.416)	(0.527)	(0.0663)	(0.119)	(0.149)	(0.0116)	(0.0117)	(0.0116)	(0.00604)	(0.00696)	(0.00690)	(0.286)	(0.395)	(0.343)	(0.433)	(0.304)	(0.380)	(0.137)	(0.102)	(0.125)	(0.0169)	(0.00893)	(0.00891)	(0.0110)	(0.00576)	(0.00574)	(0.924)	(0.370)	(0.359)	(0.0900)	(0.230)	(0.288)	(0.0538)	(0.107)	(0.123)	(0.0132)	(0.0108)	(0.0107)	(0.00945)	(0.00750)	(0.00742)	(0.234)
																																											
Observations	249,205	427,257	427,511	134,809	242,704	242,858	275,742	471,592	471,910	332,779	556,467	556,835	332,784	556,475	556,843	380,633	643,257	643,622	214,636	382,990	383,224	409,679	694,880	695,324	457,006	764,985	765,474	457,013	764,996	765,486	395,385	658,374	658,721	235,701	412,985	413,217	417,809	701,974	702,394	451,911	752,269	752,714	451,915
R-squared	0.157	0.159	0.043	0.464	0.431	0.372	0.315	0.304	0.304	0.196	0.200	0.200	0.488	0.435	0.405	0.149	0.152	0.033	0.437	0.406	0.347	0.075	0.061	0.061	0.041	0.035	0.035	0.409	0.359	0.329	0.144	0.144	0.031	0.411	0.381	0.327	0.057	0.046	0.045	0.031	0.025	0.025	0.346
Robust standard errors in parentheses																																											
*** p<0.01, ** p<0.05, * p<0.1																																											
