	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																																												
educf	-0.0992***	-0.107***		-0.129***	-0.138***		-0.0925***	-0.0994***		-0.0760***	-0.0818***		-0.0845***	-0.0913***		-0.111***	-0.120***		-0.0795***	-0.0860***		-0.0709***	-0.0768***		-0.0682***	-0.0734***		-0.0896***	-0.0965***		-0.0653***	-0.0703***		-0.0603***	-0.0650***		-0.0514***	-0.0542***		-0.0665***	-0.0704***		-0.0494***	-0.0521***		-0.0461***	-0.0487***		-0.0409***	-0.0416***		-0.0516***	-0.0526***		-0.0393***	-0.0400***		-0.0365***	-0.0372***	
	(0.00160)	(0.00159)		(0.00250)	(0.00248)		(0.00148)	(0.00147)		(0.00126)	(0.00125)		(0.00136)	(0.00135)		(0.00208)	(0.00207)		(0.00128)	(0.00128)		(0.00116)	(0.00116)		(0.00142)	(0.00142)		(0.00209)	(0.00208)		(0.00136)	(0.00135)		(0.00126)	(0.00126)		(0.00157)	(0.00157)		(0.00222)	(0.00221)		(0.00151)	(0.00151)		(0.00143)	(0.00142)		(0.00179)	(0.00178)		(0.00242)	(0.00241)		(0.00172)	(0.00172)		(0.00163)	(0.00163)	
educfyrs_sq	0.00150***	0.00167***		0.00196***	0.00218***		0.00137***	0.00153***		0.000975***	0.00109***		0.000889***	0.00103***		0.00128***	0.00149***		0.000794***	0.000926***		0.000637***	0.000747***		0.000213*	0.000299**		0.000471***	0.000612***		0.000196*	0.000276**		0.000151	0.000225**		-0.000372***	-0.000344**		-0.000245	-0.000185		-0.000377***	-0.000351***		-0.000365***	-0.000341***		-0.000577***	-0.000576***		-0.000488**	-0.000482**		-0.000597***	-0.000596***		-0.000622***	-0.000620***	
	(0.000114)	(0.000114)		(0.000177)	(0.000177)		(0.000105)	(0.000105)		(8.96e-05)	(8.97e-05)		(0.000103)	(0.000104)		(0.000157)	(0.000157)		(9.74e-05)	(9.76e-05)		(8.86e-05)	(8.87e-05)		(0.000117)	(0.000117)		(0.000170)	(0.000170)		(0.000111)	(0.000111)		(0.000104)	(0.000104)		(0.000138)	(0.000138)		(0.000194)	(0.000194)		(0.000133)	(0.000133)		(0.000125)	(0.000125)		(0.000167)	(0.000167)		(0.000225)	(0.000225)		(0.000161)	(0.000161)		(0.000152)	(0.000152)	
height	-0.00478***			-0.00636***			-0.00438***			-0.00366***			-0.00478***			-0.00662***			-0.00461***			-0.00410***			-0.00373***			-0.00503***			-0.00365***			-0.00334***			-0.00276***			-0.00370***			-0.00271***			-0.00257***			-0.00168***			-0.00241***			-0.00157***			-0.00148***		
	(0.000396)			(0.000619)			(0.000366)			(0.000312)			(0.000322)			(0.000492)			(0.000303)			(0.000275)			(0.000313)			(0.000465)			(0.000299)			(0.000278)			(0.000325)			(0.000461)			(0.000312)			(0.000294)			(0.000349)			(0.000478)			(0.000337)			(0.000319)		
bmi	-0.0200***			-0.0212***			-0.0195***			-0.0181***			-0.0190***			-0.0217***			-0.0185***			-0.0175***			-0.0151***			-0.0179***			-0.0147***			-0.0143***			-0.00858***			-0.0108***			-0.00850***			-0.00828***			-0.00163***			-0.00248***			-0.00165***			-0.00158***		
	(0.000588)			(0.000875)			(0.000548)			(0.000477)			(0.000479)			(0.000695)			(0.000454)			(0.000418)			(0.000471)			(0.000664)			(0.000452)			(0.000425)			(0.000491)			(0.000669)			(0.000474)			(0.000450)			(0.000525)			(0.000696)			(0.000509)			(0.000484)		
twin_two_fam	0.860***	0.855***	0.853***	0.852***	0.848***	0.826***	0.869***	0.864***	0.865***	0.891***	0.886***	0.888***																																																
	(0.0241)	(0.0242)	(0.0252)	(0.0380)	(0.0381)	(0.0401)	(0.0222)	(0.0223)	(0.0231)	(0.0190)	(0.0190)	(0.0196)																																																
twin_three_fam													0.831***	0.825***	0.821***	0.783***	0.776***	0.772***	0.840***	0.834***	0.829***	0.856***	0.851***	0.846***																																				
													(0.0177)	(0.0177)	(0.0182)	(0.0274)	(0.0275)	(0.0285)	(0.0167)	(0.0167)	(0.0172)	(0.0152)	(0.0153)	(0.0156)																																				
twin_four_fam																									0.867***	0.863***	0.856***	0.835***	0.830***	0.815***	0.871***	0.867***	0.860***	0.881***	0.877***	0.871***																								
																									(0.0159)	(0.0159)	(0.0162)	(0.0237)	(0.0237)	(0.0243)	(0.0152)	(0.0152)	(0.0155)	(0.0142)	(0.0142)	(0.0144)																								
twin_five_fam																																					0.867***	0.862***	0.863***	0.838***	0.832***	0.831***	0.869***	0.864***	0.865***	0.876***	0.872***	0.873***												
																																					(0.0156)	(0.0156)	(0.0158)	(0.0224)	(0.0225)	(0.0228)	(0.0151)	(0.0151)	(0.0152)	(0.0142)	(0.0142)	(0.0143)												
twin_six_fam																																																	0.877***	0.876***	0.873***	0.849***	0.848***	0.843***	0.882***	0.881***	0.879***	0.889***	0.889***	0.886***
																																																	(0.0160)	(0.0160)	(0.0161)	(0.0218)	(0.0218)	(0.0220)	(0.0154)	(0.0154)	(0.0155)	(0.0147)	(0.0147)	(0.0148)
Constant	0.0536	-1.038*	-0.505	0.577	-0.794	0.0776	1.317	0.261	0.871	1.137**	0.237	0.567	0.863	-0.212	-0.465	-0.503	-1.962	-1.175	0.954	-0.121	0.126	2.213***	1.235***	1.459***	0.229	-0.590	-0.513	-2.469*	-3.601***	-3.086**	1.117	0.236	0.313	1.792**	0.968	0.951	0.712	0.115	0.192	-2.422*	-3.236**	-3.240**	1.426	0.802	0.855	2.095***	1.498*	1.133	1.860	1.492	1.629	-3.030**	-3.466***	-3.483***	2.322***	2.042**	2.104***	3.015***	2.752***	2.806***
	(0.542)	(0.540)	(0.561)	(0.979)	(0.976)	(1.026)	(0.821)	(0.821)	(0.852)	(0.491)	(0.490)	(0.505)	(1.198)	(1.200)	(1.235)	(1.376)	(1.378)	(1.430)	(0.830)	(0.830)	(0.853)	(0.346)	(0.343)	(0.352)	(0.849)	(0.849)	(0.866)	(1.368)	(1.368)	(1.402)	(1.177)	(1.177)	(1.199)	(0.809)	(0.809)	(0.822)	(1.182)	(1.181)	(1.194)	(1.331)	(1.329)	(1.348)	(1.164)	(1.163)	(1.176)	(0.804)	(0.803)	(0.811)	(1.153)	(1.152)	(1.159)	(1.279)	(1.277)	(1.288)	(0.808)	(0.806)	(0.811)	(0.787)	(0.786)	(0.791)
																																																												
Observations	250,893	250,893	250,893	135,675	135,675	135,675	277,632	277,632	277,632	335,563	335,563	335,563	385,213	385,213	385,213	217,024	217,024	217,024	414,743	414,743	414,743	463,682	463,682	463,682	401,912	401,912	401,912	239,147	239,147	239,147	424,949	424,949	424,949	460,627	460,627	460,627	362,323	362,323	362,323	227,868	227,868	227,868	379,527	379,527	379,527	405,878	405,878	405,878	300,391	300,391	300,391	196,510	196,510	196,510	313,446	313,446	313,446	333,390	333,390	333,390
R-squared	0.425	0.423	0.375	0.402	0.399	0.336	0.443	0.441	0.398	0.490	0.487	0.456	0.369	0.366	0.328	0.341	0.338	0.286	0.382	0.379	0.344	0.410	0.407	0.378	0.313	0.311	0.284	0.270	0.267	0.230	0.324	0.322	0.296	0.347	0.346	0.323	0.263	0.262	0.245	0.225	0.224	0.201	0.272	0.271	0.256	0.294	0.293	0.279	0.220	0.220	0.209	0.193	0.193	0.179	0.228	0.228	0.217	0.248	0.248	0.239
Standard errors in parentheses																																																												
*** p<0.01, ** p<0.05, * p<0.1																																																												
