	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																																											
educf	-0.0942***	-0.101***		-0.109***	-0.117***		-0.0921***	-0.0985***		-0.0908***	-0.0969***		-0.101***	-0.108***		-0.114***	-0.124***		-0.0982***	-0.106***		-0.0940***	-0.101***		-0.0823***	-0.0886***		-0.0968***	-0.105***		-0.0802***	-0.0863***		-0.0766***	-0.0824***		-0.0660***	-0.0700***		-0.0768***	-0.0820***		-0.0647***	-0.0686***		-0.0623***	-0.0662***		-0.0543***	-0.0562***		-0.0634***	-0.0657***		-0.0532***	-0.0550***		-0.0509***	-0.0527***
	(0.00240)	(0.00239)		(0.00318)	(0.00316)		(0.00234)	(0.00233)		(0.00230)	(0.00229)		(0.00172)	(0.00171)		(0.00236)	(0.00235)		(0.00166)	(0.00165)		(0.00157)	(0.00157)		(0.00166)	(0.00166)		(0.00226)	(0.00226)		(0.00161)	(0.00160)		(0.00154)	(0.00153)		(0.00176)	(0.00175)		(0.00237)	(0.00236)		(0.00170)	(0.00170)		(0.00163)	(0.00162)		(0.00192)	(0.00192)		(0.00255)	(0.00254)		(0.00187)	(0.00186)		(0.00178)	(0.00178)
educfyrs_sq	0.00153***	0.00167***		0.00163***	0.00182***		0.00150***	0.00163***		0.00149***	0.00162***		0.00164***	0.00181***		0.00159***	0.00183***		0.00162***	0.00179***		0.00158***	0.00173***		0.00124***	0.00136***		0.00127***	0.00145***		0.00124***	0.00136***		0.00121***	0.00132***		0.000446***	0.000507***		0.000359*	0.000462**		0.000476***	0.000534***		0.000525***	0.000579***		-3.32e-06	1.36e-05		-1.09e-05	1.43e-05		5.54e-07	1.49e-05		4.21e-06	1.75e-05
	(0.000182)	(0.000182)		(0.000242)	(0.000242)		(0.000177)	(0.000178)		(0.000174)	(0.000175)		(0.000131)	(0.000131)		(0.000180)	(0.000181)		(0.000126)	(0.000126)		(0.000120)	(0.000120)		(0.000135)	(0.000136)		(0.000184)	(0.000185)		(0.000131)	(0.000131)		(0.000125)	(0.000125)		(0.000153)	(0.000153)		(0.000206)	(0.000207)		(0.000148)	(0.000148)		(0.000141)	(0.000141)		(0.000179)	(0.000179)		(0.000236)	(0.000236)		(0.000173)	(0.000173)		(0.000165)	(0.000165)
height	-0.00569***			-0.00686***			-0.00557***			-0.00544***			-0.00608***			-0.00714***			-0.00599***			-0.00563***			-0.00603***			-0.00705***			-0.00599***			-0.00572***			-0.00436***			-0.00532***			-0.00432***			-0.00420***			-0.00280***			-0.00349***			-0.00272***			-0.00258***	
	(0.000603)			(0.000789)			(0.000589)			(0.000580)			(0.000426)			(0.000576)			(0.000413)			(0.000394)			(0.000383)			(0.000518)			(0.000371)			(0.000355)			(0.000378)			(0.000506)			(0.000367)			(0.000352)			(0.000389)			(0.000515)			(0.000378)			(0.000362)	
bmi	-0.0185***			-0.0204***			-0.0184***			-0.0182***			-0.0205***			-0.0231***			-0.0202***			-0.0197***			-0.0177***			-0.0205***			-0.0174***			-0.0170***			-0.0119***			-0.0140***			-0.0118***			-0.0116***			-0.00551***			-0.00616***			-0.00544***			-0.00540***	
	(0.000857)			(0.00109)			(0.000839)			(0.000827)			(0.000600)			(0.000788)			(0.000582)			(0.000559)			(0.000541)			(0.000712)			(0.000525)			(0.000504)			(0.000543)			(0.000710)			(0.000529)			(0.000509)			(0.000566)			(0.000730)			(0.000551)			(0.000529)	
twin_two_fam	0.403***	0.397***	0.345***	0.418***	0.412***	0.349***	0.393***	0.386***	0.335***	0.383***	0.377***	0.325***																																															
	(0.0302)	(0.0303)	(0.0315)	(0.0413)	(0.0414)	(0.0432)	(0.0290)	(0.0291)	(0.0302)	(0.0278)	(0.0279)	(0.0289)																																															
twin_three_fam													0.522***	0.514***	0.492***	0.519***	0.508***	0.487***	0.525***	0.516***	0.495***	0.536***	0.529***	0.510***																																			
													(0.0213)	(0.0214)	(0.0222)	(0.0296)	(0.0297)	(0.0310)	(0.0206)	(0.0206)	(0.0214)	(0.0195)	(0.0196)	(0.0203)																																			
twin_four_fam																									0.585***	0.579***	0.562***	0.603***	0.597***	0.574***	0.584***	0.578***	0.561***	0.583***	0.577***	0.563***																							
																									(0.0182)	(0.0182)	(0.0186)	(0.0250)	(0.0251)	(0.0258)	(0.0176)	(0.0176)	(0.0180)	(0.0168)	(0.0169)	(0.0172)																							
twin_five_fam																																					0.663***	0.656***	0.658***	0.672***	0.663***	0.663***	0.661***	0.655***	0.657***	0.661***	0.655***	0.658***											
																																					(0.0173)	(0.0173)	(0.0176)	(0.0237)	(0.0237)	(0.0241)	(0.0168)	(0.0168)	(0.0171)	(0.0160)	(0.0160)	(0.0163)											
twin_six_fam																																																	0.734***	0.733***	0.732***	0.717***	0.714***	0.710***	0.735***	0.734***	0.735***	0.742***	0.742***
																																																	(0.0170)	(0.0170)	(0.0172)	(0.0226)	(0.0226)	(0.0229)	(0.0165)	(0.0165)	(0.0166)	(0.0158)	(0.0158)
Constant	5.102***	4.106***	4.831***	5.630***	4.196***	5.284***	5.032***	3.775***	4.583***	5.179***	4.011***	4.692***	5.063***	3.709***	4.162***	4.542***	3.014**	3.697***	4.834***	3.488***	4.060***	3.755***	3.897***	3.839***	3.965***	2.634***	2.872***	2.016	0.540	0.813	4.198***	2.951***	3.028***	4.439***	3.227***	3.489***	2.896***	1.970***	2.204***	-0.389	-1.488	-1.344	3.250***	2.317***	2.421***	4.130***	3.411***	3.469***	2.559**	2.003*	2.042*	-1.762***	-2.434***	-2.272***	2.795***	2.436***	2.548***	3.508***	2.147***
	(0.415)	(0.409)	(0.425)	(1.246)	(1.243)	(1.297)	(1.099)	(1.098)	(1.139)	(0.785)	(0.781)	(0.810)	(0.403)	(0.399)	(0.414)	(1.295)	(1.295)	(1.351)	(1.142)	(1.144)	(1.187)	(0.567)	(0.564)	(0.585)	(0.682)	(0.681)	(0.697)	(1.308)	(1.308)	(1.344)	(0.448)	(0.444)	(0.454)	(0.804)	(0.804)	(0.821)	(0.685)	(0.683)	(0.693)	(1.303)	(1.301)	(1.324)	(0.484)	(0.481)	(0.488)	(0.576)	(0.574)	(0.582)	(1.160)	(1.158)	(1.169)	(0.659)	(0.654)	(0.661)	(0.815)	(0.813)	(0.821)	(0.799)	(0.797)
																																																											
Observations	99,309	99,309	99,309	69,968	69,968	69,968	102,116	102,116	102,116	104,055	104,055	104,055	218,743	218,743	218,743	146,153	146,153	146,153	227,861	227,861	227,861	240,606	240,606	240,606	272,032	272,032	272,032	182,495	182,495	182,495	282,558	282,558	282,558	297,241	297,241	297,241	274,899	274,899	274,899	186,291	186,291	186,291	284,808	284,808	284,808	298,860	298,860	298,860	250,915	250,915	250,915	171,030	171,030	171,030	260,117	260,117	260,117	273,316	273,316
R-squared	0.505	0.503	0.463	0.463	0.460	0.412	0.514	0.512	0.474	0.521	0.519	0.482	0.508	0.505	0.465	0.471	0.468	0.421	0.518	0.515	0.477	0.537	0.534	0.499	0.435	0.432	0.405	0.394	0.391	0.357	0.444	0.441	0.416	0.461	0.458	0.435	0.346	0.345	0.325	0.307	0.305	0.281	0.355	0.353	0.335	0.372	0.371	0.354	0.262	0.262	0.248	0.235	0.235	0.218	0.270	0.270	0.256	0.288	0.287
Standard errors in parentheses																																																											
*** p<0.01, ** p<0.05, * p<0.1																																																											
