	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
educf	0.0592***	0.0617***		0.0703***	0.0734***		0.0915***	0.0961***		0.0949***	0.0998***		0.105***	0.110***		0.105***	0.110***		0.0319***	0.0332***		0.0343***	0.0354***		0.0356***	0.0374***		0.0307***	0.0323***		0.0299***	0.0319***		0.0256***	0.0273***		-0.000553**	-0.000600***		-0.000438**	-0.000409*		-0.000605*	-0.000651**		-0.000767*	-0.000806**		-0.00122**	-0.00128***		-0.00108*	-0.00114*		-0.000349***	-0.000376***		-0.000319**	-0.000304**		-0.000206	-0.000251		-0.000750**	-0.000748**		-0.000763**	-0.000804**		-0.000414	-0.000447	
	(0.00387)	(0.00384)		(0.00266)	(0.00265)		(0.00293)	(0.00291)		(0.00344)	(0.00344)		(0.00374)	(0.00374)		(0.00434)	(0.00432)		(0.00239)	(0.00237)		(0.00175)	(0.00174)		(0.00179)	(0.00178)		(0.00199)	(0.00198)		(0.00214)	(0.00214)		(0.00244)	(0.00243)		(0.000215)	(0.000214)		(0.000212)	(0.000213)		(0.000318)	(0.000313)		(0.000405)	(0.000399)		(0.000490)	(0.000490)		(0.000632)	(0.000632)		(0.000135)	(0.000134)		(0.000147)	(0.000147)		(0.000234)	(0.000231)		(0.000296)	(0.000291)		(0.000346)	(0.000346)		(0.000472)	(0.000472)	
educfyrs_sq	-0.00174***	-0.00179***		-0.00178***	-0.00188***		-0.00266***	-0.00277***		-0.00245***	-0.00251***		-0.00297***	-0.00299***		-0.00297***	-0.00301***		-0.00103***	-0.00107***		-0.00113***	-0.00115***		-0.00104***	-0.00110***		-0.000538***	-0.000568***		-0.000526***	-0.000564***		-0.000362	-0.000391*		2.51e-05**	2.59e-05**		2.28e-05*	1.99e-05		3.36e-05	3.22e-05		5.27e-05*	5.33e-05*		9.23e-05**	9.19e-05**		2.81e-05	2.81e-05		1.77e-05**	1.77e-05**		1.73e-05**	1.58e-05*		1.45e-05	1.38e-05		6.08e-05**	6.08e-05**		7.16e-05**	7.14e-05**		2.69e-06	2.40e-06	
	(0.000227)	(0.000226)		(0.000179)	(0.000178)		(0.000221)	(0.000218)		(0.000270)	(0.000270)		(0.000325)	(0.000327)		(0.000388)	(0.000389)		(0.000134)	(0.000134)		(0.000113)	(0.000113)		(0.000128)	(0.000127)		(0.000154)	(0.000154)		(0.000191)	(0.000192)		(0.000229)	(0.000230)		(1.18e-05)	(1.18e-05)		(1.30e-05)	(1.29e-05)		(2.16e-05)	(2.16e-05)		(3.20e-05)	(3.19e-05)		(3.78e-05)	(3.78e-05)		(5.38e-05)	(5.38e-05)		(7.65e-06)	(7.59e-06)		(8.82e-06)	(8.74e-06)		(1.63e-05)	(1.63e-05)		(2.51e-05)	(2.51e-05)		(2.79e-05)	(2.78e-05)		(4.16e-05)	(4.16e-05)	
height	0.00399***			0.00328***			0.00461***			0.00511***			0.00562***			0.00556***			0.00167***			0.00218***			0.00114**			0.00197***			0.00168***			0.00175***			-8.17e-05*			-0.000132**			-0.000345***			-2.53e-05			-0.000180			-0.000141			-7.54e-05**			-7.74e-05**			-0.000262***			1.04e-05			-0.000104			-0.000124		
	(0.000937)			(0.000756)			(0.000730)			(0.000775)			(0.000816)			(0.000895)			(0.000590)			(0.000475)			(0.000463)			(0.000476)			(0.000454)			(0.000487)			(4.48e-05)			(5.67e-05)			(7.90e-05)			(9.63e-05)			(0.000118)			(0.000149)			(3.30e-05)			(3.81e-05)			(5.60e-05)			(6.49e-05)			(8.12e-05)			(0.000105)		
bmi	0.00515***			0.00847***			0.0125***			0.0166***			0.0176***			0.0166***			0.00259***			0.00262***			0.00435***			0.00484***			0.00630***			0.00503***			-0.000105*			9.94e-05			-1.62e-05			-0.000141			-0.000141			-0.000131			-6.79e-05*			6.45e-05			-3.59e-05			-3.67e-08			-0.000118			-5.49e-05		
	(0.00121)			(0.00105)			(0.000984)			(0.00113)			(0.00117)			(0.00129)			(0.000769)			(0.000577)			(0.000583)			(0.000635)			(0.000666)			(0.000716)			(5.38e-05)			(7.16e-05)			(8.70e-05)			(0.000119)			(0.000139)			(0.000185)			(3.66e-05)			(5.06e-05)			(6.61e-05)			(8.83e-05)			(0.000103)			(0.000131)		
Constant	-1.804***	-1.146***	-1.784***	-1.969***	-1.399**	-2.296***	-3.540***	-2.664***	-3.086***	-3.979***	-2.963***	-3.331***	-3.033***	-1.887***	-2.276***	-4.119***	-2.902***	-2.883***	-1.108***	-0.835***	-1.261***	-0.754***	-0.416***	-0.845***	-1.165***	-0.943***	-1.125***	-0.0764	0.287**	0.0654	-0.701***	-0.367*	-0.609***	-0.897***	-0.506***	-0.511***	0.0919***	0.0784***	0.0817***	0.148***	0.128***	0.131***	0.242***	0.190***	0.193***	0.163***	0.157***	0.157***	0.429***	0.399***	0.400***	0.287***	0.261***	0.262***	0.0379***	0.0258***	0.0271***	0.0644***	0.0531***	0.0543***	0.134***	0.0935***	0.0945***	0.0669***	0.0685***	0.0672***	0.237***	0.219***	0.219***	0.135***	0.114***	0.114***
	(0.387)	(0.361)	(0.473)	(0.565)	(0.553)	(0.558)	(0.443)	(0.430)	(0.446)	(0.453)	(0.450)	(0.467)	(0.320)	(0.258)	(0.251)	(0.411)	(0.365)	(0.370)	(0.275)	(0.258)	(0.267)	(0.167)	(0.152)	(0.155)	(0.157)	(0.140)	(0.147)	(0.161)	(0.143)	(0.146)	(0.208)	(0.216)	(0.229)	(0.203)	(0.188)	(0.187)	(0.0172)	(0.0170)	(0.0170)	(0.0197)	(0.0166)	(0.0164)	(0.0259)	(0.0214)	(0.0213)	(0.0334)	(0.0295)	(0.0295)	(0.0594)	(0.0551)	(0.0550)	(0.0637)	(0.0595)	(0.0594)	(0.00843)	(0.00700)	(0.00684)	(0.0105)	(0.00802)	(0.00785)	(0.0160)	(0.0127)	(0.0127)	(0.0204)	(0.0176)	(0.0177)	(0.0446)	(0.0412)	(0.0411)	(0.0413)	(0.0391)	(0.0391)
																																																																								
Observations	34,769	34,769	34,769	57,708	57,708	57,708	61,974	61,974	61,974	53,582	53,582	53,582	48,551	48,551	48,551	38,177	38,177	38,177	15,659	15,659	15,659	28,659	28,659	28,659	31,186	31,186	31,186	28,491	28,491	28,491	27,126	27,126	27,126	22,342	22,342	22,342	40,639	40,639	40,639	64,721	64,721	64,721	68,235	68,235	68,235	58,299	58,299	58,299	52,399	52,399	52,399	40,969	40,969	40,969	68,100	68,100	68,100	90,097	90,097	90,097	90,497	90,497	90,497	74,701	74,701	74,701	66,221	66,221	66,221	50,740	50,740	50,740
R-squared	0.120	0.119	0.086	0.120	0.118	0.069	0.123	0.119	0.056	0.122	0.117	0.056	0.126	0.119	0.057	0.115	0.109	0.051	0.438	0.437	0.409	0.396	0.395	0.364	0.403	0.401	0.368	0.391	0.389	0.359	0.389	0.385	0.359	0.368	0.365	0.344	0.049	0.049	0.049	0.017	0.017	0.017	0.027	0.027	0.027	0.025	0.025	0.025	0.036	0.036	0.036	0.032	0.031	0.031	0.018	0.018	0.018	0.010	0.010	0.010	0.016	0.015	0.015	0.017	0.017	0.017	0.023	0.023	0.023	0.022	0.022	0.022
Robust standard errors in parentheses																																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																																								
