	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality	infantmortality
																																																																								
agefirstbirth	-0.00347*	-0.00386*	0.00642***	-0.00145	-0.00232	0.0100***	-0.00750***	-0.00896***	0.00193	-0.00892***	-0.0109***	-0.00472***	-0.0164***	-0.0188***	-0.0161***	-0.0151***	-0.0179***	-0.0164***	0.00123	0.00110	0.00591***	0.000296	-1.70e-05	0.00526***	-0.00136	-0.00196**	0.00266***	-0.00133	-0.00214**	0.000319	-0.00480***	-0.00575***	-0.00414***	-0.00463***	-0.00564***	-0.00461***	0.00114***	0.00115***	0.00109***	0.00126***	0.00125***	0.00123***	0.00165***	0.00166***	0.00166***	0.00190***	0.00189***	0.00191***	0.00186***	0.00187***	0.00190***	0.00188***	0.00190***	0.00190***	0.000718***	0.000724***	0.000692***	0.000815***	0.000808***	0.000791***	0.00108***	0.00109***	0.00110***	0.00129***	0.00127***	0.00129***	0.00118***	0.00120***	0.00123***	0.00124***	0.00125***	0.00126***
	(0.00210)	(0.00210)	(0.00212)	(0.00164)	(0.00165)	(0.00160)	(0.00154)	(0.00153)	(0.00156)	(0.00168)	(0.00168)	(0.00174)	(0.00190)	(0.00191)	(0.00197)	(0.00224)	(0.00224)	(0.00229)	(0.00137)	(0.00137)	(0.00140)	(0.000926)	(0.000926)	(0.000922)	(0.000911)	(0.000912)	(0.000927)	(0.00102)	(0.00102)	(0.00104)	(0.00109)	(0.00109)	(0.00111)	(0.00123)	(0.00123)	(0.00125)	(0.000166)	(0.000166)	(0.000163)	(0.000117)	(0.000116)	(0.000114)	(0.000144)	(0.000144)	(0.000140)	(0.000184)	(0.000183)	(0.000181)	(0.000243)	(0.000241)	(0.000239)	(0.000310)	(0.000308)	(0.000303)	(9.77e-05)	(9.82e-05)	(9.59e-05)	(7.87e-05)	(7.79e-05)	(7.62e-05)	(0.000105)	(0.000105)	(0.000102)	(0.000132)	(0.000131)	(0.000130)	(0.000169)	(0.000170)	(0.000168)	(0.000219)	(0.000218)	(0.000214)
educf	0.0610***	0.0634***		0.0674***	0.0701***		0.0918***	0.0955***		0.103***	0.107***		0.114***	0.119***		0.115***	0.120***		0.0304***	0.0318***		0.0318***	0.0330***		0.0403***	0.0420***		0.0374***	0.0392***		0.0407***	0.0425***		0.0374***	0.0392***		-0.000641***	-0.000693***		-0.000402**	-0.000373**		-0.000209	-0.000255		-0.000748**	-0.000728**		-0.00120***	-0.00123***		-0.00152***	-0.00154***		-0.000360***	-0.000380***		-0.000285**	-0.000268**		-0.000105	-0.000131		-0.000407	-0.000371		-0.000588**	-0.000637**		-0.00103**	-0.00105**	
	(0.00297)	(0.00296)		(0.00224)	(0.00224)		(0.00228)	(0.00228)		(0.00278)	(0.00278)		(0.00337)	(0.00337)		(0.00406)	(0.00404)		(0.00202)	(0.00201)		(0.00140)	(0.00139)		(0.00142)	(0.00141)		(0.00167)	(0.00167)		(0.00195)	(0.00194)		(0.00228)	(0.00228)		(0.000195)	(0.000197)		(0.000170)	(0.000171)		(0.000246)	(0.000244)		(0.000338)	(0.000335)		(0.000403)	(0.000401)		(0.000547)	(0.000547)		(0.000125)	(0.000124)		(0.000124)	(0.000123)		(0.000185)	(0.000183)		(0.000255)	(0.000252)		(0.000298)	(0.000297)		(0.000414)	(0.000413)	
educfyrs_sq	-0.00188***	-0.00194***		-0.00176***	-0.00183***		-0.00295***	-0.00306***		-0.00337***	-0.00346***		-0.00376***	-0.00384***		-0.00377***	-0.00387***		-0.00102***	-0.00106***		-0.00103***	-0.00106***		-0.00144***	-0.00151***		-0.00113***	-0.00119***		-0.00121***	-0.00125***		-0.000998***	-0.00104***		2.84e-05***	2.96e-05***		2.04e-05**	1.81e-05*		1.53e-05	1.49e-05		4.77e-05*	4.69e-05*		8.55e-05***	8.52e-05***		7.22e-05	7.06e-05		1.57e-05**	1.59e-05**		1.42e-05*	1.27e-05*		1.19e-05	1.11e-05		2.97e-05	2.90e-05		5.50e-05**	5.53e-05**		5.65e-05	5.53e-05	
	(0.000173)	(0.000172)		(0.000150)	(0.000150)		(0.000164)	(0.000163)		(0.000210)	(0.000210)		(0.000268)	(0.000268)		(0.000334)	(0.000335)		(0.000110)	(0.000109)		(8.74e-05)	(8.71e-05)		(9.78e-05)	(9.74e-05)		(0.000123)	(0.000123)		(0.000153)	(0.000153)		(0.000186)	(0.000186)		(1.00e-05)	(1.01e-05)		(1.02e-05)	(1.02e-05)		(1.61e-05)	(1.60e-05)		(2.45e-05)	(2.44e-05)		(2.96e-05)	(2.95e-05)		(4.45e-05)	(4.45e-05)		(6.50e-06)	(6.52e-06)		(7.36e-06)	(7.34e-06)		(1.22e-05)	(1.22e-05)		(1.88e-05)	(1.88e-05)		(2.24e-05)	(2.24e-05)		(3.49e-05)	(3.49e-05)	
height	0.00330***			0.00377***			0.00500***			0.00365***			0.00440***			0.00501***			0.00128***			0.00201***			0.00108***			0.00130***			0.00157***			0.00157***			-7.40e-05*			-8.45e-05**			-0.000248***			-6.17e-06			-0.000185*			-0.000231**			-4.37e-05			-6.63e-05**			-0.000193***			4.36e-05			-0.000137*			-0.000157*		
	(0.000732)			(0.000597)			(0.000594)			(0.000684)			(0.000808)			(0.000885)			(0.000466)			(0.000370)			(0.000377)			(0.000410)			(0.000462)			(0.000505)			(3.94e-05)			(4.10e-05)			(6.02e-05)			(7.41e-05)			(0.000101)			(0.000117)			(2.76e-05)			(2.90e-05)			(4.41e-05)			(5.41e-05)			(7.29e-05)			(8.67e-05)		
bmi	0.00501***			0.00699***			0.0103***			0.0129***			0.0151***			0.0156***			0.00255***			0.00295***			0.00424***			0.00501***			0.00542***			0.00504***			-0.000116***			9.48e-05*			-8.64e-05			7.26e-05			-3.20e-05			-1.95e-05			-4.89e-05*			6.55e-05*			-3.31e-05			0.000113			-0.000115			-5.41e-06		
	(0.000928)			(0.000789)			(0.000768)			(0.000886)			(0.00102)			(0.00114)			(0.000590)			(0.000439)			(0.000449)			(0.000492)			(0.000572)			(0.000634)			(4.00e-05)			(5.01e-05)			(6.52e-05)			(9.19e-05)			(0.000116)			(0.000137)			(2.65e-05)			(3.62e-05)			(5.14e-05)			(7.08e-05)			(8.28e-05)			(9.86e-05)		
Constant	-0.535***	0.0137	-0.326*	-1.462***	-0.847	-1.767***	-2.465***	-1.492***	-2.015***	-3.233***	-2.502***	-2.762***	-2.512***	-1.467***	-1.647***	-3.582***	-2.488***	-2.374***	-0.424**	-0.215	-0.567***	-0.416***	-0.104	-0.515***	-0.687***	-0.432*	-0.670***	-0.276*	-0.0121	-0.187	-0.544***	-0.188	-0.352**	-1.029***	-0.677***	-0.684***	0.0845***	0.0722***	0.0739***	0.128***	0.116***	0.118***	0.202***	0.164***	0.164***	0.151***	0.151***	0.150***	0.291***	0.262***	0.260***	0.161***	0.125***	0.122***	0.0294***	0.0223***	0.0229***	0.0640***	0.0544***	0.0559***	0.124***	0.0947***	0.0945***	0.0685***	0.0767***	0.0756***	0.169***	0.145***	0.143***	0.102***	0.0778**	0.0760**
	(0.204)	(0.169)	(0.170)	(0.549)	(0.542)	(0.545)	(0.408)	(0.373)	(0.263)	(0.387)	(0.380)	(0.403)	(0.271)	(0.240)	(0.244)	(0.447)	(0.413)	(0.433)	(0.202)	(0.188)	(0.190)	(0.139)	(0.128)	(0.129)	(0.245)	(0.237)	(0.177)	(0.156)	(0.144)	(0.154)	(0.175)	(0.161)	(0.163)	(0.218)	(0.198)	(0.208)	(0.0159)	(0.0146)	(0.0145)	(0.0151)	(0.0133)	(0.0132)	(0.0206)	(0.0181)	(0.0180)	(0.0270)	(0.0244)	(0.0243)	(0.0397)	(0.0365)	(0.0364)	(0.0468)	(0.0429)	(0.0428)	(0.00661)	(0.00522)	(0.00518)	(0.00862)	(0.00712)	(0.00699)	(0.0134)	(0.0116)	(0.0116)	(0.0185)	(0.0163)	(0.0163)	(0.0277)	(0.0250)	(0.0250)	(0.0339)	(0.0306)	(0.0306)
																																																																								
Observations	53,288	53,288	53,288	89,360	89,360	89,360	90,527	90,527	90,527	72,596	72,596	72,596	58,766	58,766	58,766	42,452	42,452	42,452	24,623	24,623	24,623	45,113	45,113	45,113	47,488	47,488	47,488	39,976	39,976	39,976	33,939	33,939	33,939	25,612	25,612	25,612	62,069	62,069	62,069	99,994	99,994	99,994	99,098	99,098	99,098	78,534	78,534	78,534	63,156	63,156	63,156	45,572	45,572	45,572	103,472	103,472	103,472	137,440	137,440	137,440	127,858	127,858	127,858	98,178	98,178	98,178	77,845	77,845	77,845	55,414	55,414	55,414
R-squared	0.126	0.125	0.092	0.112	0.110	0.064	0.116	0.112	0.051	0.117	0.113	0.052	0.129	0.124	0.061	0.126	0.120	0.061	0.442	0.441	0.417	0.405	0.404	0.376	0.385	0.383	0.346	0.361	0.358	0.325	0.350	0.347	0.312	0.335	0.333	0.302	0.022	0.022	0.021	0.012	0.012	0.012	0.015	0.015	0.015	0.016	0.016	0.016	0.019	0.019	0.019	0.017	0.017	0.017	0.008	0.008	0.007	0.008	0.008	0.008	0.011	0.011	0.011	0.012	0.012	0.011	0.013	0.013	0.013	0.013	0.013	0.013
Robust standard errors in parentheses																																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																																								
