	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
agemay	0.00566**	0.00613**	0.0119**	0.00538**	0.00578**	0.00949**	0.00483**	0.00526**	0.0103**	0.00465**	0.00501**	0.00867**	0.00397**	0.00439**	0.00865**	0.00378**	0.00414**	0.00738**	0.00425**	0.00454**	0.00720**	0.00400**	0.00425**	0.00637**	0.00446**	0.00465**	0.00618**	0.00390**	0.00406**	0.00506**	0.00474**	0.00493**	0.00582**	0.00457**	0.00471**	0.00512**
	(0.000414)	(0.000441)	(0.000995)	(0.000341)	(0.000339)	(0.000338)	(0.000327)	(0.000337)	(0.000578)	(0.000305)	(0.000304)	(0.000305)	(0.000348)	(0.000352)	(0.000453)	(0.000334)	(0.000334)	(0.000340)	(0.000417)	(0.000421)	(0.000485)	(0.000389)	(0.000389)	(0.000400)	(0.000526)	(0.000529)	(0.000577)	(0.000470)	(0.000470)	(0.000485)	(0.000667)	(0.000669)	(0.000709)	(0.000581)	(0.000582)	(0.000601)
borddummy2							-0.0176*	-0.0176*	-0.0378**	-0.00696**	-0.00620*	-0.00975**	-0.0189**	-0.0186**	-0.0341**	-0.00854*	-0.00755*	-0.00866*	-0.00930	-0.00892	-0.0172*	0.000183	0.00124	0.00167	0.00842	0.00906	0.00511	0.0206*	0.0215**	0.0253**	0.0217	0.0211	0.0187	0.0241	0.0243	0.0282*
							(0.00719)	(0.00719)	(0.00873)	(0.00256)	(0.00256)	(0.00265)	(0.00604)	(0.00604)	(0.00690)	(0.00352)	(0.00353)	(0.00366)	(0.00756)	(0.00757)	(0.00815)	(0.00520)	(0.00520)	(0.00540)	(0.00955)	(0.00956)	(0.0101)	(0.00809)	(0.00809)	(0.00839)	(0.0142)	(0.0142)	(0.0148)	(0.0134)	(0.0134)	(0.0139)
borddummy3													-0.0399**	-0.0394**	-0.0733**	-0.0171**	-0.0151**	-0.0175**	-0.0314*	-0.0308*	-0.0457**	-0.0115*	-0.00951	-0.00636	-0.00449	-0.00337	-0.0125	0.0222**	0.0239**	0.0317**	0.0349*	0.0342*	0.0275	0.0405**	0.0415**	0.0491**
													(0.0114)	(0.0114)	(0.0133)	(0.00381)	(0.00382)	(0.00395)	(0.0126)	(0.0127)	(0.0137)	(0.00527)	(0.00527)	(0.00547)	(0.0135)	(0.0135)	(0.0144)	(0.00787)	(0.00788)	(0.00816)	(0.0167)	(0.0167)	(0.0175)	(0.0127)	(0.0127)	(0.0131)
borddummy4																			-0.0544**	-0.0535**	-0.0776**	-0.0221**	-0.0189**	-0.0139*	-0.0334	-0.0316	-0.0472*	0.00979	0.0125	0.0242**	0.0284	0.0280	0.0168	0.0373**	0.0396**	0.0508**
																			(0.0195)	(0.0195)	(0.0212)	(0.00571)	(0.00571)	(0.00590)	(0.0194)	(0.0194)	(0.0207)	(0.00810)	(0.00810)	(0.00837)	(0.0212)	(0.0212)	(0.0223)	(0.0126)	(0.0126)	(0.0130)
borddummy5																									-0.0490	-0.0466		0.0122	0.0160		0.0231	0.0226		0.0354**	0.0385**	
																									(0.0265)	(0.0265)		(0.00866)	(0.00866)		(0.0268)	(0.0268)		(0.0129)	(0.0129)	
borddummy6																															0.0223	0.0219		0.0388**	0.0434**	
																															(0.0344)	(0.0345)		(0.0135)	(0.0135)	
Constant	-0.298	-0.0462	-0.0208	0.365**	0.605**	0.711**	0.301	0.597**	0.607**	0.327**	0.608**	0.726**	0.137	0.414	0.441	0.334**	0.603**	0.756**	0.286	0.537*	0.517*	0.298**	0.536**	0.743**	0.126	0.369	0.291	0.274**	0.504**	0.767**	0.313	0.567*	0.532	0.142	0.415**	0.717**
	(0.346)	(0.342)	(0.361)	(0.0460)	(0.0278)	(0.0286)	(0.160)	(0.153)	(0.162)	(0.0406)	(0.0244)	(0.0251)	(0.280)	(0.277)	(0.293)	(0.0449)	(0.0275)	(0.0284)	(0.253)	(0.247)	(0.261)	(0.0533)	(0.0336)	(0.0346)	(0.323)	(0.317)	(0.334)	(0.0657)	(0.0432)	(0.0444)	(0.275)	(0.268)	(0.281)	(0.0855)	(0.0615)	(0.0632)
																																				
Observations	63,038	63,038	63,038	63,038	63,038	63,038	89,281	89,281	89,281	89,281	89,281	89,281	84,173	84,173	84,173	84,173	84,173	84,173	69,314	69,314	69,314	69,314	69,314	69,314	52,945	52,945	52,945	52,945	52,945	52,945	38,433	38,433	38,433	38,433	38,433	38,433
R-squared	0.154	0.151	0.051	0.161	0.160	0.099	0.150	0.148	0.051	0.157	0.155	0.091	0.144	0.141	0.036	0.152	0.150	0.081	0.140	0.137	0.050	0.147	0.145	0.077	0.127	0.125	0.034	0.142	0.140	0.075	0.137	0.133	0.060	0.137	0.135	0.072
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
