	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
agemay	0.0102**	0.0107**	0.0115**	0.0103**	0.0109**	0.0131**	0.0115**	0.0119**	0.0123**	0.0102**	0.0106**	0.0121**	0.0121**	0.0123**	0.0122**	0.00986**	0.0101**	0.0108**	0.0111**	0.0112**	0.0108**	0.00997**	0.0100**	0.0100**	0.00971**	0.00968**	0.00895**	0.00993**	0.00982**	0.00930**	0.0108**	0.0105**	0.00975**	0.0106**	0.0104**	0.00950**
	(0.00161)	(0.00159)	(0.00138)	(0.000424)	(0.000424)	(0.000429)	(0.000915)	(0.000911)	(0.000834)	(0.000330)	(0.000331)	(0.000336)	(0.000682)	(0.000682)	(0.000663)	(0.000315)	(0.000315)	(0.000321)	(0.000460)	(0.000462)	(0.000473)	(0.000328)	(0.000329)	(0.000334)	(0.000413)	(0.000414)	(0.000436)	(0.000362)	(0.000363)	(0.000369)	(0.000433)	(0.000435)	(0.000443)	(0.000422)	(0.000423)	(0.000429)
borddummy2							-0.0214	-0.0203	-0.0320*	-0.0404**	-0.0392**	-0.0357**	-0.0138	-0.0142	-0.0191*	-0.0458**	-0.0450**	-0.0404**	-0.00703	-0.00616	-0.00799	-0.0288**	-0.0284**	-0.0235**	-0.0154	-0.0132	-0.0129	-0.00967	-0.00946	-0.00475	0.0162	0.0169	0.0164	-0.00454	-0.00523	-0.00334
							(0.0126)	(0.0125)	(0.0138)	(0.00286)	(0.00287)	(0.00296)	(0.00910)	(0.00910)	(0.00950)	(0.00338)	(0.00339)	(0.00348)	(0.00763)	(0.00768)	(0.00774)	(0.00446)	(0.00447)	(0.00458)	(0.00825)	(0.00830)	(0.00845)	(0.00631)	(0.00633)	(0.00646)	(0.0112)	(0.0113)	(0.0115)	(0.00988)	(0.00991)	(0.0101)
borddummy3													-0.0138	-0.0148	-0.0290	-0.0889**	-0.0872**	-0.0795**	-0.0321*	-0.0304*	-0.0365*	-0.0788**	-0.0781**	-0.0700**	-0.0517**	-0.0472**	-0.0475**	-0.0393**	-0.0392**	-0.0301**	0.0287*	0.0309*	0.0328*	-0.0160	-0.0169	-0.00949
													(0.0201)	(0.0201)	(0.0212)	(0.00369)	(0.00370)	(0.00379)	(0.0139)	(0.0140)	(0.0142)	(0.00451)	(0.00453)	(0.00463)	(0.0129)	(0.0130)	(0.0132)	(0.00614)	(0.00616)	(0.00628)	(0.0143)	(0.0145)	(0.0146)	(0.00937)	(0.00940)	(0.00957)
borddummy4																			-0.0344	-0.0313	-0.0425	-0.112**	-0.110**	-0.0984**	-0.102**	-0.0948**	-0.0958**	-0.0829**	-0.0824**	-0.0691**	0.0281	0.0320	0.0348	-0.0396**	-0.0405**	-0.0293**
																			(0.0224)	(0.0226)	(0.0229)	(0.00491)	(0.00492)	(0.00502)	(0.0185)	(0.0186)	(0.0189)	(0.00629)	(0.00631)	(0.00642)	(0.0187)	(0.0190)	(0.0190)	(0.00932)	(0.00935)	(0.00951)
borddummy5																									-0.141**	-0.130**		-0.113**	-0.112**		0.0119	0.0181		-0.0813**	-0.0819**	
																									(0.0264)	(0.0267)		(0.00675)	(0.00677)		(0.0243)	(0.0246)		(0.00954)	(0.00957)	
borddummy6																															0.0213	0.0301		-0.108**	-0.109**	
																															(0.0325)	(0.0330)		(0.0100)	(0.0100)	
Constant	0.0534	0.446	0.743	-0.0284	0.401**	0.517**	-0.652	-0.297	-0.263	-0.0915	0.352**	0.461**	0.346	0.774	0.949*	-0.0373	0.357**	0.477**	0.665*	1.097**	1.131**	-0.136*	0.289**	0.400**	0.253	0.669	0.928*	-0.162*	0.228**	0.351**	0.698*	1.119**	1.291**	-0.230**	0.154**	0.291**
	(0.402)	(0.401)	(0.418)	(0.0829)	(0.0696)	(0.0720)	(0.415)	(0.413)	(0.423)	(0.0675)	(0.0575)	(0.0593)	(0.437)	(0.435)	(0.441)	(0.0591)	(0.0482)	(0.0495)	(0.317)	(0.316)	(0.321)	(0.0599)	(0.0481)	(0.0492)	(0.446)	(0.445)	(0.455)	(0.0632)	(0.0494)	(0.0504)	(0.342)	(0.343)	(0.347)	(0.0704)	(0.0540)	(0.0550)
																																				
Observations	54,903	54,903	54,903	54,903	54,903	54,903	92,505	92,505	92,505	92,505	92,505	92,505	106,236	106,236	106,236	106,236	106,236	106,236	102,383	102,383	102,383	102,383	102,383	102,383	88,804	88,804	88,804	88,804	88,804	88,804	70,161	70,161	70,161	70,161	70,161	70,161
R-squared	0.244	0.240	0.165	0.244	0.240	0.183	0.224	0.219	0.178	0.235	0.230	0.178	0.173	0.171	0.150	0.223	0.218	0.173	0.186	0.180	0.154	0.213	0.208	0.168	0.205	0.202	0.163	0.208	0.203	0.167	0.166	0.156	0.131	0.203	0.199	0.167
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
