	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
	(0.331)	(0.377)	(7.899)	(0.100)	(0.101)	(0.106)	(16.18)	(3.462)	(0.269)	(0.0795)	(0.0799)	(0.0831)	(0.114)	(0.113)	(0.300)	(0.0700)	(0.0703)	(0.0729)	(0.0968)	(0.0972)	(0.120)	(0.0678)	(0.0681)	(0.0703)	(0.0876)	(0.0874)	(0.0931)	(0.0713)	(0.0716)	(0.0735)	(0.0857)	(0.0857)	(0.0886)	(0.0796)	(0.0799)	(0.0817)
agemay	0.0377	0.0733	-1.262	0.0415**	0.0357*	0.0546**	2.779	1.582	0.176	0.0452**	0.0420**	0.0516**	0.152	0.138	0.293	0.0430**	0.0399**	0.0428**	0.0322	0.0340	0.0543	0.0418**	0.0377**	0.0330**	0.0194	0.0138	0.0128	0.0345**	0.0308**	0.0260*	0.0417	0.0326	0.0311	0.0426**	0.0392**	0.0335**
	(0.195)	(0.231)	(17.30)	(0.0148)	(0.0148)	(0.0154)	(81.89)	(30.12)	(0.562)	(0.0118)	(0.0119)	(0.0123)	(0.0937)	(0.0889)	(0.224)	(0.0105)	(0.0106)	(0.0109)	(0.0495)	(0.0497)	(0.0566)	(0.0103)	(0.0104)	(0.0107)	(0.0268)	(0.0273)	(0.0283)	(0.0110)	(0.0111)	(0.0114)	(0.0213)	(0.0220)	(0.0224)	(0.0125)	(0.0125)	(0.0128)
borddummy2							-39.34	-22.25	-1.485	0.0408	0.0606	0.0961	-1.434	-1.273	-3.035	0.0168	0.0332	0.0966	0.105	0.0362	-0.216	-0.0279	-0.0148	0.0739	0.187	0.217	0.245	-0.0426	-0.0384	0.0496	-0.103	-0.0299	0.00585	-0.117	-0.124	-0.0277
							(1,180)	(436.4)	(7.130)	(0.0853)	(0.0858)	(0.0891)	(1.239)	(1.179)	(2.787)	(0.0869)	(0.0874)	(0.0906)	(0.683)	(0.685)	(0.764)	(0.0936)	(0.0941)	(0.0971)	(0.385)	(0.390)	(0.401)	(0.107)	(0.108)	(0.110)	(0.280)	(0.286)	(0.291)	(0.129)	(0.130)	(0.133)
borddummy3													-2.795	-2.482	-6.042	0.0331	0.0637	0.124	0.291	0.168	-0.373	0.0406	0.0719	0.178	0.500	0.561	0.550	0.0848	0.0977	0.194	-0.0378	0.105	0.0536	-0.0637	-0.0758	-0.0115
													(2.408)	(2.292)	(5.481)	(0.102)	(0.102)	(0.106)	(1.276)	(1.281)	(1.441)	(0.107)	(0.107)	(0.111)	(0.680)	(0.689)	(0.713)	(0.119)	(0.119)	(0.123)	(0.495)	(0.508)	(0.522)	(0.140)	(0.140)	(0.143)
borddummy4																			0.446	0.294	-0.509	0.0902	0.158	0.276*	0.688	0.809	0.755	0.104	0.157	0.251	0.0472	0.301	0.206	0.00901	0.0333	0.109
																			(1.811)	(1.819)	(2.054)	(0.125)	(0.126)	(0.129)	(0.950)	(0.965)	(1.002)	(0.137)	(0.138)	(0.141)	(0.720)	(0.743)	(0.765)	(0.159)	(0.159)	(0.163)
borddummy5																									0.870	1.014		0.125	0.182		0.0560	0.363		0.00791	0.0263	
