	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
	(0.00301)	(0.00301)	(0.00306)	(0.00276)	(0.00276)	(0.00278)	(0.00298)	(0.00299)	(0.00298)	(0.00279)	(0.00279)	(0.00282)	(0.00355)	(0.00355)	(0.00358)	(0.00346)	(0.00346)	(0.00350)	(0.00446)	(0.00448)	(0.00441)	(0.00423)	(0.00423)	(0.00427)	(0.00523)	(0.00524)	(0.00526)	(0.00522)	(0.00523)	(0.00527)	(0.00674)	(0.00673)	(0.00667)	(0.00633)	(0.00633)	(0.00636)
agemay	0.00284**	0.00290**	0.00489**	0.00220**	0.00223**	0.00303**	0.00275**	0.00277**	0.00392**	0.00275**	0.00275**	0.00354**	0.00325**	0.00327**	0.00430**	0.00314**	0.00313**	0.00379**	0.00406**	0.00413**	0.00434**	0.00351**	0.00351**	0.00362**	0.00410**	0.00406**	0.00393**	0.00431**	0.00427**	0.00401**	0.00261*	0.00260*	0.00270*	0.00502**	0.00495**	0.00484**
	(0.000496)	(0.000501)	(0.000895)	(0.000320)	(0.000319)	(0.000313)	(0.000460)	(0.000462)	(0.000726)	(0.000339)	(0.000338)	(0.000333)	(0.000561)	(0.000561)	(0.000749)	(0.000434)	(0.000433)	(0.000430)	(0.000763)	(0.000767)	(0.000829)	(0.000542)	(0.000542)	(0.000541)	(0.000889)	(0.000888)	(0.000925)	(0.000685)	(0.000685)	(0.000685)	(0.00132)	(0.00131)	(0.00129)	(0.000874)	(0.000873)	(0.000870)
borddummy2							-0.0108	-0.0107	-0.0153	-0.0108**	-0.0104**	-0.0111**	-0.0158	-0.0156	-0.0183*	-0.0136**	-0.0129**	-0.0121*	-0.0281*	-0.0282*	-0.0260*	-0.0187*	-0.0176*	-0.0159*	-0.0138	-0.0124	-0.0123	-0.0167	-0.0154	-0.0134	0.0455*	0.0459*	0.0439*	0.0225	0.0233	0.0243
							(0.00678)	(0.00677)	(0.00783)	(0.00301)	(0.00300)	(0.00302)	(0.00848)	(0.00848)	(0.00894)	(0.00471)	(0.00471)	(0.00475)	(0.0117)	(0.0117)	(0.0114)	(0.00730)	(0.00730)	(0.00737)	(0.0142)	(0.0142)	(0.0143)	(0.0117)	(0.0117)	(0.0119)	(0.0220)	(0.0220)	(0.0217)	(0.0190)	(0.0190)	(0.0191)
borddummy3													-0.0219	-0.0217	-0.0288	-0.0172**	-0.0157**	-0.0152**	-0.0383*	-0.0389*	-0.0347	-0.0200**	-0.0183*	-0.0151*	-0.00606	-0.00418	-0.00275	-0.0117	-0.00992	-0.00470	0.0510	0.0513	0.0475	0.00368	0.00473	0.00760
													(0.0158)	(0.0158)	(0.0171)	(0.00506)	(0.00505)	(0.00507)	(0.0191)	(0.0193)	(0.0184)	(0.00731)	(0.00731)	(0.00736)	(0.0191)	(0.0191)	(0.0190)	(0.0113)	(0.0113)	(0.0114)	(0.0265)	(0.0265)	(0.0255)	(0.0180)	(0.0180)	(0.0181)
borddummy4																			-0.0577	-0.0585	-0.0526	-0.0280**	-0.0250**	-0.0208**	-0.0103	-0.00733	-0.00703	-0.0192	-0.0163	-0.0101	0.0817*	0.0821*	0.0746*	0.00503	0.00661	0.00942
																			(0.0297)	(0.0299)	(0.0285)	(0.00788)	(0.00787)	(0.00790)	(0.0268)	(0.0267)	(0.0267)	(0.0116)	(0.0116)	(0.0116)	(0.0352)	(0.0352)	(0.0336)	(0.0178)	(0.0178)	(0.0179)
borddummy5																									-0.0226	-0.0185		-0.0357**	-0.0318**		0.0998*	0.100*		-0.00946	-0.00725	
