	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
	(0.00890)	(0.00892)	(0.00897)	(0.00770)	(0.00770)	(0.00786)	(0.00748)	(0.00749)	(0.00751)	(0.00686)	(0.00686)	(0.00701)	(0.00865)	(0.00866)	(0.00878)	(0.00829)	(0.00829)	(0.00843)	(0.00892)	(0.00893)	(0.00889)	(0.00850)	(0.00851)	(0.00868)	(0.00961)	(0.00963)	(0.00969)	(0.00948)	(0.00949)	(0.00966)	(0.0113)	(0.0113)	(0.0113)	(0.0110)	(0.0111)	(0.0112)
agemay	0.0145**	0.0150**	0.0246**	0.0144**	0.0150**	0.0218**	0.0135**	0.0140**	0.0223**	0.0138**	0.0143**	0.0209**	0.0131**	0.0136**	0.0181**	0.0135**	0.0141**	0.0180**	0.0112**	0.0117**	0.0139**	0.0114**	0.0119**	0.0140**	0.0123**	0.0129**	0.0134**	0.0123**	0.0129**	0.0134**	0.0101**	0.0105**	0.00999**	0.0101**	0.0104**	0.00977**
	(0.000881)	(0.000879)	(0.00193)	(0.000875)	(0.000871)	(0.000855)	(0.000845)	(0.000837)	(0.00104)	(0.000803)	(0.000800)	(0.000788)	(0.00111)	(0.00111)	(0.00100)	(0.000996)	(0.000993)	(0.000981)	(0.00114)	(0.00114)	(0.00107)	(0.00105)	(0.00105)	(0.00104)	(0.00121)	(0.00121)	(0.00120)	(0.00119)	(0.00119)	(0.00119)	(0.00146)	(0.00146)	(0.00146)	(0.00144)	(0.00144)	(0.00144)
borddummy2							-0.0290	-0.0278	-0.0646*	-0.00170	0.000178	-0.00829	-0.0124	-0.0123	-0.0404	0.00946	0.0112	0.0108	-0.000251	-0.00209	-0.00103	0.00508	0.00678	0.00728	0.00774	0.00747	0.000731	0.00427	0.00587	0.00581	0.0148	0.0180	0.00832	-0.0161	-0.0136	-0.0136
							(0.0237)	(0.0237)	(0.0281)	(0.00724)	(0.00725)	(0.00738)	(0.0250)	(0.0251)	(0.0287)	(0.0107)	(0.0107)	(0.0108)	(0.0221)	(0.0222)	(0.0224)	(0.0133)	(0.0133)	(0.0136)	(0.0254)	(0.0255)	(0.0263)	(0.0181)	(0.0182)	(0.0185)	(0.0344)	(0.0347)	(0.0347)	(0.0260)	(0.0260)	(0.0264)
borddummy3													-0.0238	-0.0238	-0.0885	0.0239*	0.0274*	0.0242*	0.0174	0.0134	0.0155	0.0280*	0.0310*	0.0320*	0.0287	0.0281	0.0186	0.0220	0.0250	0.0283	0.0374	0.0431	0.0250	-0.0260	-0.0218	-0.0198
													(0.0506)	(0.0510)	(0.0594)	(0.0116)	(0.0116)	(0.0117)	(0.0376)	(0.0379)	(0.0379)	(0.0135)	(0.0135)	(0.0138)	(0.0386)	(0.0389)	(0.0401)	(0.0178)	(0.0179)	(0.0181)	(0.0523)	(0.0530)	(0.0523)	(0.0252)	(0.0252)	(0.0256)
borddummy4																			0.0195	0.0135	0.0182	0.0373*	0.0431**	0.0459**	0.0470	0.0467	0.0304	0.0363*	0.0418*	0.0459*	0.102	0.110	0.0825	0.00158	0.00755	0.0120
																			(0.0608)	(0.0613)	(0.0611)	(0.0147)	(0.0147)	(0.0148)	(0.0576)	(0.0580)	(0.0598)	(0.0184)	(0.0184)	(0.0186)	(0.0769)	(0.0779)	(0.0761)	(0.0252)	(0.0252)	(0.0254)
borddummy5																									0.0882	0.0869		0.0726**	0.0798**		0.189	0.200		0.0483	0.0561*	
