	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	-0.0462	-0.0454	-0.0220	-0.0501**	-0.0513**	-0.0863**	-0.0449	-0.0430	-0.00878	-0.0539**	-0.0551**	-0.0876**	-0.0506	-0.0508	-0.0364	-0.0490**	-0.0498**	-0.0773**	0.0135	0.0172	0.0208	-0.0456**	-0.0458**	-0.0678**	-0.0374	-0.0399	-0.0311	-0.0416**	-0.0411**	-0.0585**	-0.110**	-0.112**	-0.105**	-0.0396**	-0.0381**	-0.0531**
	(0.00510)	(0.00509)	(0.00512)	(0.00317)	(0.00318)	(0.00323)	(0.00331)	(0.00330)	(0.00319)	(0.00266)	(0.00266)	(0.00271)	(0.00283)	(0.00283)	(0.00280)	(0.00272)	(0.00272)	(0.00277)	(0.00301)	(0.00301)	(0.00307)	(0.00300)	(0.00300)	(0.00305)	(0.00335)	(0.00335)	(0.00342)	(0.00334)	(0.00334)	(0.00339)	(0.00393)	(0.00393)	(0.00398)	(0.00389)	(0.00390)	(0.00395)
agemay	0.0148**	0.0159**	0.0216**	0.0149**	0.0161**	0.0222**	0.0127**	0.0139**	0.0183**	0.0130**	0.0142**	0.0196**	0.0112**	0.0121**	0.0149**	0.0111**	0.0121**	0.0158**	0.00757**	0.00822**	0.00937**	0.00900**	0.00974**	0.0114**	0.00802**	0.00857**	0.00825**	0.00810**	0.00859**	0.00881**	0.00841**	0.00876**	0.00785**	0.00741**	0.00769**	0.00702**
	(0.00120)	(0.00115)	(0.000561)	(0.000373)	(0.000371)	(0.000363)	(0.000986)	(0.000956)	(0.000685)	(0.000313)	(0.000311)	(0.000308)	(0.000848)	(0.000836)	(0.000750)	(0.000320)	(0.000319)	(0.000319)	(0.000718)	(0.000718)	(0.000712)	(0.000355)	(0.000354)	(0.000356)	(0.000639)	(0.000643)	(0.000674)	(0.000400)	(0.000401)	(0.000403)	(0.000611)	(0.000617)	(0.000650)	(0.000479)	(0.000479)	(0.000482)
borddummy2							-0.0179	-0.0181	-0.0507**	-0.0144**	-0.0134**	-0.0176**	-0.00893	-0.00842	-0.0212*	-0.00942**	-0.00871*	-0.00857*	-0.0219*	-0.0225**	-0.0267**	-0.00552	-0.00504	-0.00224	-0.00364	-0.00265	-0.00520	-0.00255	-0.00234	0.00183	0.00822	0.00887	0.00736	-0.00716	-0.00741	-0.00384
							(0.0130)	(0.0131)	(0.0156)	(0.00280)	(0.00280)	(0.00284)	(0.00923)	(0.00924)	(0.0100)	(0.00350)	(0.00351)	(0.00356)	(0.00857)	(0.00860)	(0.00878)	(0.00474)	(0.00475)	(0.00483)	(0.00935)	(0.00938)	(0.00952)	(0.00654)	(0.00655)	(0.00664)	(0.0113)	(0.0113)	(0.0114)	(0.00962)	(0.00963)	(0.00975)
borddummy3													-0.0125	-0.0112	-0.0417	-0.0136**	-0.0119**	-0.0124**	-0.0396*	-0.0410**	-0.0500**	-0.00566	-0.00474	0.000717	0.00195	0.00406	-0.00112	0.00413	0.00467	0.0129*	0.0303*	0.0320*	0.0284	-0.00149	-0.00168	0.00525
													(0.0201)	(0.0201)	(0.0221)	(0.00378)	(0.00378)	(0.00383)	(0.0155)	(0.0156)	(0.0159)	(0.00480)	(0.00481)	(0.00487)	(0.0149)	(0.0149)	(0.0151)	(0.00641)	(0.00642)	(0.00650)	(0.0152)	(0.0152)	(0.0153)	(0.00924)	(0.00926)	(0.00936)
borddummy4																			-0.0609*	-0.0622*	-0.0774**	-0.00435	-0.00199	0.00710	3.60e-05	0.00372	-0.00414	0.00337	0.00465	0.0173**	0.0460*	0.0491*	0.0445*	-0.00206	-0.00187	0.00963
																			(0.0251)	(0.0252)	(0.0258)	(0.00519)	(0.00520)	(0.00525)	(0.0215)	(0.0216)	(0.0218)	(0.00658)	(0.00659)	(0.00666)	(0.0204)	(0.0205)	(0.0205)	(0.00924)	(0.00925)	(0.00934)
borddummy5																									0.0144	0.0202		0.0193**	0.0215**		0.0817**	0.0861**		0.0157	0.0162	
