	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																		
	(0.0131)		(0.0170)		(0.0128)		(0.0128)		(0.00918)		(0.0124)		(0.00872)		(0.00872)		(0.00809)		(0.0111)		(0.00759)		(0.00759)		(0.00831)		(0.0114)		(0.00784)		(0.00784)		(0.00872)	
educf_11plus	-0.985***		-1.142***		-0.968***		-0.968***		-1.037***		-1.219***		-0.994***		-0.994***		-0.958***		-1.154***		-0.902***		-0.902***		-0.813***		-0.986***		-0.767***		-0.767***		-0.795***	
	(0.0163)		(0.0210)		(0.0159)		(0.0159)		(0.0115)		(0.0155)		(0.0109)		(0.0109)		(0.0107)		(0.0148)		(0.0101)		(0.0101)		(0.0124)		(0.0169)		(0.0117)		(0.0117)		(0.0143)	
twin_two_fam	0.302***	0.251***	0.293***	0.244***	0.311***	0.261***	0.311***	0.261***																										
	(0.0288)	(0.0297)	(0.0381)	(0.0395)	(0.0280)	(0.0289)	(0.0280)	(0.0289)																										
twin_three_fam									0.537***	0.530***	0.561***	0.551***	0.539***	0.535***	0.539***	0.535***																		
									(0.0215)	(0.0222)	(0.0283)	(0.0293)	(0.0207)	(0.0214)	(0.0207)	(0.0214)																		
twin_four_fam																	0.626***	0.643***	0.644***	0.658***	0.617***	0.634***	0.617***	0.634***										
																	(0.0190)	(0.0195)	(0.0257)	(0.0265)	(0.0182)	(0.0186)	(0.0182)	(0.0186)										
twin_five_fam																									0.830***	0.851***	0.811***	0.827***	0.828***	0.849***	0.828***	0.849***		
																									(0.0184)	(0.0187)	(0.0241)	(0.0245)	(0.0177)	(0.0180)	(0.0177)	(0.0180)		
twin_six_fam																																	0.990***	1.005***
																																	(0.0184)	(0.0186)
Constant	4.155***	3.125***	3.490***	2.452**	4.088***	3.136***	4.088***	3.136***	4.239***	2.865***	2.537***	1.054	4.409***	3.168***	4.409***	3.168***	3.823***	2.188***	1.563	-0.236	4.164***	2.783***	4.164***	2.783***	3.335***	2.256***	-0.0782	-1.457	4.550***	3.328***	4.550***	3.328***	2.652**	1.934
	(0.461)	(0.463)	(0.987)	(1.012)	(0.860)	(0.881)	(0.860)	(0.881)	(0.428)	(0.436)	(0.984)	(1.016)	(0.609)	(0.624)	(0.609)	(0.624)	(0.726)	(0.743)	(1.399)	(1.441)	(0.861)	(0.882)	(0.861)	(0.882)	(0.717)	(0.726)	(1.376)	(1.398)	(0.852)	(0.862)	(0.852)	(0.862)	(1.209)	(1.221)
																																		
Observations	89,051	89,051	64,177	64,177	91,295	91,295	91,295	91,295	196,518	196,518	133,276	133,276	208,076	208,076	208,076	208,076	274,324	274,324	181,197	181,197	294,562	294,562	294,562	294,562	280,053	280,053	185,961	185,961	298,961	298,961	298,961	298,961	262,911	262,911
R-squared	0.525	0.493	0.482	0.442	0.537	0.506	0.537	0.506	0.526	0.492	0.485	0.445	0.547	0.517	0.547	0.517	0.468	0.437	0.427	0.389	0.490	0.462	0.490	0.462	0.389	0.369	0.344	0.319	0.411	0.393	0.411	0.393	0.301	0.286
Standard errors in parentheses																																		
*** p<0.01, ** p<0.05, * p<0.1																																		
