	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool
																																			
fert	0.0922	0.334***	0.0401	0.118**	0.0214***	0.0255***	0.0182***	0.0218***	-0.0336	-0.0272	-0.00449	-0.00187	0.0165***	0.0166***	0.0123***	0.0124***	-0.0364	-0.0665***	-0.0220*	-0.0297**	0.0127***	0.0123***	0.00972***	0.00943***	-0.0323*	-0.0664***	-0.00874	-0.0177**	0.00824***	0.00822***	0.00520***	0.00517***	-0.0738***	-0.0998***	-0.0267***
	(0.00171)		(0.00100)		(0.000105)		(9.42e-05)		(0.000829)		(0.000452)		(7.06e-05)		(6.05e-05)		(0.000663)		(0.000366)		(6.64e-05)		(5.65e-05)		(0.000495)		(0.000264)		(5.61e-05)		(4.68e-05)		(0.000460)		(0.000230)
educf_1_4	0.360***		0.124***		0.00458***		0.00423***		0.324***		0.110***		0.00167**		0.00149**		0.315***		0.101***		0.000476		0.000905		0.311***		0.0968***		-0.00145**		-0.000719		0.299***		0.0849***
	(0.0189)		(0.0106)		(0.00118)		(0.00105)		(0.00927)		(0.00488)		(0.000796)		(0.000683)		(0.00709)		(0.00387)		(0.000706)		(0.000600)		(0.00593)		(0.00321)		(0.000668)		(0.000558)		(0.00577)		(0.00304)
educf_5_6	0.705***		0.263***		0.0106***		0.00955***		0.623***		0.230***		0.00615***		0.00480***		0.595***		0.207***		0.00278**		0.00275***		0.591***		0.200***		-0.00112		-0.000446		0.567***		0.181***
	(0.0386)		(0.0238)		(0.00235)		(0.00211)		(0.0167)		(0.00940)		(0.00141)		(0.00121)		(0.0122)		(0.00710)		(0.00120)		(0.00102)		(0.00882)		(0.00501)		(0.000980)		(0.000817)		(0.00792)		(0.00427)
educf_7_10	0.911***		0.351***		0.0139***		0.0122***		0.813***		0.316***		0.00855***		0.00700***		0.793***		0.293***		0.00456***		0.00449***		0.788***		0.283***		-0.000474		0.000154		0.751***		0.251***
	(0.0493)		(0.0309)		(0.00300)		(0.00269)		(0.0213)		(0.0121)		(0.00179)		(0.00153)		(0.0155)		(0.00915)		(0.00151)		(0.00128)		(0.0108)		(0.00625)		(0.00119)		(0.000995)		(0.00932)		(0.00516)
educf_11plus	1.130***		0.406***		0.0232***		0.0199***		0.979***		0.354***		0.0159***		0.0122***		0.913***		0.318***		0.0107***		0.00896***		0.930***		0.326***		0.00247		0.00181		0.915***		0.299***
	(0.0749)		(0.0473)		(0.00454)		(0.00407)		(0.0319)		(0.0186)		(0.00266)		(0.00228)		(0.0229)		(0.0138)		(0.00222)		(0.00189)		(0.0165)		(0.00977)		(0.00181)		(0.00151)		(0.0158)		(0.00878)
Constant	-5.015***	-4.633***	-1.305***	-1.185***	0.826***	0.817***	0.643***	0.634***	-3.695***	-2.420***	-0.990***	-0.622**	0.137***	0.139***	0.0999***	0.103***	-3.222***	-1.666***	-0.642	-0.251	0.135**	0.128*	0.0966*	0.0929	-3.149***	-1.709***	-0.450	0.00239	0.134*	0.123	0.104	0.0977	-3.110***	-1.606*	-0.413
	(0.479)	(0.554)	(0.343)	(0.387)	(0.0480)	(0.0492)	(0.0430)	(0.0439)	(0.342)	(0.346)	(0.292)	(0.302)	(0.0423)	(0.0414)	(0.0363)	(0.0355)	(0.540)	(0.562)	(0.399)	(0.413)	(0.0679)	(0.0673)	(0.0577)	(0.0572)	(0.541)	(0.564)	(0.397)	(0.410)	(0.0769)	(0.0765)	(0.0642)	(0.0638)	(0.929)	(0.969)	(0.388)
																																			
Observations	89,051	89,051	64,177	64,177	91,295	91,295	91,295	91,295	196,518	196,518	133,276	133,276	208,076	208,076	208,076	208,076	274,324	274,324	181,197	181,197	294,562	294,562	294,562	294,562	280,053	280,053	185,961	185,961	298,961	298,961	298,961	298,961	262,911	262,911	174,095
R-squared	0.113	-0.329	0.335	0.091	-0.023	-0.118	-0.042	-0.128	0.159	0.044	0.376	0.311	-0.032	-0.036	-0.025	-0.028	0.148	0.056	0.380	0.331	-0.001	-0.000	-0.004	-0.003	0.141	0.056	0.367	0.322	0.016	0.016	0.011	0.011	0.144	0.065	0.367
Standard errors in parentheses																																			
*** p<0.01, ** p<0.05, * p<0.1																																			
