	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																								
agefirstbirth	-0.00172	0.0100***	0.00202	0.00737***	0.000848***	0.000837***	0.000798***	0.000795***	0.000450	0.0133***	0.000568	0.00604***	0.000979***	0.000980***	0.000828***	0.000830***	-0.00601***	0.00232*	-0.000643	0.00353***	0.00145***	0.00150***	0.00114***	0.00119***	-0.00546***	-0.00148	-0.00203**	-0.000371	0.00206***	0.00208***	0.00160***	0.00161***	-0.0116***	-0.0106***	-0.00406***	-0.00375***	0.00224***	0.00225***	0.00162***	0.00164***	-0.0132***	-0.0119***	-0.00458***	-0.00415***	0.00199***	0.00204***	0.00153***	0.00155***	-0.00819***	-0.00616***	-0.00409***	-0.00337***	0.00220***	0.00223***	0.00170***	0.00173***
	(0.00190)	(0.00194)	(0.00124)	(0.00127)	(9.65e-05)	(9.50e-05)	(9.38e-05)	(9.24e-05)	(0.00139)	(0.00137)	(0.000832)	(0.000836)	(7.50e-05)	(7.39e-05)	(6.69e-05)	(6.56e-05)	(0.00123)	(0.00126)	(0.000765)	(0.000784)	(9.65e-05)	(9.47e-05)	(8.56e-05)	(8.44e-05)	(0.00128)	(0.00133)	(0.000794)	(0.000814)	(0.000124)	(0.000125)	(0.000108)	(0.000109)	(0.00132)	(0.00136)	(0.000790)	(0.000804)	(0.000154)	(0.000151)	(0.000127)	(0.000125)	(0.00145)	(0.00148)	(0.000813)	(0.000823)	(0.000190)	(0.000187)	(0.000161)	(0.000159)	(0.00163)	(0.00165)	(0.000882)	(0.000881)	(0.000225)	(0.000218)	(0.000192)	(0.000187)
height	0.00450***		0.00149***		-5.84e-05**		-7.09e-05***		0.00469***		0.00264***		-8.51e-05***		-6.77e-05***		0.00621***		0.00191***		-0.000179***		-0.000139***		0.00554***		0.00204***		-0.000110**		-4.85e-05		0.00517***		0.00194***		-7.31e-05		-3.78e-05		0.00531***		0.00149***		-0.000195**		-0.000163**		0.00273***		0.00112***		-0.000162*		-7.98e-05	
	(0.000658)		(0.000397)		(2.40e-05)		(2.32e-05)		(0.000512)		(0.000311)		(2.75e-05)		(2.48e-05)		(0.000486)		(0.000310)		(3.84e-05)		(3.45e-05)		(0.000524)		(0.000328)		(5.11e-05)		(4.42e-05)		(0.000553)		(0.000325)		(6.25e-05)		(5.39e-05)		(0.000603)		(0.000345)		(7.69e-05)		(6.48e-05)		(0.000691)		(0.000372)		(9.31e-05)		(7.95e-05)	
bmi	0.00816***		0.00413***		-5.53e-05**		-3.54e-05		0.0117***		0.00444***		4.27e-05		3.54e-05		0.0163***		0.00674***		-8.62e-05*		-5.17e-05		0.0203***		0.00832***		-5.02e-05		6.71e-05		0.0225***		0.00962***		-0.000142		-0.000108		0.0223***		0.00804***		-0.000205*		-3.46e-05		0.0250***		0.00981***		-0.000372***		-0.000306**	
	(0.000890)		(0.000517)		(2.74e-05)		(2.55e-05)		(0.000711)		(0.000389)		(3.78e-05)		(3.49e-05)		(0.000671)		(0.000391)		(5.21e-05)		(4.72e-05)		(0.000751)		(0.000433)		(6.92e-05)		(6.10e-05)		(0.000795)		(0.000462)		(9.49e-05)		(8.23e-05)		(0.000901)		(0.000509)		(0.000105)		(9.06e-05)		(0.00103)		(0.000563)		(0.000137)		(0.000119)	
educf_1_4	0.197***		0.110***		-0.00224***		-0.00166***		0.178***		0.0878***		-0.00186***		-0.00140**		0.292***		0.124***		-0.00112		-0.000774		0.275***		0.0979***		-0.00114		-0.000860		0.301***		0.109***		-0.00362***		-0.00199**		0.315***		0.102***		-0.00306**		-0.00113		0.264***		0.0751***		-0.00116		-0.000163	
	(0.0177)		(0.0124)		(0.000639)		(0.000599)		(0.0106)		(0.00754)		(0.000616)		(0.000567)		(0.00915)		(0.00620)		(0.000754)		(0.000647)		(0.00958)		(0.00613)		(0.000940)		(0.000780)		(0.00932)		(0.00578)		(0.00102)		(0.000893)		(0.0103)		(0.00594)		(0.00128)		(0.00115)		(0.0119)		(0.00647)		(0.00157)		(0.00137)	
educf_5_6	0.354***		0.176***		-0.00258***		-0.00200***		0.373***		0.168***		-0.00131**		-0.000879		0.475***		0.203***		-0.00241***		-0.00140**		0.498***		0.191***		-0.00381***		-0.00248***		0.546***		0.193***		-0.00337***		-0.00242***		0.521***		0.179***		-0.00435***		-0.00241**		0.513***		0.178***		-0.00104		-0.000309	
	(0.0163)		(0.0106)		(0.000603)		(0.000556)		(0.00990)		(0.00666)		(0.000637)		(0.000577)		(0.00918)		(0.00586)		(0.000723)		(0.000655)		(0.0100)		(0.00629)		(0.000864)		(0.000765)		(0.0107)		(0.00655)		(0.00115)		(0.000929)		(0.0122)		(0.00722)		(0.00139)		(0.00121)		(0.0139)		(0.00786)		(0.00187)		(0.00163)	
educf_7_10	0.457***		0.228***		-0.00289***		-0.00223***		0.501***		0.219***		-0.00228***		-0.00172***		0.652***		0.274***		-0.00237***		-0.00100		0.700***		0.274***		-0.00316***		-0.00200**		0.725***		0.273***		-0.00288**		-0.000945		0.739***		0.268***		-0.00527***		-0.00323**		0.684***		0.242***		-0.00222		-0.000683	
	(0.0140)		(0.00894)		(0.000571)		(0.000528)		(0.00900)		(0.00564)		(0.000556)		(0.000506)		(0.00902)		(0.00539)		(0.000723)		(0.000668)		(0.0104)		(0.00604)		(0.000954)		(0.000843)		(0.0113)		(0.00641)		(0.00123)		(0.00109)		(0.0135)		(0.00748)		(0.00149)		(0.00128)		(0.0153)		(0.00879)		(0.00195)		(0.00172)	
educf_11plus	0.575***		0.255***		-0.00270***		-0.00204***		0.680***		0.255***		-0.00143***		-0.00124***		0.792***		0.308***		-0.000583		0.000276		0.840***		0.329***		-0.00200*		-0.00105		0.919***		0.336***		-0.00112		0.00107		0.923***		0.349***		-0.00696***		-0.00336*		0.953***		0.341***		0.00361		0.00136	
	(0.0142)		(0.00906)		(0.000523)		(0.000479)		(0.0103)		(0.00605)		(0.000530)		(0.000476)		(0.0104)		(0.00591)		(0.000742)		(0.000680)		(0.0136)		(0.00713)		(0.00120)		(0.00109)		(0.0168)		(0.00875)		(0.00231)		(0.00222)		(0.0208)		(0.0107)		(0.00214)		(0.00197)		(0.0287)		(0.0139)		(0.00364)		(0.00296)	
Constant	-0.907***	-0.890**	-0.712***	-1.051***	0.0322***	0.0165***	0.0315***	0.0149***	-1.768***	-1.862***	-0.840***	-0.907***	0.0630***	0.0373***	0.0534***	0.0310***	-3.933***	-2.666***	-1.970***	-1.519***	0.0991***	0.0659***	0.0762***	0.0498***	-4.485***	-4.518***	-0.561***	-1.281***	0.0958***	0.0634***	0.0545***	0.0367***	-3.523***	-2.925***	-1.157***	-0.988***	0.177***	0.163***	0.133***	0.125***	-4.433***	-2.030***	-1.087***	-0.624***	0.171***	0.113***	0.130***	0.0860***	-3.384***	-2.362***	-0.623***	-0.168	0.238***	0.205***	0.188***	0.169***
	(0.182)	(0.405)	(0.191)	(0.334)	(0.00571)	(0.00432)	(0.00557)	(0.00418)	(0.539)	(0.112)	(0.132)	(0.123)	(0.00785)	(0.00596)	(0.00712)	(0.00556)	(0.148)	(0.491)	(0.124)	(0.262)	(0.0177)	(0.0136)	(0.0148)	(0.0116)	(0.359)	(0.137)	(0.120)	(0.108)	(0.0167)	(0.0124)	(0.0136)	(0.0104)	(0.263)	(0.238)	(0.133)	(0.158)	(0.0227)	(0.0199)	(0.0199)	(0.0178)	(0.355)	(0.311)	(0.145)	(0.179)	(0.0291)	(0.0274)	(0.0253)	(0.0236)	(0.389)	(0.364)	(0.180)	(0.195)	(0.0436)	(0.0408)	(0.0381)	(0.0357)
																																																								
Observations	69,874	70,493	30,552	30,834	147,059	148,097	147,059	148,097	124,844	126,279	60,865	61,543	200,121	202,225	200,121	202,225	142,827	145,087	70,892	72,101	210,712	213,803	210,712	213,803	124,763	127,369	64,072	65,501	176,067	179,599	176,067	179,599	113,160	116,150	61,142	62,878	155,768	159,677	155,768	159,677	89,009	91,697	50,522	52,143	119,921	123,380	119,921	123,380	71,065	73,698	41,662	43,260	94,208	97,502	94,208	97,502
R-squared	0.133	0.085	0.307	0.258	0.013	0.012	0.010	0.009	0.132	0.068	0.290	0.245	0.011	0.011	0.009	0.009	0.140	0.057	0.327	0.271	0.017	0.017	0.013	0.013	0.135	0.053	0.351	0.300	0.022	0.021	0.015	0.015	0.139	0.055	0.366	0.318	0.028	0.028	0.019	0.019	0.130	0.052	0.360	0.317	0.030	0.029	0.021	0.021	0.128	0.060	0.339	0.300	0.033	0.032	0.023	0.022
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
