	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
agefirstbirth	-0.0640***	-0.0647***	-0.0505***	-0.0132***	-0.0133***	-0.00791***	0.0680***	0.0680***	0.0681***	0.0441***	0.0441***	0.0441***	-0.103***	-0.102***	-0.114***	-0.00416***	-0.00561***	0.0113***	0.00113**	0.000589	0.00693***	0.00844***	0.00844***	0.00844***	0.00535***	0.00535***	0.00535***	-0.0761***	-0.0748***	-0.0891***	-0.000201	-0.00194**	0.0105***	0.00141***	0.000741*	0.00531***	0.00527***	0.00528***	0.00527***	0.00343***	0.00344***	0.00344***	-0.0864***	-0.0853***	-0.0948***	-0.000564	-0.00229***	0.00649***	0.000338	-0.000334	0.00277***	0.00434***	0.00435***	0.00432***	0.00292***	0.00292***	0.00291***	-0.0915***	-0.0909***	-0.0964***	-0.00316***	-0.00486***	0.00164*	-0.000850**	-0.00152***	0.000700*	0.00398***	0.00399***	0.00396***	0.00258***	0.00258***	0.00258***	-0.0909***	-0.0908***	-0.0942***	-0.00425***	-0.00585***	-0.000178	-0.00194***	-0.00254***	-0.000630	0.00375***	0.00376***	0.00372***	0.00256***	0.00257***	0.00256***	-0.0810***	-0.0813***	-0.0840***
	(0.00318)	(0.00318)	(0.00336)	(0.00160)	(0.00160)	(0.00167)	(0.00105)	(0.00105)	(0.00105)	(0.00107)	(0.00107)	(0.00107)	(0.00354)	(0.00354)	(0.00363)	(0.00107)	(0.00108)	(0.00113)	(0.000567)	(0.000569)	(0.000591)	(0.000180)	(0.000180)	(0.000179)	(0.000141)	(0.000141)	(0.000141)	(0.00116)	(0.00116)	(0.00118)	(0.000809)	(0.000814)	(0.000862)	(0.000422)	(0.000424)	(0.000441)	(0.000117)	(0.000117)	(0.000116)	(9.27e-05)	(9.27e-05)	(9.23e-05)	(0.000959)	(0.000959)	(0.000972)	(0.000770)	(0.000774)	(0.000815)	(0.000375)	(0.000377)	(0.000390)	(0.000120)	(0.000120)	(0.000119)	(9.39e-05)	(9.39e-05)	(9.33e-05)	(0.000926)	(0.000925)	(0.000932)	(0.000802)	(0.000806)	(0.000842)	(0.000371)	(0.000373)	(0.000383)	(0.000133)	(0.000133)	(0.000132)	(0.000103)	(0.000103)	(0.000103)	(0.000938)	(0.000938)	(0.000943)	(0.000895)	(0.000899)	(0.000928)	(0.000396)	(0.000398)	(0.000405)	(0.000163)	(0.000163)	(0.000162)	(0.000129)	(0.000129)	(0.000128)	(0.00102)	(0.00102)	(0.00103)
educf	0.126***	0.133***		0.0460***	0.0489***		-0.000352***	-0.000385***		-0.000176***	-0.000207***		-0.0760***	-0.0821***		0.130***	0.137***		0.0444***	0.0472***		-0.000759***	-0.000782***		-0.000463***	-0.000483***		-0.0718***	-0.0777***		0.136***	0.143***		0.0407***	0.0436***		-0.000886***	-0.000944***		-0.000427***	-0.000472***		-0.0610***	-0.0657***		0.131***	0.138***		0.0351***	0.0377***		-0.000954***	-0.000984***		-0.000468***	-0.000486***		-0.0474***	-0.0500***		0.127***	0.133***		0.0310***	0.0332***		-0.00113***	-0.00118***		-0.000682***	-0.000722***		-0.0376***	-0.0384***		0.119***	0.125***		0.0258***	0.0278***		-0.00115***	-0.00123***		-0.000758***	-0.000820***		-0.0309***	-0.0300***	
	(0.00137)	(0.00136)		(0.000791)	(0.000784)		(9.20e-05)	(9.13e-05)		(6.37e-05)	(6.31e-05)		(0.00143)	(0.00142)		(0.00119)	(0.00119)		(0.000657)	(0.000653)		(9.97e-05)	(9.91e-05)		(7.53e-05)	(7.45e-05)		(0.00129)	(0.00128)		(0.00124)	(0.00124)		(0.000672)	(0.000669)		(0.000125)	(0.000124)		(9.77e-05)	(9.68e-05)		(0.00142)	(0.00141)		(0.00139)	(0.00139)		(0.000715)	(0.000715)		(0.000158)	(0.000157)		(0.000126)	(0.000125)		(0.00159)	(0.00159)		(0.00161)	(0.00161)		(0.000816)	(0.000817)		(0.000201)	(0.000201)		(0.000158)	(0.000158)		(0.00184)	(0.00184)		(0.00192)	(0.00193)		(0.000950)	(0.000952)		(0.000263)	(0.000263)		(0.000212)	(0.000212)		(0.00214)	(0.00214)	
educfyrs_sq	-0.00420***	-0.00437***		-0.00151***	-0.00159***		3.69e-05***	3.67e-05***		2.26e-05***	2.24e-05***		0.00108***	0.00122***		-0.00413***	-0.00430***		-0.00135***	-0.00142***		5.28e-05***	5.26e-05***		3.49e-05***	3.48e-05***		0.000739***	0.000862***		-0.00435***	-0.00448***		-0.00107***	-0.00113***		5.90e-05***	5.91e-05***		3.33e-05***	3.34e-05***		0.000116	0.000190*		-0.00382***	-0.00388***		-0.000683***	-0.000724***		5.13e-05***	5.07e-05***		2.80e-05***	2.76e-05***		-0.000378***	-0.000361***		-0.00345***	-0.00348***		-0.000451***	-0.000471***		6.20e-05***	6.15e-05***		4.66e-05***	4.64e-05***		-0.000621***	-0.000625***		-0.00299***	-0.00300***		-0.000118	-0.000126		5.51e-05**	5.38e-05**		4.63e-05**	4.56e-05**		-0.000810***	-0.000823***	
	(9.50e-05)	(9.51e-05)		(5.39e-05)	(5.39e-05)		(5.76e-06)	(5.77e-06)		(4.08e-06)	(4.06e-06)		(9.72e-05)	(9.69e-05)		(9.00e-05)	(9.01e-05)		(4.85e-05)	(4.86e-05)		(6.40e-06)	(6.40e-06)		(4.86e-06)	(4.84e-06)		(9.26e-05)	(9.24e-05)		(0.000101)	(0.000100)		(5.45e-05)	(5.46e-05)		(8.97e-06)	(8.96e-06)		(7.00e-06)	(6.99e-06)		(0.000111)	(0.000111)		(0.000121)	(0.000121)		(6.40e-05)	(6.41e-05)		(1.23e-05)	(1.23e-05)		(9.89e-06)	(9.88e-06)		(0.000133)	(0.000133)		(0.000149)	(0.000149)		(7.90e-05)	(7.93e-05)		(1.68e-05)	(1.68e-05)		(1.37e-05)	(1.37e-05)		(0.000168)	(0.000168)		(0.000189)	(0.000190)		(9.82e-05)	(9.86e-05)		(2.37e-05)	(2.37e-05)		(1.98e-05)	(1.98e-05)		(0.000207)	(0.000207)	
height	0.00478***			0.00176***			-0.000119***			-0.000107***			-0.00336***			0.00504***			0.00161***			-0.000104***			-7.92e-05***			-0.00358***			0.00515***			0.00144***			-0.000147***			-0.000122***			-0.00283***			0.00490***			0.00151***			-0.000139***			-9.25e-05***			-0.00234***			0.00438***			0.00133***			-0.000129***			-8.18e-05**			-0.00145***			0.00407***			0.00126***			-0.000248***			-0.000162***			-0.00114***		
	(0.000342)			(0.000193)			(2.67e-05)			(1.99e-05)			(0.000362)			(0.000279)			(0.000154)			(2.91e-05)			(2.22e-05)			(0.000314)			(0.000273)			(0.000144)			(3.42e-05)			(2.64e-05)			(0.000322)			(0.000287)			(0.000142)			(4.40e-05)			(3.12e-05)			(0.000340)			(0.000317)			(0.000148)			(4.98e-05)			(3.84e-05)			(0.000372)			(0.000359)			(0.000162)			(6.04e-05)			(4.73e-05)			(0.000408)		
bmi	0.0178***			0.00676***			-5.28e-05*			-5.37e-05**			-0.0187***			0.0207***			0.00714***			-3.01e-05			-2.88e-05			-0.0184***			0.0224***			0.00782***			-0.000119***			-9.03e-05***			-0.0150***			0.0233***			0.00798***			-3.90e-05			-1.82e-05			-0.00880***			0.0230***			0.00776***			-0.000153**			-0.000118**			-0.00222***			0.0229***			0.00743***			-0.000248***			-0.000182***			0.00418***		
	(0.000498)			(0.000280)			(3.11e-05)			(2.41e-05)			(0.000561)			(0.000418)			(0.000225)			(3.48e-05)			(2.71e-05)			(0.000492)			(0.000416)			(0.000219)			(4.13e-05)			(3.26e-05)			(0.000507)			(0.000447)			(0.000226)			(6.03e-05)			(4.20e-05)			(0.000546)			(0.000497)			(0.000243)			(6.60e-05)			(5.12e-05)			(0.000585)			(0.000568)			(0.000267)			(7.89e-05)			(6.21e-05)			(0.000641)		
