	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
agefirstbirth	-0.0657***	-0.0657***	-0.0550***	-0.00996***	-0.00987***	-0.00588*	0.0387***	0.0387***	0.0388***	0.0305***	0.0305***	0.0305***	-0.0843***	-0.0844***	-0.0973***	0.00338**	0.00218	0.0224***	0.00202**	0.00147	0.00883***	0.00520***	0.00521***	0.00518***	0.00377***	0.00377***	0.00375***	-0.0682***	-0.0667***	-0.0895***	0.00559***	0.00390***	0.0187***	0.00230***	0.00159**	0.00700***	0.00364***	0.00365***	0.00363***	0.00263***	0.00264***	0.00265***	-0.0791***	-0.0776***	-0.0915***	0.00272**	0.000907	0.0113***	0.000651	-9.32e-05	0.00368***	0.00322***	0.00323***	0.00321***	0.00234***	0.00234***	0.00234***	-0.0863***	-0.0853***	-0.0935***	-0.00117	-0.00293***	0.00462***	-0.00101*	-0.00172***	0.000951*	0.00313***	0.00314***	0.00312***	0.00221***	0.00221***	0.00221***	-0.0873***	-0.0870***	-0.0919***	-0.00241**	-0.00403***	0.00258**	-0.00236***	-0.00300***	-0.000680	0.00287***	0.00288***	0.00286***	0.00213***	0.00214***	0.00213***	-0.0809***	-0.0811***	-0.0848***
	(0.00698)	(0.00698)	(0.00741)	(0.00334)	(0.00335)	(0.00353)	(0.00220)	(0.00220)	(0.00220)	(0.00210)	(0.00210)	(0.00210)	(0.00824)	(0.00826)	(0.00868)	(0.00163)	(0.00164)	(0.00173)	(0.000895)	(0.000898)	(0.000932)	(0.000226)	(0.000226)	(0.000225)	(0.000188)	(0.000188)	(0.000187)	(0.00200)	(0.00200)	(0.00206)	(0.00120)	(0.00120)	(0.00127)	(0.000625)	(0.000628)	(0.000651)	(0.000145)	(0.000145)	(0.000144)	(0.000120)	(0.000120)	(0.000120)	(0.00147)	(0.00147)	(0.00149)	(0.00107)	(0.00108)	(0.00113)	(0.000535)	(0.000538)	(0.000555)	(0.000144)	(0.000144)	(0.000143)	(0.000117)	(0.000117)	(0.000117)	(0.00131)	(0.00131)	(0.00133)	(0.00108)	(0.00109)	(0.00114)	(0.000521)	(0.000523)	(0.000537)	(0.000161)	(0.000161)	(0.000160)	(0.000130)	(0.000130)	(0.000129)	(0.00128)	(0.00128)	(0.00129)	(0.00117)	(0.00117)	(0.00121)	(0.000534)	(0.000537)	(0.000545)	(0.000186)	(0.000186)	(0.000184)	(0.000153)	(0.000153)	(0.000152)	(0.00135)	(0.00135)	(0.00136)
educf	0.135***	0.141***		0.0511***	0.0536***		-0.000194	-0.000239*		-6.29e-05	-0.000105		-0.107***	-0.114***		0.134***	0.141***		0.0501***	0.0527***		-0.000615***	-0.000652***		-0.000447***	-0.000472***		-0.105***	-0.111***		0.137***	0.143***		0.0466***	0.0492***		-0.000690***	-0.000745***		-0.000349**	-0.000386***		-0.0842***	-0.0893***		0.134***	0.141***		0.0407***	0.0432***		-0.000732***	-0.000774***		-0.000459***	-0.000477***		-0.0703***	-0.0737***		0.127***	0.133***		0.0356***	0.0377***		-0.000984***	-0.00101***		-0.000562***	-0.000585***		-0.0569***	-0.0582***		0.116***	0.122***		0.0271***	0.0290***		-0.000880***	-0.000931***		-0.000555**	-0.000594**		-0.0461***	-0.0461***	
	(0.00245)	(0.00245)		(0.00134)	(0.00133)		(0.000144)	(0.000143)		(0.000130)	(0.000130)		(0.00309)	(0.00308)		(0.00175)	(0.00174)		(0.000965)	(0.000959)		(0.000149)	(0.000148)		(0.000127)	(0.000126)		(0.00214)	(0.00213)		(0.00172)	(0.00172)		(0.000922)	(0.000917)		(0.000169)	(0.000168)		(0.000145)	(0.000144)		(0.00210)	(0.00209)		(0.00180)	(0.00181)		(0.000937)	(0.000937)		(0.000200)	(0.000200)		(0.000167)	(0.000166)		(0.00218)	(0.00218)		(0.00200)	(0.00200)		(0.00104)	(0.00104)		(0.000254)	(0.000253)		(0.000207)	(0.000207)		(0.00242)	(0.00242)		(0.00230)	(0.00230)		(0.00115)	(0.00115)		(0.000318)	(0.000318)		(0.000264)	(0.000264)		(0.00268)	(0.00269)	
educfyrs_sq	-0.00480***	-0.00492***		-0.00187***	-0.00193***		2.39e-05**	2.44e-05**		1.20e-05	1.23e-05		0.00189***	0.00203***		-0.00473***	-0.00487***		-0.00178***	-0.00185***		3.95e-05***	3.95e-05***		2.92e-05***	2.93e-05***		0.00195***	0.00209***		-0.00473***	-0.00484***		-0.00152***	-0.00158***		4.61e-05***	4.61e-05***		2.99e-05***	2.97e-05***		0.00104***	0.00113***		-0.00434***	-0.00443***		-0.00111***	-0.00117***		4.49e-05***	4.46e-05***		3.52e-05***	3.48e-05***		0.000609***	0.000649***		-0.00375***	-0.00380***		-0.000819***	-0.000851***		6.17e-05***	6.14e-05***		4.55e-05**	4.55e-05**		0.000243	0.000246		-0.00304***	-0.00309***		-0.000253**	-0.000285**		4.81e-05	4.78e-05		3.95e-05	3.93e-05		-5.95e-05	-8.07e-05	
	(0.000180)	(0.000180)		(9.91e-05)	(9.91e-05)		(9.65e-06)	(9.66e-06)		(8.28e-06)	(8.29e-06)		(0.000223)	(0.000223)		(0.000132)	(0.000132)		(7.29e-05)	(7.30e-05)		(9.89e-06)	(9.87e-06)		(8.37e-06)	(8.37e-06)		(0.000158)	(0.000157)		(0.000139)	(0.000138)		(7.45e-05)	(7.43e-05)		(1.16e-05)	(1.16e-05)		(1.00e-05)	(9.98e-06)		(0.000166)	(0.000166)		(0.000152)	(0.000152)		(8.13e-05)	(8.14e-05)		(1.51e-05)	(1.51e-05)		(1.28e-05)	(1.28e-05)		(0.000181)	(0.000181)		(0.000177)	(0.000177)		(9.70e-05)	(9.69e-05)		(2.17e-05)	(2.17e-05)		(1.82e-05)	(1.82e-05)		(0.000217)	(0.000217)		(0.000216)	(0.000217)		(0.000114)	(0.000114)		(2.94e-05)	(2.95e-05)		(2.52e-05)	(2.52e-05)		(0.000255)	(0.000255)	
height	0.00582***			0.00184***			-9.48e-05**			-9.70e-05***			-0.00635***			0.00520***			0.00151***			-0.000119***			-7.33e-05**			-0.00542***			0.00487***			0.00115***			-0.000168***			-0.000131***			-0.00410***			0.00474***			0.00128***			-0.000142***			-8.75e-05**			-0.00370***			0.00424***			0.00121***			-8.58e-05			-4.94e-05			-0.00193***			0.00407***			0.00113***			-0.000137**			-0.000112**			-0.00304***		
	(0.000629)			(0.000336)			(3.73e-05)			(3.21e-05)			(0.000796)			(0.000444)			(0.000239)			(3.84e-05)			(3.15e-05)			(0.000550)			(0.000404)			(0.000212)			(4.27e-05)			(3.50e-05)			(0.000510)			(0.000400)			(0.000201)			(4.92e-05)			(3.92e-05)			(0.000490)			(0.000432)			(0.000206)			(5.93e-05)			(4.70e-05)			(0.000521)			(0.000469)			(0.000217)			(6.88e-05)			(5.48e-05)			(0.000550)		
bmi	0.0165***			0.00689***			-0.000110**			-0.000103***			-0.0195***			0.0177***			0.00698***			-7.31e-05			-5.62e-05			-0.0205***			0.0195***			0.00757***			-0.000120**			-7.34e-05			-0.0168***			0.0208***			0.00786***			-8.82e-05			-2.22e-05			-0.0113***			0.0204***			0.00747***			-6.04e-05			-6.93e-05			-0.00425***			0.0210***			0.00729***			-0.000150			-0.000107			0.00199**		
	(0.000877)			(0.000467)			(4.40e-05)			(3.93e-05)			(0.00116)			(0.000622)			(0.000327)			(4.86e-05)			(4.16e-05)			(0.000808)			(0.000580)			(0.000299)			(5.23e-05)			(4.50e-05)			(0.000740)			(0.000580)			(0.000295)			(6.24e-05)			(5.12e-05)			(0.000732)			(0.000624)			(0.000311)			(7.79e-05)			(6.14e-05)			(0.000756)			(0.000688)			(0.000331)			(9.29e-05)			(7.48e-05)			(0.000792)		
