	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	noeduc	noeduc	noeduc	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
educf	0.125***	0.132***		-0.0342***	-0.0355***		-0.000329***	-0.000364***		-0.000174***	-0.000202***		-0.0747***	-0.0808***		0.135***	0.142***		-0.0404***	-0.0421***		-0.000863***	-0.000924***		-0.000408***	-0.000448***		-0.0605***	-0.0652***		0.126***	0.132***		-0.0434***	-0.0451***		-0.000913***	-0.000964***		-0.000536***	-0.000573***		-0.0389***	-0.0396***	
	(0.00142)	(0.00142)		(0.000463)	(0.000463)		(9.33e-05)	(9.26e-05)		(6.29e-05)	(6.23e-05)		(0.00146)	(0.00145)		(0.00133)	(0.00133)		(0.000430)	(0.000428)		(0.000130)	(0.000129)		(0.000102)	(0.000101)		(0.00149)	(0.00149)		(0.00177)	(0.00177)		(0.000591)	(0.000589)		(0.000218)	(0.000217)		(0.000172)	(0.000171)		(0.00199)	(0.00199)	
educfyrs_sq	-0.00412***	-0.00428***		0.00167***	0.00170***		3.37e-05***	3.35e-05***		2.09e-05***	2.06e-05***		0.00107***	0.00121***		-0.00428***	-0.00439***		0.00208***	0.00211***		5.94e-05***	5.92e-05***		3.32e-05***	3.30e-05***		0.000102	0.000165		-0.00346***	-0.00348***		0.00236***	0.00236***		5.45e-05***	5.40e-05***		4.34e-05***	4.31e-05***		-0.000574***	-0.000582***	
	(9.83e-05)	(9.83e-05)		(2.79e-05)	(2.79e-05)		(5.74e-06)	(5.74e-06)		(3.97e-06)	(3.96e-06)		(9.90e-05)	(9.87e-05)		(0.000108)	(0.000107)		(2.96e-05)	(2.96e-05)		(9.36e-06)	(9.35e-06)		(7.37e-06)	(7.35e-06)		(0.000117)	(0.000117)		(0.000164)	(0.000164)		(4.68e-05)	(4.66e-05)		(1.86e-05)	(1.86e-05)		(1.52e-05)	(1.52e-05)		(0.000180)	(0.000180)	
height	0.00504***			-0.00101***			-0.000120***			-0.000109***			-0.00399***			0.00531***			-0.00114***			-0.000192***			-0.000126***			-0.00355***			0.00440***			-0.00122***			-0.000130**			-7.00e-05*			-0.00194***		
	(0.000359)			(0.000125)			(2.67e-05)			(1.95e-05)			(0.000371)			(0.000296)			(0.000114)			(3.46e-05)			(2.64e-05)			(0.000342)			(0.000353)			(0.000146)			(5.26e-05)			(3.99e-05)			(0.000411)		
bmi	0.0175***			-0.00338***			-5.78e-05*			-4.62e-05*			-0.0188***			0.0220***			-0.00510***			-0.000117***			-7.71e-05**			-0.0152***			0.0225***			-0.00614***			-0.000143**			-0.000121**			-0.00202***		
	(0.000519)			(0.000149)			(3.11e-05)			(2.43e-05)			(0.000576)			(0.000446)			(0.000141)			(4.23e-05)			(3.30e-05)			(0.000536)			(0.000548)			(0.000193)			(6.94e-05)			(5.22e-05)			(0.000639)		
twin_four_fam																0.00979	0.0125	0.0527*	-0.00188	-0.00250	-0.00871	-0.00282	-0.00291	-0.00295*	-0.00238*	-0.00245*	-0.00244*	0.930***	0.928***	0.898***															
																(0.0256)	(0.0256)	(0.0274)	(0.00817)	(0.00818)	(0.00842)	(0.00179)	(0.00179)	(0.00179)	(0.00132)	(0.00132)	(0.00133)	(0.0345)	(0.0345)	(0.0353)															
twin_six_fam																															0.0775***	0.0784***	0.105***	-0.0276***	-0.0279***	-0.0351***	0.00354	0.00349	0.00336	0.00357	0.00355	0.00349	0.882***	0.881***	0.872***
																															(0.0210)	(0.0211)	(0.0225)	(0.00812)	(0.00812)	(0.00835)	(0.00306)	(0.00306)	(0.00306)	(0.00250)	(0.00250)	(0.00250)	(0.0246)	(0.0246)	(0.0248)
Constant	-5.605***	-4.573***	-5.836***	1.824***	1.620***	1.855***	0.462***	0.443***	0.441***	0.109***	0.0919***	0.0905***	7.216***	6.333***	7.299***	-3.865***	-2.897***	-3.497***	0.994***	0.782***	0.893***	0.322***	0.295***	0.296***	0.169***	0.151***	0.151***	3.862***	3.214***	3.545***	-3.573***	-2.665***	-2.907***	1.467***	1.218***	1.256***	0.375***	0.356***	0.356***	0.222***	0.211***	0.211***	2.906***	2.633***	2.441***
	(0.0948)	(0.0767)	(0.0793)	(0.0363)	(0.0306)	(0.0309)	(0.0114)	(0.0102)	(0.0101)	(0.00574)	(0.00453)	(0.00445)	(0.296)	(0.275)	(0.135)	(0.0922)	(0.0829)	(0.0864)	(0.0352)	(0.0315)	(0.0321)	(0.0130)	(0.0119)	(0.0119)	(0.00928)	(0.00842)	(0.00840)	(0.203)	(0.238)	(0.129)	(0.391)	(0.386)	(0.383)	(0.287)	(0.285)	(0.284)	(0.0254)	(0.0241)	(0.0241)	(0.0200)	(0.0190)	(0.0190)	(0.149)	(0.137)	(0.136)
																																													
Observations	245,170	245,170	245,170	220,882	220,882	220,882	270,148	270,148	270,148	326,802	326,802	326,802	326,807	326,807	326,807	370,088	370,088	370,088	344,793	344,793	344,793	390,670	390,670	390,670	422,860	422,860	422,860	422,864	422,864	422,864	258,950	258,950	258,950	245,158	245,158	245,158	269,969	269,969	269,969	286,609	286,609	286,609	286,610	286,610	286,610
R-squared	0.159	0.153	0.048	0.256	0.254	0.218	0.294	0.294	0.294	0.182	0.182	0.182	0.471	0.469	0.437	0.147	0.138	0.034	0.251	0.248	0.214	0.052	0.051	0.051	0.028	0.028	0.028	0.331	0.329	0.305	0.134	0.125	0.045	0.259	0.255	0.228	0.042	0.042	0.042	0.023	0.022	0.022	0.239	0.238	0.228
Robust standard errors in parentheses																																													
*** p<0.01, ** p<0.05, * p<0.1																																													
