	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
yearc80	0.204	0.00109	-0.0699	-0.128***	-0.00286	0.0416	-0.0812	-0.179*	-0.190*	-0.151	-0.181*	-0.267***	0.0635	-0.181	-0.259**	-0.293**	0.0569	-0.159	-0.183
	(0.209)	(0.0476)	(0.0458)	(0.0448)	(0.105)	(0.108)	(0.0989)	(0.0959)	(0.102)	(0.106)	(0.101)	(0.0980)	(1,723)	(0.133)	(0.127)	(0.123)	(1,686)	(0.182)	(0.178)
yearc81	-0.112	-0.326***	-0.398***	-0.438***	-0.419***	-0.378***	-0.519***	-0.607***	-0.565***	-0.529***	-0.599***	-0.675***	-0.255	-0.497***	-0.573***	-0.596***	-0.198	-0.408**	-0.411**
	(0.209)	(0.0483)	(0.0466)	(0.0456)	(0.106)	(0.110)	(0.101)	(0.0978)	(0.104)	(0.107)	(0.103)	(0.0997)	(1,723)	(0.134)	(0.129)	(0.125)	(1,686)	(0.184)	(0.180)
cont_name1	-0.286***	-0.382***	-0.128***	-0.0389***		-0.436***	-0.143***	-0.0498***	-0.179***	-0.282***	-0.134***	-0.0295***	-0.153***	-0.314***	-0.234***	-0.148***	-0.261***	-0.292***	-0.100***
	(0.00247)	(0.00686)	(0.00427)	(0.00423)		(0.0312)	(0.0178)	(0.0175)	(0.00375)	(0.0183)	(0.0107)	(0.0108)	(0.00387)	(0.0103)	(0.0193)	(0.0175)	(0.00517)	(0.00757)	(0.00665)
cont_name2	-0.0770***	-0.0493***	0.179***	0.194***	0.209***	-0.0645***	0.156***	0.181***			0.175***	0.187***		-0.0920***			-0.118***	-0.0954***	0.108***
	(0.00265)	(0.00329)	(0.00844)	(0.00763)	(0.00445)	(0.00555)	(0.0184)	(0.0169)			(0.0169)	(0.0147)		(0.00588)			(0.00579)	(0.00717)	(0.0152)
educfyrs			0.0584***				0.0539***				0.0618***				0.0678***				0.0788***
			(0.00135)				(0.00322)				(0.00221)				(0.00163)				(0.00145)
yearc55	0.0732	-0.176**				0.0842			-0.249*	-0.173			-0.110	-0.330*			-0.0803	-0.235	
	(0.218)	(0.0814)				(0.155)			(0.140)	(0.145)			(1,723)	(0.177)			(1,686)	(0.225)	
yearc82	0.273				0.0690								0.248				0.206		
	(0.214)				(0.143)								(1,723)				(1,686)		
cont_name3					0.270***				0.0874***	0.0824***			0.108***		-0.131***	-0.156***			
					(0.00506)				(0.00460)	(0.00483)			(0.00504)		(0.0155)	(0.0136)			
borddummy2									0.0438***	-0.0324**	-0.0236	-0.00824	0.0379***	-0.0164	0.00152	0.0128	0.0410***	-0.0103	0.000607
									(0.00321)	(0.0136)	(0.0166)	(0.0160)	(0.00423)	(0.0104)	(0.0132)	(0.0127)	(0.00589)	(0.0110)	(0.0138)
borddummy3													0.0877***	-0.0297	0.00839	0.0320	0.0835***	-0.0231	-0.00180
													(0.00431)	(0.0210)	(0.0269)	(0.0258)	(0.00578)	(0.0200)	(0.0260)
borddummy4																	0.141***	-0.0285	-0.00386
																	(0.00594)	(0.0308)	(0.0404)
Constant	1.679***	1.494***	1.419***	1.859***	1.774***	1.198***	1.368***	1.600**	2.150***	1.402***	1.274***	1.850***	1.820	1.450***	1.765***	2.088***	1.856	1.197***	1.359***
	(0.209)	(0.0560)	(0.0725)	(0.567)	(0.103)	(0.199)	(0.259)	(0.776)	(0.102)	(0.167)	(0.219)	(0.583)	(1,723)	(0.183)	(0.203)	(0.602)	(1,686)	(0.239)	(0.262)
																			
Observations	844,224	844,224	519,083	512,160	179,950	179,950	117,467	115,731	276,334	276,334	183,370	181,366	287,220	287,220	193,699	191,786	257,518	257,518	175,535
R-squared	0.119	0.062	0.176	0.225	0.113	-0.009	0.183	0.238	0.101	0.040	0.167	0.225	0.083	0.046	0.160	0.216	0.073	0.040	0.147
Standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
