	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
				(0.565)				(0.749)				(0.556)				(0.583)			
educfyrs4				-0.366				-0.0955				-0.349				-0.185			
				(0.565)				(0.748)				(0.556)				(0.583)			
educfyrs5				-0.330				-0.0530				-0.311				-0.141			
				(0.565)				(0.748)				(0.556)				(0.582)			
educfyrs6				-0.262				-0.00564				-0.258				-0.0865			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs7				-0.305				-0.0606				-0.299				-0.125			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs8				-0.265				-0.0270				-0.264				-0.0773			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs9				-0.201				0.0591				-0.180				-0.0167			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs10				-0.224				0.0376				-0.195				-0.0414			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs11				-0.264				0.0114				-0.217				-0.0655			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs12				-0.167				0.0941				-0.153				-0.00327			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs13				-0.213				0.0603				-0.180				-0.0484			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs14				-0.245				0.0205				-0.218				-0.0602			
				(0.565)				(0.748)				(0.556)				(0.582)			
educfyrs15				-0.246				0.0389				-0.205				-0.0781			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs16				-0.364				-0.0723				-0.317				-0.193			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs17				-0.217				0.0469				-0.194				-0.0752			
				(0.564)				(0.748)				(0.556)				(0.582)			
educfyrs18				-0.230				0.0288				-0.215				-0.0926			
				(0.565)				(0.748)				(0.557)				(0.584)			
educfyrs19				-0.128				0.128				-0.109				0.0486			
				(0.565)				(0.749)				(0.557)				(0.585)			
educfyrs20				-0.303				0.0665				-0.261				-0.210			
				(0.568)				(0.754)				(0.564)				(0.597)			
educfyrs21				-0.120				0.142				-0.0856				-0.0165			
