	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
				(1.738)				(1.757)				(1.812)				(1.326)				(1.370)
educfyrs3				0.976				1.344				1.155				2.373*				-0.732
				(1.738)				(1.756)				(1.812)				(1.325)				(1.370)
educfyrs4				0.803				1.124				0.934				2.150				-0.916
				(1.737)				(1.756)				(1.811)				(1.325)				(1.370)
educfyrs5				0.732				1.040				0.852				2.082				-0.991
				(1.737)				(1.755)				(1.811)				(1.325)				(1.370)
educfyrs6				0.466				0.714				0.550				1.797				-1.293
				(1.737)				(1.755)				(1.810)				(1.324)				(1.369)
educfyrs7				0.448				0.728				0.517				1.732				-1.370
				(1.737)				(1.755)				(1.810)				(1.324)				(1.369)
educfyrs8				0.577				0.819				0.660				1.889				-1.200
				(1.737)				(1.755)				(1.810)				(1.324)				(1.369)
educfyrs9				0.321				0.558				0.384				1.621				-1.515
				(1.737)				(1.754)				(1.810)				(1.324)				(1.369)
educfyrs10				0.326				0.478				0.289				1.489				-1.585
				(1.737)				(1.754)				(1.810)				(1.323)				(1.369)
educfyrs11				0.216				0.429				0.215				1.362				-1.786
				(1.737)				(1.754)				(1.810)				(1.323)				(1.369)
educfyrs12				0.137				0.233				0.0693				1.322				-1.761
				(1.737)				(1.754)				(1.809)				(1.323)				(1.369)
educfyrs13				0.207				0.274				0.0863				1.342				-1.798
				(1.737)				(1.754)				(1.809)				(1.323)				(1.369)
educfyrs14				0.240				0.357				0.0832				1.302				-1.883
				(1.737)				(1.755)				(1.810)				(1.325)				(1.373)
educfyrs15				0.246				0.245				0.0750				1.287				-1.929
				(1.737)				(1.755)				(1.809)				(1.324)				(1.371)
educfyrs16				0.349				0.498				0.229				1.403				-1.743
				(1.737)				(1.755)				(1.810)				(1.325)				(1.373)
educfyrs17				0.172				0.193				0.0881				1.318				-1.915
				(1.737)				(1.755)				(1.809)				(1.323)				(1.372)
educfyrs18				0.0852				0.190				-0.121				1.136				-2.100
				(1.738)				(1.756)				(1.811)				(1.329)				(1.384)
educfyrs19				0.0851				0.186				-0.0148				0.965				-2.127
				(1.739)				(1.758)				(1.812)				(1.331)				(1.389)
educfyrs20				0.379				0.223				0.392				1.742				-1.377
				(1.743)				(1.771)				(1.824)				(1.359)				(1.499)
educfyrs21				0.0452				0.0124				-0.0586				0.987				
				(1.753)				(1.791)				(1.856)				(1.447)				
educfyrs22				0.0654				0.502				0.731				1.532				
				(1.798)				(1.895)				(2.089)				(1.869)				
educfyrs23				-0.509				-0.711				-0.366				2.586				
				(1.831)				(1.962)				(1.981)				(1.869)				
educfyrs24				2.056				1.126												
				(2.127)				(2.481)												
educfyrs25				0.184				-0.327				-0.0954								
				(1.842)				(2.148)				(1.981)								
educfyrs27				-1.309								-2.328								
				(2.127)								(2.558)								
height			0.00418***	0.00263***			0.00322***	0.00176*			0.00208***	0.000984			0.00373***	0.00216***			0.00571***	0.00346***
			(0.000439)	(0.000427)			(0.000999)	(0.000946)			(0.000782)	(0.000744)			(0.000730)	(0.000710)			(0.000772)	(0.000757)
bmi			-0.0782***	-0.0718***			-0.0773***	-0.0698***			-0.0877***	-0.0778***			-0.0994***	-0.0888***			-0.106***	-0.0957***
