	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
yearc79	-1.033*	-0.862***	-0.527***	-0.454***	-1.741	-1.147***	-0.597**	-0.563**	-1.394**	-0.862***	-0.731***	-0.608***	0.140	-0.954***	-0.824***	-0.699***	-2.634***	-0.837***	-0.616**	-0.518**
	(0.536)	(0.114)	(0.101)	(0.0997)	(1.104)	(0.321)	(0.258)	(0.257)	(0.668)	(0.277)	(0.233)	(0.226)	(4,907)	(0.274)	(0.235)	(0.230)	(0.824)	(0.310)	(0.271)	(0.263)
yearc80	-0.818	-0.620***	-0.197*	-0.148	-1.435	-0.793**	-0.168	-0.165	-1.165*	-0.623**	-0.387	-0.297	0.377	-0.717**	-0.460*	-0.374	-2.424***	-0.632**	-0.313	-0.248
	(0.536)	(0.116)	(0.103)	(0.102)	(1.105)	(0.325)	(0.263)	(0.261)	(0.670)	(0.281)	(0.237)	(0.230)	(4,907)	(0.279)	(0.240)	(0.236)	(0.827)	(0.317)	(0.278)	(0.270)
cont_name1	0.712***	1.181***	0.558***	0.724***		1.463***	0.744***	0.584***	0.947***	1.393***	0.672***	0.908***	0.696***	1.184***	0.588***	0.427***	0.976***	1.084***	0.987***	0.406***
	(0.00542)	(0.0179)	(0.0102)	(0.0246)		(0.0971)	(0.0472)	(0.0465)	(0.0110)	(0.0514)	(0.0268)	(0.0609)	(0.00965)	(0.0275)	(0.0166)	(0.0171)	(0.0128)	(0.0188)	(0.0396)	(0.0156)
cont_name3	-0.197***			0.301***	-0.983***	-0.239***						0.403***	-0.256***						0.433***	
	(0.00651)			(0.0187)	(0.0130)	(0.0158)						(0.0388)	(0.0126)						(0.0370)	
educfyrs			-0.149***				-0.163***				-0.177***				-0.192***				-0.208***	
			(0.00321)				(0.00857)				(0.00602)				(0.00433)				(0.00400)	
cont_name2		0.117***	-0.403***		-0.760***		-0.426***	-0.376***	0.243***	0.215***	-0.517***			0.177***	-0.496***	-0.366***	0.254***	0.160***		-0.326***
		(0.00840)	(0.0206)		(0.0115)		(0.0497)	(0.0456)	(0.0116)	(0.0133)	(0.0446)			(0.0158)	(0.0381)	(0.0332)	(0.0143)	(0.0190)		(0.0332)
yearc55	-1.253**	-0.961***			-2.124*	-1.588***			-1.534**	-1.149***			0.113	-1.107***			-2.388***	-0.823*		
	(0.556)	(0.192)			(1.131)	(0.434)			(0.706)	(0.378)			(4,907)	(0.403)			(0.880)	(0.451)		
yearc81	-0.370				-0.799				-0.653				0.976				-1.898**			
	(0.546)				(1.135)				(0.711)				(4,907)				(0.873)			
Constant	3.146***	3.868***	5.926***	4.489***	3.338***	5.164***	6.247***	4.821***	2.067***	4.798***	7.199***	5.165***	1.263	5.585***	7.611***	4.716***	4.417***	6.331***	7.500***	8.510***
	(0.536)	(0.138)	(0.170)	(1.742)	(1.103)	(0.562)	(0.624)	(1.825)	(0.667)	(0.468)	(0.554)	(1.850)	(4,907)	(0.467)	(0.511)	(1.379)	(0.823)	(0.559)	(0.567)	(1.464)
																				
Observations	743,181	743,181	451,912	446,096	161,887	161,887	104,300	102,828	252,333	252,333	165,409	163,641	266,848	266,848	178,271	176,521	241,828	241,828	163,616	162,068
R-squared	0.291	0.225	0.404	0.433	0.298	0.021	0.396	0.427	0.284	0.115	0.389	0.427	0.269	0.158	0.389	0.428	0.267	0.188	0.385	0.420
Standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
