	(1)	(2)	(3)
VARIABLES	mort15	mort15	mort15
			
	(0.140)	(0.0195)	(0.0195)
yearc80	0.0599	-0.00213	-0.000263
	(0.140)	(0.0198)	(0.0198)
yearc81	0.0565	-0.00506	-0.00310
	(0.140)	(0.0206)	(0.0206)
country1	-0.0305***	-0.0381***	-0.0282***
	(0.00403)	(0.00918)	(0.00751)
country2	-0.00417	-0.00346	-0.0180***
	(0.00413)	(0.00420)	(0.00456)
country3	0.0498***	0.0547***	0.0407***
	(0.00560)	(0.00770)	(0.00610)
country4	-0.00971***	-0.00665	-0.00884**
	(0.00362)	(0.00490)	(0.00450)
country5	-0.0287***	-0.0290***	-0.0345***
	(0.00696)	(0.00697)	(0.00712)
country6	0.0533***	0.0574***	0.0426***
	(0.00408)	(0.00606)	(0.00436)
country7	0.00441	0.00420	-0.00799
	(0.00818)	(0.00818)	(0.00859)
country8	-0.00939*	-0.00705	-0.0193***
	(0.00567)	(0.00621)	(0.00572)
country9	0.0156**	0.0213**	0.0165**
	(0.00607)	(0.00867)	(0.00782)
country10	0.0274***	0.0334***	0.0196***
	(0.00493)	(0.00818)	(0.00608)
country11	-0.0335***	-0.0350***	-0.0354***
	(0.00344)	(0.00378)	(0.00385)
country12	-0.0217**	-0.0178	-0.0325***
	(0.0105)	(0.0113)	(0.0107)
country13	0.00311	0.00700	0.00670
	(0.00787)	(0.00892)	(0.00880)
country14	0.0160**	0.0167***	0.00492
	(0.00634)	(0.00639)	(0.00658)
country15	-0.0294***	-0.0352***	-0.0363***
	(0.00450)	(0.00770)	(0.00784)
country16	-0.0228***	-0.0223***	-0.0235***
	(0.00302)	(0.00307)	(0.00313)
country17	0.00771*	0.00479	-0.00946
	(0.00414)	(0.00520)	(0.00704)
country18	-0.0181**	-0.0130	-0.0177*
	(0.00845)	(0.0101)	(0.00940)
country19	0.0184***	0.0204***	0.0141**
	(0.00600)	(0.00638)	(0.00609)
country20	-0.0192***	-0.0176***	-0.0305***
	(0.00499)	(0.00529)	(0.00515)
country21	0.0718***	0.0779***	0.0638***
	(0.00577)	(0.00875)	(0.00679)
country22	0.00934**	0.0114**	0.00103
	(0.00466)	(0.00515)	(0.00469)
country23	-0.0295***	-0.0242***	-0.0277***
	(0.00406)	(0.00699)	(0.00635)
country24	-0.0185***	-0.0228***	-0.0346***
	(0.00294)	(0.00546)	(0.00732)
country25	-0.0306***	-0.0384***	-0.0280***
	(0.00614)	(0.0104)	(0.00892)
country26	-0.0170***	-0.0147***	-0.0162***
	(0.00418)	(0.00488)	(0.00474)
country27	-0.0332***	-0.0378***	-0.0275***
	(0.00648)	(0.00817)	(0.00721)
country28	-0.0258**	-0.0236*	-0.0216*
	(0.0124)	(0.0126)	(0.0127)
country29	0.00789*	0.0121*	0.00304
	(0.00462)	(0.00649)	(0.00553)
country30	0.0521***	0.0557***	0.0468***
	(0.00381)	(0.00548)	(0.00441)
country31	0.0585***	0.0643***	0.0506***
	(0.00394)	(0.00734)	(0.00512)
country32	-0.0247***	-0.0308***	-0.0182**
	(0.00737)	(0.00986)	(0.00867)
country33	-0.0288***	-0.0275***	-0.0399***
	(0.00395)	(0.00418)	(0.00439)
country34	0.0181***	0.0223***	0.00975*
	(0.00452)	(0.00641)	(0.00500)
country35	-0.0181**	-0.0210**	-0.0241**
	(0.00909)	(0.00960)	(0.00979)
country37	-0.0337***	-0.0337***	-0.0393***
	(0.00357)	(0.00357)	(0.00393)
country38	0.114***	0.116***	0.101***
	(0.00470)	(0.00519)	(0.00481)
country39	0.0380***	0.0447***	0.0381***
	(0.00508)	(0.00878)	(0.00752)
country40	-0.0181***	-0.0192***	-0.0223***
	(0.00322)	(0.00345)	(0.00398)
country41	0.0277***	0.0332***	0.0260***
	(0.00433)	(0.00735)	(0.00615)
country42	0.0237***	0.0266***	0.0145***
	(0.00539)	(0.00621)	(0.00546)
country43	0.00368	0.00643	0.000213
	(0.00410)	(0.00506)	(0.00447)
country44	0.0358***	0.0396***	0.0256***
	(0.00809)	(0.00906)	(0.00819)
country45	-0.0290***	-0.0306***	-0.0365***
	(0.00559)	(0.00586)	(0.00635)
country46	0.0143***	0.0177***	0.0119**
	(0.00453)	(0.00580)	(0.00512)
yearc82	0.0628		
	(0.141)		
country36	-0.0328		
	(0.242)		
Constant	-0.0493	0.0208	0.0938***
	(0.140)	(0.0206)	(0.0277)
			
Observations	169,398	169,398	168,899
R-squared	0.033	0.031	0.034
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
