	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																				
	(1.235)	(4.042)	(3.694)	(3.571)	(29,660)	(9.255)	(3.864)	(3.637)	(18,382)	(6.833)	(3.871)	(3.608)	(22,618)	(5.535)	(3.815)	(3.660)	(1.411)	(5.123)	(3.803)	(3.643)
age30	0.577	2.661	0.564	1.741	0.833	9.975	2.156	3.262	0.473	8.992	1.949	3.019	-2.427	6.685	1.626	2.926	-0.655	5.915	1.065	2.171
	(1.236)	(4.043)	(3.696)	(3.574)	(29,660)	(9.327)	(3.894)	(3.671)	(18,382)	(6.848)	(3.883)	(3.621)	(22,618)	(5.552)	(3.835)	(3.683)	(1.413)	(5.134)	(3.813)	(3.653)
age31	-0.0787	2.007	0.101	1.319	-0.341	8.710	1.657	2.768	-0.355	7.929	1.591	2.724	-2.922	6.067	1.431	2.786	-0.950	5.573	1.089	2.128
	(1.236)	(4.043)	(3.699)	(3.577)	(29,660)	(9.282)	(3.948)	(3.723)	(18,382)	(6.831)	(3.896)	(3.634)	(22,618)	(5.543)	(3.845)	(3.695)	(1.412)	(5.132)	(3.818)	(3.658)
age32	0.719	2.788	0.893	2.163	0.759	9.082	2.317	3.480	0.460	8.652	2.062	3.286	-2.342	6.676	1.829	3.255	-0.441	6.202	1.377	2.557
	(1.242)	(4.045)	(3.701)	(3.578)	(29,660)	(8.937)	(3.870)	(3.645)	(18,382)	(6.828)	(3.888)	(3.625)	(22,618)	(5.549)	(3.845)	(3.694)	(1.419)	(5.141)	(3.822)	(3.662)
age33	-0.227	1.848	0.00219	1.199	-0.180	8.997	1.933	2.982	-0.348	7.813	1.807	2.726	-3.130	5.729	1.270	2.457	-1.145	5.306	0.812	1.756
	(1.244)	(4.047)	(3.707)	(3.584)	(29,660)	(9.351)	(3.980)	(3.740)	(18,382)	(6.828)	(3.915)	(3.647)	(22,618)	(5.539)	(3.861)	(3.707)	(1.423)	(5.136)	(3.831)	(3.671)
age34	-0.842	1.176	-0.350	0.794	-0.692	6.640	1.477	2.494	-0.894	6.474	1.385	2.381	-3.603	4.574	1.069	2.256	-1.873	4.169	0.463	1.316
	(1.263)	(4.052)	(3.717)	(3.595)	(29,660)	(8.506)	(3.937)	(3.708)	(18,382)	(6.784)	(3.929)	(3.664)	(22,618)	(5.503)	(3.861)	(3.708)	(1.446)	(5.128)	(3.844)	(3.684)
age35	-0.225	2.004	-1.409	-0.148	-0.463	9.075	1.408	2.219	-0.255	9.157	1.031	1.888	-2.595	6.756	0.226	1.511	-0.596	6.470	-0.00434	0.861
	(1.302)	(4.073)	(3.761)	(3.636)	(29,660)	(9.566)	(4.119)	(3.873)	(18,382)	(6.966)	(3.998)	(3.724)	(22,618)	(5.612)	(3.925)	(3.770)	(1.504)	(5.201)	(3.911)	(3.746)
age36	-1.521	0.587	-0.694	0.447	-1.148	7.898	2.394	3.244	-1.648	7.240	2.333	2.969	-4.065	5.005	1.605	2.624	-2.054	4.707	1.563	2.016
	(1.346)	(4.087)	(3.767)	(3.642)	(29,660)	(9.339)	(4.256)	(4.004)	(18,382)	(6.946)	(4.079)	(3.794)	(22,618)	(5.612)	(4.034)	(3.882)	(1.544)	(5.208)	(3.984)	(3.813)
age37		2.078	4.552	4.710	0.255	9.134	5.529	5.585	0.340	7.737	5.453	5.408	-1.839	5.618	5.277	5.343		5.687	4.959	4.772
		(4.230)	(4.081)	(3.944)	(29,660)	(9.465)	(4.168)	(3.901)	(18,382)	(7.128)	(4.254)	(3.958)	(22,618)	(5.739)	(4.204)	(4.023)		(5.376)	(4.199)	(4.020)
educmale1				-0.481***				-0.736***				-0.762***				-0.944***				-0.810***
				(0.118)				(0.265)				(0.161)				(0.165)				(0.146)
educmale2				1.072***				0.916***				0.910***				0.715***				0.803***
				(0.114)				(0.257)				(0.151)				(0.150)				(0.141)
educmale3				2.048***				2.322***				2.371***				2.167***				2.156***
				(0.103)				(0.185)				(0.170)				(0.151)				(0.138)
educmale4				3.065***				3.321***				3.422***				3.236***				3.236***
				(0.109)				(0.209)				(0.188)				(0.180)				(0.154)
educmale5				0.320				1.227				1.254				1.090				0.647
				(3.494)				(3.415)				(3.501)				(3.565)				(3.569)
educfyrs1				-2.367				-6.008*				-4.074				0.0900				-3.537
				(2.042)				(3.504)				(2.545)				(3.597)				(3.542)
educfyrs2				-2.263				-5.993*				-4.006				0.128				-3.448
				(2.047)				(3.538)				(2.565)				(3.606)				(3.543)
educfyrs3				-1.908				-5.618				-3.662				0.534				-3.051
				(2.043)				(3.510)				(2.554)				(3.605)				(3.542)
educfyrs4				-1.637				-5.135				-3.181				0.987				-2.702
				(2.039)				(3.494)				(2.538)				(3.592)				(3.542)
educfyrs5				-1.558				-4.964				-3.073				1.087				-2.623
				(2.037)				(3.474)				(2.531)				(3.587)				(3.542)
educfyrs6				-1.144				-4.200				-2.281				1.797				-1.996
				(2.031)				(3.444)				(2.506)				(3.569)				(3.542)
educfyrs7				-1.041				-3.993				-2.063				2.007				-1.779
				(2.030)				(3.439)				(2.504)				(3.565)				(3.543)
educfyrs8				-1.163				-4.206				-2.287				1.905				-1.810
				(2.030)				(3.444)				(2.512)				(3.570)				(3.543)
educfyrs9				-0.938				-3.861				-1.842				2.233				-1.634
				(2.027)				(3.433)				(2.500)				(3.561)				(3.544)
educfyrs10				-1.394				-4.062				-2.055				2.204				-1.712
				(2.024)				(3.422)				(2.491)				(3.554)				(3.546)
educfyrs11				-0.922				-3.558				-1.602				2.479				-1.430
				(2.023)				(3.417)				(2.487)				(3.555)				(3.546)
educfyrs12				-0.949				-3.075				-1.153				2.910				-1.028
				(2.018)				(3.411)				(2.473)				(3.544)				(3.553)
educfyrs13				-0.769				-2.793				-0.859				3.138				-0.804
				(2.018)				(3.411)				(2.472)				(3.542)				(3.554)
educfyrs14				-0.836				-3.093				-1.070				3.046				-0.999
				(2.021)				(3.414)				(2.479)				(3.549)				(3.565)
educfyrs15				-0.905				-3.002				-0.965				2.845				-1.350
				(2.021)				(3.414)				(2.477)				(3.552)				(3.559)
educfyrs16				-0.618				-2.668				-0.682				3.341				-1.063
				(2.019)				(3.412)				(2.478)				(3.548)				(3.566)
educfyrs17				-1.083				-2.689				-0.817				3.087				-0.716
				(2.018)				(3.420)				(2.470)				(3.542)				(3.564)
educfyrs18				-0.566				-2.588				-0.482				3.261				-0.978
				(2.024)				(3.422)				(2.482)				(3.559)				(3.588)
educfyrs19				-0.440				-2.364				-0.302				3.699				-0.286
				(2.043)				(3.445)				(2.516)				(3.580)				(3.654)
educfyrs20				-0.797				-3.344				-1.644				2.768				0.0897
				(2.104)				(3.516)				(2.678)				(3.781)				(3.837)
educfyrs21				-0.616				-1.803				0.964				3.845				1.808
