	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																																
agemay	0.0951***	0.0470**	0.0159	-0.00533	0.0124	-0.0846*	0.103***	0.0797***	0.105***	0.0505**	-0.00224	-0.0205	0.0106	-0.0980**	0.0411**	0.0189	0.127***	0.0804***	0.0201	0.00383	0.0345	-0.0616**	0.0543***	0.0375**	0.116***	0.0733***	0.0160	-0.00279	0.0720**	-0.0189	0.0805***	0.0605***	0.0725***	0.0413***	0.00933	-0.00364	0.0166	-0.0523	0.0447***	0.0234**	0.0761***	0.0525***	0.0305	0.0149	0.0489	-0.00521	0.0451***	0.0305***	0.0374**	0.0208	0.0114	0.00164	-0.0105	-0.0499*	0.00859	-0.00209	0.0169	0.00745	0.00991	0.00626	-0.0213	-0.0439	0.00521	0.000460
	(0.0275)	(0.0229)	(0.0207)	(0.0207)	(0.0597)	(0.0484)	(0.0181)	(0.0202)	(0.0229)	(0.0247)	(0.0225)	(0.0222)	(0.0326)	(0.0416)	(0.0194)	(0.0219)	(0.0213)	(0.0187)	(0.0249)	(0.0255)	(0.0337)	(0.0305)	(0.0135)	(0.0150)	(0.0154)	(0.0119)	(0.0281)	(0.0291)	(0.0278)	(0.0247)	(0.00895)	(0.00981)	(0.0159)	(0.0147)	(0.0328)	(0.0344)	(0.0370)	(0.0348)	(0.0115)	(0.0100)	(0.0208)	(0.0178)	(0.0361)	(0.0366)	(0.0486)	(0.0418)	(0.0110)	(0.0101)	(0.0169)	(0.0130)	(0.0389)	(0.0407)	(0.0377)	(0.0283)	(0.00972)	(0.00815)	(0.0179)	(0.0148)	(0.0295)	(0.0313)	(0.0441)	(0.0321)	(0.0111)	(0.0100)
magesq	-0.000911***	-0.000361	-0.000521**	-0.000261	0.000726	0.00183***	-0.00112***	-0.000890***	-0.00104***	-0.000414	-0.000342	-0.000118	0.000646	0.00191***	-0.000333	-0.000116	-0.00131***	-0.000794***	-0.000828**	-0.000639*	0.000387	0.00145***	-0.000491***	-0.000325*	-0.00111***	-0.000602***	-0.000769**	-0.000539	-5.33e-05	0.00101***	-0.000851***	-0.000622***	-0.000440*	-8.12e-05	-0.000622*	-0.000465	0.000906	0.00170***	-0.000361**	-0.000113	-0.000491	-0.000194	-0.000781*	-0.000570	0.000452	0.00112*	-0.000401***	-0.000229	-3.41e-05	0.000196	-0.000474	-0.000330	0.00114**	0.00166***	3.99e-05	0.000167	0.000219	0.000373*	-0.000389	-0.000300	0.00123**	0.00159***	7.00e-05	0.000136
	(0.000311)	(0.000263)	(0.000250)	(0.000238)	(0.000780)	(0.000674)	(0.000200)	(0.000233)	(0.000309)	(0.000334)	(0.000361)	(0.000359)	(0.000519)	(0.000664)	(0.000259)	(0.000284)	(0.000285)	(0.000268)	(0.000336)	(0.000343)	(0.000466)	(0.000458)	(0.000170)	(0.000191)	(0.000213)	(0.000189)	(0.000329)	(0.000345)	(0.000390)	(0.000359)	(0.000108)	(0.000128)	(0.000233)	(0.000222)	(0.000357)	(0.000376)	(0.000572)	(0.000548)	(0.000163)	(0.000147)	(0.000311)	(0.000279)	(0.000458)	(0.000447)	(0.000729)	(0.000642)	(0.000148)	(0.000138)	(0.000227)	(0.000185)	(0.000432)	(0.000438)	(0.000541)	(0.000434)	(0.000122)	(0.000106)	(0.000223)	(0.000190)	(0.000326)	(0.000326)	(0.000578)	(0.000443)	(0.000134)	(0.000121)
educf_0		-0.698***		-0.315***		-1.340***		-0.264***		-0.653***		-0.247***		-1.288***		-0.258***		-0.695***		-0.251***		-1.364***		-0.256***		-0.735***		-0.278***		-1.538***		-0.304***		-0.790***		-0.303***		-1.686***		-0.330***		-0.780***		-0.319***		-1.776***		-0.341***		-0.763***		-0.323***		-1.810***		-0.364***		-0.766***		-0.308***		-1.890***		-0.342***
		(0.0824)		(0.0570)		(0.107)		(0.0472)		(0.0885)		(0.0434)		(0.106)		(0.0293)		(0.101)		(0.0565)		(0.190)		(0.0346)		(0.105)		(0.0555)		(0.224)		(0.0450)		(0.0844)		(0.0466)		(0.200)		(0.0380)		(0.0644)		(0.0301)		(0.176)		(0.0326)		(0.0863)		(0.0351)		(0.249)		(0.0408)		(0.0769)		(0.0335)		(0.267)		(0.0459)
educf_1_4		-0.415***		-0.141***		-0.810***		-0.179***		-0.401***		-0.125***		-0.754***		-0.150***		-0.494***		-0.117***		-0.925***		-0.160***		-0.448***		-0.127***		-0.928***		-0.190***		-0.498***		-0.129***		-1.063***		-0.231***		-0.480***		-0.140***		-1.138***		-0.235***		-0.450***		-0.147***		-1.111***		-0.253***		-0.500***		-0.154***		-1.280***		-0.251***
		(0.0658)		(0.0256)		(0.101)		(0.0249)		(0.0600)		(0.0188)		(0.0828)		(0.0276)		(0.0835)		(0.0321)		(0.142)		(0.0311)		(0.0912)		(0.0358)		(0.182)		(0.0387)		(0.0744)		(0.0312)		(0.168)		(0.0350)		(0.0661)		(0.0287)		(0.165)		(0.0328)		(0.0819)		(0.0436)		(0.229)		(0.0398)		(0.0698)		(0.0411)		(0.250)		(0.0436)
educf_5_6		-0.184***		-0.0661***		-0.357***		-0.0627**		-0.221***		-0.0580***		-0.420***		-0.0679***		-0.272***		-0.0467*		-0.530***		-0.0823***		-0.263***		-0.0494*		-0.584***		-0.110***		-0.292***		-0.0836***		-0.635***		-0.128***		-0.255***		-0.0540**		-0.627***		-0.139***		-0.248***		-0.0484		-0.654***		-0.156***		-0.301***		-0.0716*		-0.782***		-0.140***
		(0.0322)		(0.0203)		(0.0635)		(0.0310)		(0.0360)		(0.0185)		(0.0509)		(0.0180)		(0.0565)		(0.0277)		(0.106)		(0.0189)		(0.0731)		(0.0285)		(0.156)		(0.0285)		(0.0602)		(0.0270)		(0.142)		(0.0222)		(0.0524)		(0.0241)		(0.146)		(0.0297)		(0.0758)		(0.0345)		(0.219)		(0.0383)		(0.0603)		(0.0419)		(0.234)		(0.0446)
