	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																								
height		0.000348***		0.000116*		0.000653**		0.000109***		0.000407***		0.000129*		0.000851***		0.000266***		0.000510***		0.000133**		0.000943***		0.000216***		0.000483***		0.000248***		0.00105***		0.000198***		0.000337***		0.000155		0.000689***		0.000194***		0.000374***		0.000133*		0.000806***		0.000134***		0.000305***		0.000301***		0.000647***		0.000174***
		(0.000101)		(6.36e-05)		(0.000265)		(3.44e-05)		(0.000122)		(7.30e-05)		(0.000310)		(8.40e-05)		(7.31e-05)		(5.71e-05)		(0.000182)		(5.82e-05)		(9.88e-05)		(8.80e-05)		(0.000189)		(4.38e-05)		(8.63e-05)		(9.71e-05)		(0.000195)		(5.62e-05)		(7.66e-05)		(6.63e-05)		(0.000175)		(4.25e-05)		(8.89e-05)		(0.000103)		(0.000208)		(5.50e-05)
bmi		8.79e-05***		2.03e-05***		0.000216***		3.82e-05***		0.000119***		2.64e-05*		0.000279***		4.68e-05***		0.000161***		5.80e-05***		0.000388***		7.19e-05***		0.000192***		7.34e-05***		0.000477***		8.90e-05***		0.000201***		9.06e-05***		0.000534***		9.48e-05***		0.000210***		0.000102***		0.000511***		8.38e-05***		0.000236***		0.000108***		0.000582***		0.000110***
		(1.40e-05)		(6.82e-06)		(4.46e-05)		(8.05e-06)		(2.05e-05)		(1.47e-05)		(5.49e-05)		(9.54e-06)		(3.04e-05)		(1.81e-05)		(7.84e-05)		(1.29e-05)		(2.40e-05)		(1.64e-05)		(5.42e-05)		(1.01e-05)		(3.03e-05)		(2.76e-05)		(6.73e-05)		(1.65e-05)		(2.57e-05)		(2.50e-05)		(6.31e-05)		(1.51e-05)		(2.43e-05)		(2.16e-05)		(5.77e-05)		(1.51e-05)
educf_0		-0.658***		-0.249***		-1.268***		-0.261***		-0.704***		-0.257***		-1.359***		-0.259***		-0.738***		-0.283***		-1.534***		-0.307***		-0.787***		-0.306***		-1.671***		-0.332***		-0.780***		-0.328***		-1.767***		-0.345***		-0.772***		-0.330***		-1.828***		-0.369***		-0.754***		-0.312***		-1.875***		-0.343***
		(0.0913)		(0.0444)		(0.105)		(0.0303)		(0.101)		(0.0571)		(0.190)		(0.0352)		(0.104)		(0.0556)		(0.222)		(0.0459)		(0.0852)		(0.0450)		(0.202)		(0.0386)		(0.0646)		(0.0318)		(0.176)		(0.0324)		(0.0870)		(0.0364)		(0.255)		(0.0407)		(0.0895)		(0.0356)		(0.294)		(0.0484)
educf_1_4		-0.405***		-0.129***		-0.742***		-0.152***		-0.502***		-0.124***		-0.925***		-0.161***		-0.449***		-0.129***		-0.921***		-0.189***		-0.498***		-0.133***		-1.059***		-0.233***		-0.477***		-0.146***		-1.121***		-0.237***		-0.462***		-0.152***		-1.131***		-0.258***		-0.487***		-0.156***		-1.267***		-0.251***
		(0.0620)		(0.0193)		(0.0837)		(0.0287)		(0.0833)		(0.0318)		(0.141)		(0.0317)		(0.0900)		(0.0360)		(0.179)		(0.0395)		(0.0738)		(0.0289)		(0.167)		(0.0354)		(0.0664)		(0.0298)		(0.167)		(0.0330)		(0.0826)		(0.0444)		(0.235)		(0.0393)		(0.0816)		(0.0434)		(0.276)		(0.0473)
educf_5_6		-0.225***		-0.0628***		-0.410***		-0.0691***		-0.278***		-0.0520*		-0.529***		-0.0828***		-0.261***		-0.0514*		-0.580***		-0.110***		-0.290***		-0.0882***		-0.629***		-0.130***		-0.258***		-0.0583**		-0.623***		-0.138***		-0.264***		-0.0543		-0.685***		-0.158***		-0.289***		-0.0692*		-0.763***		-0.141***
		(0.0383)		(0.0197)		(0.0518)		(0.0189)		(0.0560)		(0.0261)		(0.105)		(0.0194)		(0.0720)		(0.0292)		(0.153)		(0.0291)		(0.0602)		(0.0255)		(0.141)		(0.0224)		(0.0526)		(0.0236)		(0.146)		(0.0301)		(0.0756)		(0.0373)		(0.226)		(0.0374)		(0.0761)		(0.0384)		(0.263)		(0.0480)
educf_7_10		-0.0945***		-0.0413***		-0.168***		-0.0247*		-0.146***		-0.0298		-0.254***		-0.0289		-0.0799		-0.0170		-0.201		-0.0292		-0.112*		-0.0225		-0.249*		-0.0437*		-0.127**		-0.0368		-0.327**		-0.0445*		-0.146*		0.000933		-0.358		-0.0673**		-0.218***		0.00412		-0.515**		-0.0701*
		(0.0269)		(0.0133)		(0.0444)		(0.0143)		(0.0461)		(0.0210)		(0.0901)		(0.0178)		(0.0680)		(0.0307)		(0.135)		(0.0271)		(0.0583)		(0.0237)		(0.137)		(0.0228)		(0.0492)		(0.0227)		(0.139)		(0.0258)		(0.0803)		(0.0332)		(0.215)		(0.0328)		(0.0755)		(0.0317)		(0.245)		(0.0397)
poor1		-0.201***		-0.0892***		-0.398***		-0.155***		-0.230***		-0.106***		-0.444***		-0.147***		-0.264***		-0.128***		-0.531***		-0.154***		-0.273***		-0.137***		-0.611***		-0.175***		-0.298***		-0.137***		-0.673***		-0.162***		-0.325***		-0.155***		-0.710***		-0.149***		-0.284***		-0.170***		-0.676***		-0.149***
		(0.0454)		(0.0149)		(0.0860)		(0.0353)		(0.0312)		(0.0164)		(0.0511)		(0.0213)		(0.0295)		(0.0195)		(0.0609)		(0.0241)		(0.0278)		(0.0227)		(0.0614)		(0.0190)		(0.0196)		(0.0202)		(0.0555)		(0.0157)		(0.0190)		(0.0223)		(0.0543)		(0.0164)		(0.0210)		(0.0205)		(0.0636)		(0.0174)
Constant	-2.280***	-2.530***	1.858	1.848	-10.03***	-10.58***	0.664***	0.592***	-1.652***	-1.798***	4.912***	4.895***	-6.900***	-7.400***	0.0983	-0.316	-2.047***	-2.747***	4.129***	3.994***	-5.199***	-6.537***	-0.456***	-0.573***	-1.768***	-2.410***	3.234***	2.753**	-4.472***	-5.996***	-0.675***	-0.943***	-1.112***	-2.347	3.335***	3.015***	-5.057***	-6.130***	-0.708***	-1.023***	-0.964***	-1.857***	3.029***	2.598**	-2.657***	-4.622***	-0.689***	-0.870***	-2.043***	-2.542***	2.201**	1.322	-4.036***	-5.131***	-0.602***	-0.833***
	(0.0885)	(0.255)	(1.218)	(1.206)	(0.190)	(0.576)	(0.0651)	(0.104)	(0.515)	(0.641)	(1.184)	(1.178)	(0.819)	(1.138)	(0.489)	(0.440)	(0.176)	(0.249)	(1.123)	(1.143)	(0.198)	(0.491)	(0.0568)	(0.0851)	(0.244)	(0.353)	(1.026)	(1.074)	(0.435)	(0.620)	(0.117)	(0.110)	(0.110)	(11,773)	(0.964)	(0.993)	(0.189)	(0.385)	(0.0785)	(0.153)	(0.167)	(0.239)	(0.942)	(0.974)	(0.313)	(0.461)	(0.0785)	(0.115)	(0.123)	(0.244)	(0.892)	(0.950)	(0.428)	(0.577)	(0.0483)	(0.122)
																																																								
Observations	85,449	84,799	62,753	62,218	83,424	82,801	33,177	32,826	140,098	138,887	96,130	95,160	138,968	137,776	58,530	57,734	148,363	147,050	96,113	95,150	147,604	146,298	61,534	60,702	136,497	135,258	86,873	86,023	135,960	134,734	56,978	56,130	118,359	117,442	74,238	73,650	117,932	117,023	53,643	53,046	95,649	94,876	59,650	59,145	95,302	94,532	47,791	47,210	72,694	72,055	45,749	45,361	72,391	71,754	39,433	38,946
R-squared	0.094	0.167	0.499	0.517	0.797	0.817	0.193	0.278	0.064	0.151	0.400	0.423	0.745	0.770	0.176	0.257	0.050	0.152	0.300	0.330	0.678	0.712	0.191	0.280	0.044	0.142	0.238	0.268	0.606	0.647	0.241	0.324	0.046	0.137	0.211	0.242	0.553	0.596	0.278	0.351	0.049	0.133	0.198	0.229	0.516	0.558	0.292	0.355	0.058	0.125	0.177	0.205	0.476	0.516	0.269	0.329
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
