	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																								
bmi		6.98e-05***		6.18e-06		0.000170***		3.07e-05***		0.000105***		1.65e-05		0.000261***		4.68e-05***		0.000162***		3.99e-05***		0.000373***		6.86e-05***		0.000164***		6.74e-05**		0.000356***		6.44e-05***		0.000210***		0.000103***		0.000549***		9.01e-05***		0.000212***		6.40e-05		0.000500***		7.46e-05***		0.000216***		0.000109*		0.000411***		8.82e-05***
		(1.45e-05)		(1.17e-05)		(5.88e-05)		(6.06e-06)		(2.72e-05)		(1.45e-05)		(8.86e-05)		(1.59e-05)		(2.71e-05)		(1.20e-05)		(6.27e-05)		(1.06e-05)		(2.95e-05)		(2.67e-05)		(5.51e-05)		(1.26e-05)		(3.96e-05)		(3.66e-05)		(7.26e-05)		(1.66e-05)		(5.72e-05)		(4.55e-05)		(0.000103)		(2.24e-05)		(6.37e-05)		(6.40e-05)		(0.000119)		(2.07e-05)
educf_0		-0.521***		-0.171***		-1.122***		-0.214***		-0.675***		-0.200***		-1.319***		-0.244***		-0.716***		-0.250***		-1.449***		-0.314***		-0.828***		-0.293***		-1.702***		-0.336***		-0.761***		-0.311***		-1.731***		-0.339***		-0.884***		-0.335***		-2.020***		-0.346***		-0.665***		-0.220***		-1.684***		-0.371***
		(0.0660)		(0.0169)		(0.0925)		(0.0208)		(0.115)		(0.0477)		(0.251)		(0.0395)		(0.125)		(0.0512)		(0.245)		(0.0684)		(0.0896)		(0.0441)		(0.157)		(0.0345)		(0.0793)		(0.0529)		(0.178)		(0.0409)		(0.111)		(0.0972)		(0.305)		(0.0501)		(0.0858)		(0.0566)		(0.327)		(0.0645)
educf_1_4		-0.333***		-0.116***		-0.634***		-0.102***		-0.501***		-0.136***		-0.919***		-0.166***		-0.458***		-0.124***		-0.911***		-0.194***		-0.560***		-0.115**		-1.167***		-0.254***		-0.470***		-0.130**		-1.166***		-0.256***		-0.596***		-0.126		-1.422***		-0.254***		-0.380***		-0.0483		-1.113***		-0.306***
		(0.0579)		(0.0226)		(0.0639)		(0.0216)		(0.0882)		(0.0396)		(0.158)		(0.0291)		(0.102)		(0.0389)		(0.192)		(0.0490)		(0.0877)		(0.0455)		(0.153)		(0.0340)		(0.0767)		(0.0534)		(0.183)		(0.0393)		(0.0948)		(0.0997)		(0.257)		(0.0534)		(0.0731)		(0.0549)		(0.306)		(0.0667)
educf_5_6		-0.175***		-0.0612***		-0.322***		-0.0453***		-0.275***		-0.0532		-0.497***		-0.0710***		-0.262***		-0.0357		-0.570***		-0.102***		-0.312***		-0.0794**		-0.677***		-0.134***		-0.275***		-0.0139		-0.720***		-0.158***		-0.400***		-0.0456		-0.926***		-0.176***		-0.214***		0.125*		-0.488		-0.135**
		(0.0354)		(0.0173)		(0.0352)		(0.0130)		(0.0612)		(0.0323)		(0.111)		(0.0159)		(0.0868)		(0.0299)		(0.163)		(0.0322)		(0.0631)		(0.0391)		(0.132)		(0.0286)		(0.0645)		(0.0412)		(0.169)		(0.0432)		(0.0735)		(0.0969)		(0.222)		(0.0464)		(0.0771)		(0.0655)		(0.298)		(0.0646)
educf_7_10		-0.0841***		-0.0481**		-0.125***		-0.0118		-0.156***		-0.0257		-0.232**		-0.0357*		-0.0692		-0.0191		-0.177		-0.0265		-0.110*		0.000551		-0.273**		-0.0361		-0.153***		0.00758		-0.406**		-0.0477		-0.371***		0.0282		-0.531*		-0.0604		-0.106		0.120**		-0.236		-0.0807
		(0.0315)		(0.0180)		(0.0390)		(0.0113)		(0.0513)		(0.0183)		(0.0970)		(0.0206)		(0.0676)		(0.0289)		(0.128)		(0.0324)		(0.0559)		(0.0457)		(0.111)		(0.0224)		(0.0486)		(0.0519)		(0.157)		(0.0335)		(0.0884)		(0.0822)		(0.265)		(0.0501)		(0.104)		(0.0464)		(0.307)		(0.0676)
