	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
malec	0.00666	0.00654	0.00605	0.00648	0.00635	0.00569	0.00471	0.00458	0.00431	0.00467	0.00455	0.00426	0.00695	0.00670	0.00595	0.00699	0.00676	0.00614	0.0126*	0.0119*	0.00849	0.0134*	0.0128*	0.0107	0.0236**	0.0231**	0.0187**	0.0235**	0.0231**	0.0190**	0.0233**	0.0230**	0.0207*	0.0218**	0.0214**	0.0178*
	(0.00420)	(0.00420)	(0.00432)	(0.00416)	(0.00416)	(0.00423)	(0.00395)	(0.00394)	(0.00407)	(0.00395)	(0.00394)	(0.00401)	(0.00467)	(0.00468)	(0.00477)	(0.00468)	(0.00468)	(0.00475)	(0.00570)	(0.00576)	(0.00608)	(0.00555)	(0.00555)	(0.00563)	(0.00655)	(0.00655)	(0.00667)	(0.00655)	(0.00655)	(0.00664)	(0.00831)	(0.00833)	(0.00858)	(0.00790)	(0.00789)	(0.00797)
agemay	0.00170	0.00174	0.00576*	0.00124*	0.00123*	0.00293**	0.00216	0.00212	0.00579*	0.00190**	0.00188**	0.00329**	0.00213	0.00216	0.00346*	0.00182**	0.00173**	0.00254**	0.00266	0.00287	0.00380	0.000184	4.60e-05	-5.21e-05	-0.000341	-0.000419	-0.000489	-0.00112	-0.00124	-0.00172	-0.00491	-0.00506	-0.00585	-0.000604	-0.000690	-0.00151
	(0.00145)	(0.00146)	(0.00287)	(0.000553)	(0.000553)	(0.000541)	(0.00131)	(0.00129)	(0.00228)	(0.000541)	(0.000540)	(0.000533)	(0.00144)	(0.00144)	(0.00175)	(0.000660)	(0.000659)	(0.000659)	(0.00245)	(0.00248)	(0.00281)	(0.000781)	(0.000781)	(0.000785)	(0.00163)	(0.00163)	(0.00168)	(0.000923)	(0.000922)	(0.000932)	(0.00344)	(0.00341)	(0.00321)	(0.00117)	(0.00116)	(0.00117)
educf_11plus					0.0930**					0.173**	0.176**					0.166**	0.172**																	0.0432	0.0441	
					(0.00715)					(0.00876)	(0.00868)					(0.0105)	(0.0104)																	(0.0297)	(0.0297)	
borddummy2							-0.0136	-0.0127	-0.0340	-0.0101*	-0.00951*	-0.00990*	-0.0128	-0.0134	-0.0161	-0.00907	-0.00828	-0.00680	-0.0280	-0.0310	-0.0375	-0.000828	0.000198	0.00294	0.0114	0.0118	0.00933	0.0195	0.0204	0.0223	0.0739*	0.0747*	0.0778*	0.0384	0.0385	0.0409
							(0.0164)	(0.0161)	(0.0218)	(0.00432)	(0.00431)	(0.00437)	(0.0165)	(0.0165)	(0.0174)	(0.00626)	(0.00626)	(0.00635)	(0.0271)	(0.0277)	(0.0299)	(0.00924)	(0.00924)	(0.00938)	(0.0197)	(0.0197)	(0.0204)	(0.0139)	(0.0139)	(0.0141)	(0.0352)	(0.0351)	(0.0344)	(0.0221)	(0.0221)	(0.0224)
borddummy3													-0.0284	-0.0298	-0.0342	-0.0203**	-0.0187**	-0.0140	-0.0587	-0.0653	-0.0764	-0.00272	-0.000845	0.00633	0.0134	0.0140	0.0132	0.0294*	0.0309*	0.0383**	0.113	0.114	0.123*	0.0365	0.0366	0.0444*
													(0.0342)	(0.0343)	(0.0360)	(0.00711)	(0.00709)	(0.00718)	(0.0534)	(0.0545)	(0.0586)	(0.00965)	(0.00964)	(0.00977)	(0.0308)	(0.0308)	(0.0316)	(0.0138)	(0.0138)	(0.0140)	(0.0613)	(0.0611)	(0.0586)	(0.0214)	(0.0214)	(0.0216)
