	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
agemay	0.0190**	0.0193**	0.0512**	0.0121**	0.0122**	0.0248**	0.0192**	0.0191**	0.0465**	0.0174**	0.0173**	0.0286**	0.0260**	0.0259**	0.0373**	0.0182**	0.0179**	0.0243**	0.0172**	0.0183**	0.0241**	0.0156**	0.0150**	0.0172**	0.0141**	0.0137**	0.0148**	0.0134**	0.0126**	0.0118**	0.0124	0.00930	0.00455	0.0124**	0.0107**	0.00756**
	(0.00415)	(0.00420)	(0.00994)	(0.00123)	(0.00123)	(0.00127)	(0.00341)	(0.00341)	(0.00764)	(0.00111)	(0.00111)	(0.00117)	(0.00367)	(0.00369)	(0.00505)	(0.00126)	(0.00126)	(0.00134)	(0.00474)	(0.00489)	(0.00625)	(0.00139)	(0.00140)	(0.00149)	(0.00290)	(0.00291)	(0.00324)	(0.00160)	(0.00160)	(0.00171)	(0.00759)	(0.00754)	(0.00750)	(0.00197)	(0.00198)	(0.00209)
borddummy2							-0.0555	-0.0518	-0.196**	-0.0363**	-0.0323**	-0.0493**	-0.108**	-0.106**	-0.137**	-0.0316**	-0.0269*	-0.0307**	-0.0394	-0.0510	-0.0762	-0.0242	-0.0194	-0.0139	-0.0206	-0.0201	-0.0347	-0.0144	-0.00967	-0.00687	-0.00924	0.00678	0.0243	-0.00927	-0.00618	-0.00463
							(0.0363)	(0.0359)	(0.0623)	(0.00839)	(0.00839)	(0.00904)	(0.0354)	(0.0355)	(0.0417)	(0.0110)	(0.0110)	(0.0119)	(0.0467)	(0.0483)	(0.0568)	(0.0144)	(0.0145)	(0.0156)	(0.0298)	(0.0300)	(0.0330)	(0.0194)	(0.0195)	(0.0209)	(0.0727)	(0.0727)	(0.0750)	(0.0269)	(0.0270)	(0.0287)
educf_11plus										0.863**	0.878**																	0.223**	0.228**					0.233**	0.240**	
										(0.0170)	(0.0168)																	(0.0310)	(0.0311)					(0.0451)	(0.0453)	
borddummy3													-0.214**	-0.208**	-0.268**	-0.0463**	-0.0359**	-0.0363**	-0.0641	-0.0873	-0.132	-0.0325*	-0.0218	-0.00397	-0.0234	-0.0217	-0.0337	-0.0105	4.43e-05	0.0230	-0.0273	0.00880	0.0675	-0.0274	-0.0178	0.00927
													(0.0746)	(0.0746)	(0.0873)	(0.0126)	(0.0126)	(0.0136)	(0.0932)	(0.0965)	(0.113)	(0.0154)	(0.0155)	(0.0166)	(0.0512)	(0.0514)	(0.0563)	(0.0200)	(0.0201)	(0.0215)	(0.141)	(0.141)	(0.142)	(0.0272)	(0.0273)	(0.0290)
borddummy4																			-0.0867	-0.122	-0.187	-0.0361*	-0.0171	0.0164	-0.0162	-0.0115	-0.0264	0.00325	0.0211	0.0588*	0.00889	0.0636	0.146	0.00881	0.0247	0.0606*
																			(0.148)	(0.153)	(0.179)	(0.0177)	(0.0177)	(0.0190)	(0.0742)	(0.0745)	(0.0815)	(0.0217)	(0.0218)	(0.0233)	(0.205)	(0.205)	(0.207)	(0.0287)	(0.0288)	(0.0305)
