	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
	(0.0675)	(0.0680)	(0.0816)	(0.0664)	(0.0677)	(0.0746)	(0.0626)	(0.0716)	(0.115)	(0.0500)	(0.0509)	(0.0559)	(0.0497)	(0.0515)	(0.0707)	(0.0445)	(0.0454)	(0.0494)	(0.0483)	(0.0496)	(0.0591)	(0.0433)	(0.0441)	(0.0475)	(0.0587)	(0.0598)	(0.0693)	(0.0441)	(0.0448)	(0.0479)	(0.0494)	(0.0500)	(0.0542)	(0.0476)	(0.0483)	(0.0512)
agemay	0.0479	0.0475	0.108*	0.0546**	0.0474**	0.0922**	0.125**	0.143**	0.232**	0.0383**	0.0325**	0.0606**	0.0491	0.0349	0.0659	0.0332**	0.0260**	0.0438**	0.0268	0.0268	0.0508**	0.0335**	0.0248**	0.0341**	0.0652**	0.0581**	0.0666**	0.0350**	0.0263**	0.0317**	0.0491**	0.0427**	0.0492**	0.0416**	0.0344**	0.0347**
	(0.0344)	(0.0346)	(0.0523)	(0.0107)	(0.0109)	(0.0120)	(0.0473)	(0.0548)	(0.0834)	(0.00818)	(0.00833)	(0.00910)	(0.0290)	(0.0287)	(0.0358)	(0.00736)	(0.00751)	(0.00816)	(0.0161)	(0.0164)	(0.0193)	(0.00726)	(0.00740)	(0.00796)	(0.0207)	(0.0211)	(0.0231)	(0.00751)	(0.00763)	(0.00816)	(0.0121)	(0.0123)	(0.0133)	(0.00822)	(0.00833)	(0.00884)
borddummy2							-0.881	-1.107	-1.627*	0.0174	0.0507	-0.0172	-0.139	-0.0358	-0.179	0.0206	0.0547	0.0308	0.0825	0.0240	-0.141	0.00914	0.0454	0.0369	-0.366	-0.359	-0.395	-0.00299	0.0240	0.0134	-0.125	-0.116	-0.190	-0.0384	-0.0199	-0.0244
							(0.486)	(0.567)	(0.777)	(0.0525)	(0.0534)	(0.0587)	(0.288)	(0.287)	(0.335)	(0.0530)	(0.0540)	(0.0589)	(0.167)	(0.171)	(0.196)	(0.0556)	(0.0567)	(0.0611)	(0.239)	(0.244)	(0.261)	(0.0595)	(0.0605)	(0.0647)	(0.122)	(0.124)	(0.134)	(0.0668)	(0.0677)	(0.0719)
borddummy3													-0.207	0.00845	-0.314	0.117	0.192**	0.112	0.259	0.151	-0.202	0.114	0.193**	0.150*	-0.602	-0.576	-0.660	0.106	0.172*	0.136	-0.151	-0.124	-0.298	0.0291	0.0746	0.0445
													(0.577)	(0.574)	(0.673)	(0.0645)	(0.0657)	(0.0716)	(0.318)	(0.326)	(0.376)	(0.0662)	(0.0675)	(0.0727)	(0.455)	(0.465)	(0.497)	(0.0697)	(0.0708)	(0.0758)	(0.225)	(0.229)	(0.248)	(0.0770)	(0.0780)	(0.0829)
borddummy4																			0.451	0.321	-0.179	0.240**	0.383**	0.329**	-0.837	-0.764	-0.874	0.199*	0.329**	0.286**	-0.140	-0.0675	-0.317	0.129	0.230*	0.195
																			(0.460)	(0.470)	(0.541)	(0.0812)	(0.0826)	(0.0891)	(0.663)	(0.677)	(0.722)	(0.0848)	(0.0860)	(0.0921)	(0.330)	(0.335)	(0.364)	(0.0927)	(0.0939)	(0.0997)
educf_11plus																						2.593**	2.994**													
																						(0.171)	(0.173)													
borddummy5																									-1.092	-1.001		0.227*	0.391**		-0.229	-0.143		0.111	0.233*	
																									(0.843)	(0.862)		(0.102)	(0.104)		(0.415)	(0.422)		(0.111)	(0.112)	
borddummy6																															-0.275	-0.169		0.147	0.297*	
																															(0.515)	(0.524)		(0.139)	(0.141)	
Constant	3.835	13.12**	8.983	-1.712	7.361	1.073	-2.708	5.355	-2.139	-1.212	7.070	0.869	2.709	12.67**	8.803	0.938	9.784	4.672	5.310	12.57**	8.064	-0.149	7.100	5.576	0.389	7.456	4.099	6.328	13.46**	8.944	3.891	10.07**	5.791	-1.178	4.618	-1.542
	(4.850)	(4.477)	(5.581)	(4.906)	(4.927)	(5.435)	(5.872)	(6.277)	(8.567)	(4.765)	(4.809)	(5.286)	(4.413)	(4.272)	(4.999)	(100,898)	(102,955)	(112,284)	(3.872)	(3.843)	(4.300)	(109,316)	(111,370)	(120,141)	(4.640)	(4.693)	(5.148)	(4.611)	(4.648)	(4.974)	(3.841)	(3.895)	(4.211)	(4.662)	(4.683)	(4.970)
																																				
Observations	10,096	10,096	10,096	10,096	10,096	10,096	17,448	17,448	17,448	17,448	17,448	17,448	21,582	21,582	21,582	21,582	21,582	21,582	22,587	22,587	22,587	22,587	22,587	22,587	21,474	21,474	21,474	21,474	21,474	21,474	18,306	18,306	18,306	18,306	18,306	18,306
R-squared	0.413	0.393	0.249	0.416	0.393	0.259	0.077	-0.169	-0.683	0.404	0.381	0.251	0.369	0.352	0.215	0.381	0.356	0.233	0.352	0.329	0.206	0.354	0.329	0.220	0.273	0.243	0.136	0.341	0.318	0.218	0.322	0.303	0.202	0.327	0.309	0.219
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
