51,2,-0.104,0.0633,0.124068,,,,,,,,,,,,,,,,,,,,,,
3,3,-0.0952,0.00246,0.0048216,,,,,,,,,,,,,,,,,,,,,,
2,3,-0.0939,0.00226,0.0044296,,,,,,,,,,,,,,,,,,,,,,
1,3,-0.09,0.00258,0.0050568,,,,,,,,,,,,,,,,,,,,,,
41,2,-0.0892,0.0634,0.124264,,,,,,,,,,,,,,,,,,,,,,
4,3,-0.0882,0.00284,0.0055664,,,,,,,,,,,,,,,,,,,,,,
5,3,-0.0802,0.0034,0.006664,,,,,,,,,,,,,,,,,,,,,,
6,3,-0.075,0.00412,0.0080752,,,,,,,,,,,,,,,,,,,,,,
31,2,-0.0666,0.0668,0.130928,,,,,,,,,,,,,,,,,,,,,,
2,4,-0.0636,0.00358,0.0070168,,,,,,,,,,,,,,,,,,,,,,
4,4,-0.0607,0.00514,0.0100744,,,,,,,,,,,,,,,,,,,,,,
3,4,-0.06,0.00422,0.0082712,,,,,,,,,,,,,,,,,,,,,,
13,3,-0.0569,0.00242,0.0047432,,,,,,,,,,,,,,,,,,,,,,
14,3,-0.0561,0.00279,0.0054684,,,,,,,,,,,,,,,,,,,,,,
23,3,-0.0551,0.00242,0.0047432,,,,,,,,,,,,,,,,,,,,,,
5,4,-0.0548,0.00617,0.0120932,,,,,,,,,,,,,,,,,,,,,,
1,4,-0.0546,0.0038,0.007448,,,,,,,,,,,,,,,,,,,,,,
24,3,-0.0544,0.00278,0.0054488,,,,,,,,,,,,,,,,,,,,,,
16,3,-0.0543,0.00403,0.0078988,,,,,,,,,,,,,,,,,,,,,,
15,3,-0.054,0.00333,0.0065268,,,,,,,,,,,,,,,,,,,,,,
26,3,-0.0539,0.00402,0.0078792,,,,,,,,,,,,,,,,,,,,,,
25,3,-0.0528,0.00332,0.0065072,,,,,,,,,,,,,,,,,,,,,,
12,3,-0.0509,0.00225,0.00441,,,,,,,,,,,,,,,,,,,,,,
56,3,-0.0506,0.0472,0.092512,,,,,,,,,,,,,,,,,,,,,,
22,3,-0.0494,0.00225,0.00441,,,,,,,,,,,,,,,,,,,,,,
6,4,-0.0484,0.00768,0.0150528,,,,,,,,,,,,,,,,,,,,,,
11,3,-0.0452,0.00259,0.0050764,,,,,,,,,,,,,,,,,,,,,,
53,2,-0.0450,0.0384,0.075264,,,,,,,,,,,,,,,,,,,,,,
36,2,-0.0446,0.0413,0.080948,,,,,,,,,,,,,,,,,,,,,,
21,3,-0.0438,0.00259,0.0050764,,,,,,,,,,,,,,,,,,,,,,
46,3,-0.0411,0.0473,0.092708,,,,,,,,,,,,,,,,,,,,,,
52,3,-0.0404,0.0409,0.080164,,,,,,,,,,,,,,,,,,,,,,
42,3,-0.0354,0.0413,0.080948,,,,,,,,,,,,,,,,,,,,,,
